t_capture,t_command,latency_ms,signal_age_ms
1788222134.358160,1788222134.360086,1.925,0.843
1788222134.362450,1788222134.367561,5.111,5.074
1788222134.373710,1788222134.376022,2.312,1.746
1788222134.379020,1788222134.384122,5.102,4.156
1788222134.389616,1788222134.391577,1.961,1.605
1788222134.396182,1788222134.399278,3.096,3.762
1788222134.405737,1788222134.407764,2.028,11.762
1788222134.412744,1788222134.415393,2.650,3.288
1788222134.420409,1788222134.423857,3.448,2.590
1788222134.429384,1788222134.431391,2.007,2.416
1788222134.437996,1788222134.440043,2.047,1.906
1788222134.446037,1788222134.447233,1.196,1.632
1788222134.455759,1788222134.455759,0.000,0.302
1788222134.463289,1788222134.463289,0.000,0.344
1788222134.470702,1788222134.471898,1.196,0.338
1788222134.479427,1788222134.479427,0.000,0.316
1788222134.484211,1788222134.487760,3.548,3.673
1788222134.495753,1788222134.495753,0.000,0.115
1788222134.498192,1788222134.504240,6.048,5.064
1788222134.505217,1788222134.511803,6.586,6.681
1788222134.513794,1788222134.519136,5.342,5.514
1788222134.521876,1788222134.527415,5.538,5.928
1788222134.529490,1788222134.535866,6.376,5.994
1788222134.539052,1788222134.543597,4.546,13.994
1788222134.545372,1788222134.551918,6.546,21.994
1788222134.554908,1788222134.560089,5.181,5.116
1788222134.562499,1788222134.567495,4.995,5.187
1788222134.571067,1788222134.575663,4.595,4.819
1788222134.578594,1788222134.584364,5.770,4.898
1788222134.591212,1788222134.591718,0.506,0.957
1788222134.596043,1788222134.600176,4.134,4.002
1788222134.605106,1788222134.607566,2.459,2.605
1788222134.613175,1788222134.616248,3.073,10.605
1788222134.620784,1788222134.624030,3.246,2.538
1788222134.630647,1788222134.631693,1.046,1.148
1788222134.638202,1788222134.640407,2.205,1.895
1788222134.645380,1788222134.647965,2.585,2.128
1788222134.654666,1788222134.655700,1.034,10.128
1788222134.662374,1788222134.664320,1.946,1.143
1788222134.671026,1788222134.672086,1.059,0.856
1788222134.678976,1788222134.680087,1.111,0.904
1788222134.688104,1788222134.688104,0.000,0.012
1788222134.696161,1788222134.696161,0.000,0.025
1788222134.697787,1788222134.704551,6.764,6.141
1788222134.704551,1788222134.712140,7.589,7.393
1788222134.713106,1788222134.720693,7.587,6.955
1788222134.727785,1788222134.728798,1.014,0.091
1788222134.728798,1788222134.736256,7.458,7.084
1788222134.743124,1788222134.744134,1.010,1.111
1788222134.746150,1788222134.751865,5.714,6.204
1788222134.758759,1788222134.760749,1.990,1.106
1788222134.762435,1788222134.768446,6.011,5.391
1788222134.773930,1788222134.776220,2.290,2.299
1788222134.779165,1788222134.784779,5.614,5.153
1788222134.789705,1788222134.792303,2.597,2.541
1788222134.796456,1788222134.800060,3.604,3.639
1788222134.805686,1788222134.808693,3.007,2.693
1788222134.813185,1788222134.816266,3.081,3.027
1788222134.821190,1788222134.824619,3.428,2.994
1788222134.828611,1788222134.832616,4.005,3.358
1788222134.838136,1788222134.840672,2.535,1.920
1788222134.846180,1788222134.848596,2.416,1.963
1788222134.854225,1788222134.856293,2.068,2.416
1788222134.862242,1788222134.864910,2.668,1.839
1788222134.871352,1788222134.872372,1.021,1.158
1788222134.879446,1788222134.879989,0.543,1.110
1788222134.887844,1788222134.888903,1.059,0.364
1788222134.895939,1788222134.896951,1.012,0.595
1788222134.904419,1788222134.904419,0.000,0.401
1788222134.912425,1788222134.912425,0.000,0.072
1788222134.913656,1788222134.920666,7.010,7.175
1788222134.928461,1788222134.928461,0.000,0.018
1788222134.928461,1788222134.936225,7.764,7.323
1788222134.943864,1788222134.944786,0.922,0.331
1788222134.946316,1788222134.952844,6.529,6.492
1788222134.959368,1788222134.960360,0.993,1.014
1788222134.962419,1788222134.968493,6.074,5.892
1788222134.976020,1788222134.977034,1.014,0.140
1788222134.979030,1788222134.985401,6.371,5.744
1788222134.989738,1788222134.993143,3.406,2.824
1788222134.995653,1788222135.001282,5.628,5.118
1788222135.005884,1788222135.009147,3.262,2.661
1788222135.012127,1788222135.016639,4.513,4.410
1788222135.021708,1788222135.024566,2.858,2.991
