t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.001003,1788222134.358160,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,0
0.008478,1788222134.362450,0.0000,0.0000,0.0000,0.0000,0.0028,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0
0.016939,1788222134.373710,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0013,0,0,0
0.025039,1788222134.379020,-0.0013,-0.0001,-0.0001,-0.0001,0.0028,0,0,0,0.0258,0.0024,-0.0054,-0.0054,-0.0000,0,0,0,-0.0050,-0.0005,-0.0007,-0.0007,-0.0021,0,0,0,-0.0138,-0.0013,0.0016,0.0016,-0.0021,0,0,0,0.0053,0.0005,0.0006,0.0006,0.0007,0,0,0,-0.0022,-0.0002,-0.0002,-0.0002,-0.0007,0,0,0
0.032494,1788222134.389616,0.0000,0.0000,-0.0001,-0.0001,0.0028,0,0,0,0.0000,0.0000,-0.0054,-0.0054,0.0007,0,0,0,0.0000,0.0000,-0.0007,-0.0007,-0.0007,0,0,0,0.0000,0.0000,0.0016,0.0016,-0.0007,0,0,0,0.0000,0.0000,0.0006,0.0006,0.0007,0,0,0,0.0000,0.0000,-0.0002,-0.0002,0.0000,0,0,0
0.040195,1788222134.396182,0.0028,0.0002,0.0002,0.0002,0.0034,0,0,0,0.0571,0.0078,-0.0171,-0.0171,-0.0014,0,0,0,0.0265,0.0022,0.0032,0.0032,0.0000,0,0,0,-0.0061,-0.0018,0.0021,0.0021,-0.0028,0,0,0,0.0243,0.0028,0.0034,0.0034,0.0014,0,0,0,0.0096,0.0007,0.0009,0.0009,-0.0007,0,0,0
0.048681,1788222134.405737,0.0000,0.0002,0.0002,0.0002,0.0034,0,0,1,0.0000,0.0078,-0.0171,-0.0171,-0.0014,0,0,1,0.0000,0.0022,0.0032,0.0032,0.0000,0,0,1,0.0000,-0.0018,0.0021,0.0021,-0.0028,0,0,1,0.0000,0.0028,0.0034,0.0034,0.0014,0,0,1,0.0000,0.0007,0.0009,0.0009,-0.0007,0,0,1
0.056310,1788222134.412744,-0.0272,-0.0024,-0.0024,-0.0024,0.0007,0,0,0,0.0922,0.0157,-0.0346,-0.0346,0.0000,0,0,0,-0.0125,0.0008,0.0012,0.0012,0.0007,0,0,0,-0.0248,-0.0039,0.0047,0.0047,-0.0021,0,0,0,0.0163,0.0041,0.0049,0.0049,0.0014,0,0,0,-0.0123,-0.0005,-0.0006,-0.0006,0.0020,0,0,0
0.064774,1788222134.420409,0.0000,0.0000,-0.0024,-0.0024,0.0021,0,0,0,0.0000,0.0000,-0.0346,-0.0346,0.0007,0,0,0,0.0000,0.0000,0.0012,0.0012,-0.0021,0,0,0,0.0000,0.0000,0.0047,0.0047,0.0000,0,0,0,0.0000,0.0000,0.0049,0.0049,0.0021,0,0,0,0.0000,0.0000,-0.0006,-0.0006,0.0013,0,0,0
0.072308,1788222134.429384,-0.0114,-0.0033,-0.0033,-0.0033,0.0028,0,0,0,0.0858,0.0223,-0.0492,-0.0492,0.0000,0,0,0,-0.0244,-0.0016,-0.0024,-0.0024,0.0014,0,0,0,-0.0414,-0.0075,0.0090,0.0090,0.0000,0,0,0,0.0111,0.0048,0.0057,0.0057,0.0000,0,0,0,-0.0544,-0.0056,-0.0067,-0.0067,0.0027,0,0,0
0.080960,1788222134.437996,-0.0173,-0.0040,-0.0040,-0.0040,0.0028,0,0,0,0.0647,0.0245,-0.0539,-0.0539,-0.0007,0,0,0,-0.0252,-0.0028,-0.0042,-0.0042,0.0000,0,0,0,-0.0572,-0.0100,0.0120,0.0120,0.0000,0,0,0,0.0132,0.0052,0.0062,0.0062,-0.0007,0,0,0,-0.0670,-0.0087,-0.0105,-0.0105,0.0000,0,0,0
0.089162,1788222134.446037,-0.0381,-0.0056,-0.0056,-0.0056,0.0034,0,0,0,0.0507,0.0258,-0.0567,-0.0567,-0.0000,0,0,0,-0.0452,-0.0049,-0.0073,-0.0073,-0.0007,0,0,0,-0.0679,-0.0128,0.0154,0.0154,-0.0028,0,0,0,0.0290,0.0063,0.0076,0.0076,0.0000,0,0,0,-0.0692,-0.0116,-0.0140,-0.0140,0.0000,0,0,0
0.096676,1788222134.455759,0.0000,0.0000,-0.0056,-0.0056,0.0021,0,0,0,0.0000,0.0000,-0.0567,-0.0567,-0.0029,0,0,0,0.0000,0.0000,-0.0073,-0.0073,-0.0014,0,0,0,0.0000,0.0000,0.0154,0.0154,-0.0007,0,0,0,0.0000,0.0000,0.0076,0.0076,0.0021,0,0,0,0.0000,0.0000,-0.0140,-0.0140,0.0007,0,0,0
0.104206,1788222134.463289,0.1069,0.0054,0.0054,0.0054,0.0041,0,0,0,0.0138,0.0246,-0.0541,-0.0541,-0.0064,0,0,0,-0.0104,-0.0054,-0.0081,-0.0081,0.0027,0,0,0,-0.1222,-0.0235,0.0282,0.0282,-0.0021,0,0,0,0.0308,0.0087,0.0105,0.0105,-0.0020,0,0,0,-0.0910,-0.0194,-0.0233,-0.0233,-0.0007,0,0,0
0.112815,1788222134.470702,0.1098,0.0100,0.0100,0.0100,0.0028,0,0,0,-0.0114,0.0230,-0.0506,-0.0506,-0.0090,0,0,0,0.0052,-0.0049,-0.0074,-0.0074,0.0020,0,0,0,-0.1222,-0.0279,0.0335,0.0335,0.0000,0,0,0,0.0496,0.0106,0.0127,0.0127,0.0007,0,0,0,-0.0988,-0.0229,-0.0275,-0.0275,0.0000,0,0,0
0.120344,1788222134.479427,0.1098,0.0152,0.0152,0.0152,0.0048,0,0,0,-0.0623,0.0186,-0.0409,-0.0409,-0.0111,0,0,0,0.0052,-0.0044,-0.0066,-0.0066,0.0027,0,0,0,-0.1248,-0.0330,0.0395,0.0395,-0.0007,0,0,0,0.0822,0.0143,0.0171,0.0171,0.0014,0,0,0,-0.0988,-0.0269,-0.0323,-0.0323,-0.0007,0,0,0
0.128677,1788222134.484211,0.0000,0.0000,0.0152,0.0152,0.0014,0,0,0,0.0000,0.0000,-0.0409,-0.0409,-0.0160,0,0,0,0.0000,0.0000,-0.0066,-0.0066,-0.0007,0,0,0,0.0000,0.0000,0.0395,0.0395,-0.0007,0,0,0,0.0000,0.0000,0.0171,0.0171,0.0027,0,0,0,0.0000,0.0000,-0.0323,-0.0323,-0.0007,0,0,0
0.136670,1788222134.495753,0.0000,0.0000,0.0152,0.0152,0.0048,0,0,0,0.0000,0.0000,-0.0409,-0.0409,-0.0187,0,0,0,0.0000,0.0000,-0.0066,-0.0066,-0.0007,0,0,0,0.0000,0.0000,0.0395,0.0395,-0.0021,0,0,0,0.0000,0.0000,0.0171,0.0171,0.0014,0,0,0,0.0000,0.0000,-0.0323,-0.0323,0.0007,0,0,0
0.145157,1788222134.498192,0.0000,0.0000,0.0152,0.0152,0.0014,0,0,0,0.0000,0.0000,-0.0409,-0.0409,-0.0214,0,0,0,0.0000,0.0000,-0.0066,-0.0066,-0.0007,0,0,0,0.0000,0.0000,0.0395,0.0395,0.0001,0,0,0,0.0000,0.0000,0.0171,0.0171,0.0014,0,0,0,0.0000,0.0000,-0.0323,-0.0323,0.0000,0,0,0
0.152720,1788222134.505217,0.0000,0.0000,0.0152,0.0152,0.0028,0,0,0,0.0000,0.0000,-0.0409,-0.0409,-0.0241,0,0,0,0.0000,0.0000,-0.0066,-0.0066,0.0007,0,0,0,0.0000,0.0000,0.0395,0.0395,0.0001,0,0,0,0.0000,0.0000,0.0171,0.0171,0.0021,0,0,0,0.0000,0.0000,-0.0323,-0.0323,0.0006,0,0,0
0.160053,1788222134.513794,0.0000,0.0000,0.0152,0.0152,0.0041,0,0,0,0.0000,0.0000,-0.0409,-0.0409,-0.0255,0,0,0,0.0000,0.0000,-0.0066,-0.0066,-0.0014,0,0,0,0.0000,0.0000,0.0395,0.0395,0.0057,0,0,0,0.0000,0.0000,0.0171,0.0171,0.0021,0,0,0,0.0000,0.0000,-0.0323,-0.0323,-0.0008,0,0,0
