id,name,raw_available,sim_available,raw_lat_median_ms,raw_lat_p95_ms,raw_lat_jitter_ms,raw_rx_loss_pct,sim_lat_median_ms,sim_lat_p95_ms,sim_lat_jitter_ms,sim_rx_loss_pct,raw_j3_rmse_deg,raw_j3_aligned_deg,raw_j3_lag_ms,raw_j3_corr,sim_j3_rmse_deg,sim_j3_aligned_deg,sim_j3_lag_ms,sim_j3_corr,raw_ratelim_ticks,raw_rangeclamp_ticks,raw_halted_ticks,sim_ratelim_ticks,sim_rangeclamp_ticks,sim_halted_ticks
T-02,6-DOF prirodni tempo (mimikrija),True,True,3.05,8.02,2.52,0.0,4.05,8.27,91.59,0.0,8.66,3.0,385.2,0.85,6.05,0.8,248.3,0.927,1151,0,0,250,0,678
T-03,6-DOF hod zglob-po-zglob (pun raspon),True,True,3.08,7.63,2.39,0.0,3.0,8.14,95.96,0.0,11.46,4.92,554.0,0.824,5.93,0.97,256.8,0.954,1395,23,0,225,58,708
T-04,Filtar: One-Euro (referenca),True,True,3.11,7.69,2.41,0.0,4.44,7.76,106.48,0.0,13.2,5.84,353.3,0.922,9.93,4.26,264.1,0.957,621,160,0,0,389,660
T-05,Filtar: Bez filtriranja (raw),True,True,3.1,8.05,2.57,0.0,3.66,8.02,105.86,0.0,9.76,5.02,216.6,0.961,5.81,2.84,128.3,0.987,1003,215,0,784,494,654
T-06,"Filtar: Butterworth (2. red, 6 Hz)",True,True,3.05,7.84,2.45,0.0,2.52,8.0,111.27,0.0,28.96,14.87,682.2,0.72,10.47,7.55,160.1,0.975,932,269,0,227,872,678
T-07,Filtar: EMA (alpha=0.2),True,True,3.0,7.51,2.34,0.0,3.64,12.74,38.97,0.0,21.13,12.82,282.5,0.871,12.58,9.26,152.3,0.966,1235,559,0,307,1084,294
T-08,Sigurnost: Ograničenje brzine (25 deg/s),True,True,3.01,7.65,2.44,0.0,4.0,7.52,117.9,0.0,1.03,0.57,272.8,0.685,0.93,0.44,224.3,0.73,1804,204,0,1908,555,666
T-09,Sigurnost: Ograničenje raspona (±25 deg),True,True,3.07,7.72,2.46,0.0,4.0,9.0,119.82,0.0,15.89,15.28,305.1,0.858,15.38,14.95,248.2,0.872,354,974,0,133,2151,678
T-10,Sigurnost: Okluzija optičkih markera,True,True,3.04,7.7,2.43,0.0,2.02,8.01,105.56,0.0,9.84,5.66,513.9,0.788,5.27,0.81,240.6,0.947,500,0,0,29,0,654
T-12a,Sigurnost: Softverski E-stop (10 s),True,True,4.0,12.49,3.53,0.0,3.75,8.96,125.69,0.0,31.47,31.56,248.7,0.74,23.28,21.74,536.2,0.657,162,0,7512,171,0,8262
T-20,Dinamika: 5 naglih step pomaka,True,True,3.09,8.17,2.6,0.0,3.01,6.39,105.69,0.0,3.6,1.31,256.7,0.812,3.39,1.05,240.5,0.83,460,0,0,10,0,654
T-13a,Latencija: +0 ms umjetnog kašnjenja,True,True,3.14,7.65,2.38,0.0,4.14,7.0,105.58,0.0,5.73,5.03,160.5,0.999,5.08,4.46,144.5,0.999,562,1,0,214,947,654
T-13b,Latencija: +50 ms umjetnog kašnjenja,True,True,59.34,63.87,4.15,0.0,58.78,64.03,95.03,0.0,24.19,22.49,505.6,0.963,16.27,13.4,383.9,0.969,1346,8,72,1020,1185,576
T-13c,Latencija: +100 ms umjetnog kašnjenja,True,True,107.4,112.05,7.02,0.0,107.05,109.35,89.0,0.0,13.71,6.89,537.5,0.844,6.84,1.51,264.8,0.962,1018,113,84,349,277,540
T-13d,Latencija: +200 ms umjetnog kašnjenja,True,True,203.2,209.58,75.89,99.56,203.62,211.51,103.12,0.0,19.83,16.28,722.0,0.813,13.63,9.76,408.4,0.91,840,18,3708,608,282,3246
T-13e,Latencija: +400 ms umjetnog kašnjenja,True,True,403.9,408.71,100.12,0.0,403.9,409.0,90.22,0.0,18.9,9.7,971.4,0.73,7.93,5.49,256.7,0.966,855,56,1476,370,198,900
T-14,Gubitak paketa: 0 % (referenca),True,True,3.04,7.66,2.44,0.0,4.03,8.64,115.28,0.0,17.71,8.16,714.3,0.695,9.1,4.75,280.4,0.93,1064,123,0,644,320,654
T-15,Gubitak paketa: 5 %,True,True,3.11,7.66,2.4,5.12,2.27,14.62,120.23,5.28,0.41,0.16,248.7,0.992,0.4,0.14,240.2,0.993,322,0,0,5,0,678
T-16,Gubitak paketa: 10 %,True,True,3.36,7.97,2.47,10.46,6.01,16.54,119.6,10.37,18.07,10.08,674.9,0.727,10.22,6.54,288.7,0.925,1111,127,0,781,331,678
T-17,Gubitak paketa: 20 %,True,True,3.19,8.07,2.57,20.32,4.97,21.19,115.16,20.83,18.3,9.82,690.2,0.629,11.13,5.43,320.6,0.872,1323,113,0,1208,279,654
T-18,Gubitak paketa: 30 %,True,True,3.25,8.0,2.42,30.18,6.0,27.35,116.65,29.89,21.45,13.11,827.6,0.616,11.43,7.76,288.4,0.914,1014,81,0,678,301,666
