t_capture,t_command,latency_ms,signal_age_ms
1788532406.216625,1788532406.226190,9.565,8.775
1788532406.216625,1788532406.233939,17.313,16.794
1788532406.240114,1788532406.242236,2.122,1.877
1788532406.243382,1788532406.250341,6.960,6.834
1788532406.258248,1788532406.258248,0.000,0.059
1788532406.258248,1788532406.266357,8.109,8.085
1788532406.274154,1788532406.274154,0.000,0.211
1788532406.274154,1788532406.282080,7.926,8.233
1788532406.283200,1788532406.290216,7.017,7.216
1788532406.298269,1788532406.298269,0.000,0.172
1788532406.298269,1788532406.305917,7.648,8.189
1788532406.306901,1788532406.314022,7.121,7.617
1788532406.315043,1788532406.322014,6.971,7.443
1788532406.324030,1788532406.330728,6.698,6.515
1788532406.338406,1788532406.338406,0.000,0.030
1788532406.338406,1788532406.346033,7.627,8.041
1788532406.346974,1788532406.354583,7.609,7.625
1788532406.361833,1788532406.362838,1.005,0.710
1788532406.361833,1788532406.369853,8.020,8.725
1788532406.378582,1788532406.378582,0.000,0.023
1788532406.378582,1788532406.386348,7.766,8.037
1788532406.387345,1788532406.393932,6.587,7.180
1788532406.394928,1788532406.401962,7.034,7.760
1788532406.403960,1788532406.410347,6.387,6.744
1788532406.418534,1788532406.418534,0.000,0.069
1788532406.418534,1788532406.426142,7.609,8.082
1788532406.427543,1788532406.434139,6.596,7.214
1788532406.442632,1788532406.442632,0.000,0.041
1788532406.442632,1788532406.450725,8.093,8.060
1788532406.450725,1788532406.458436,7.710,7.909
1788532406.459037,1788532406.466051,7.014,7.763
1788532406.474707,1788532406.474707,0.000,0.105
1788532406.474707,1788532406.482244,7.537,8.116
1788532406.483324,1788532406.490375,7.051,7.454
1788532406.491516,1788532406.498465,6.949,7.180
1788532406.499523,1788532406.506503,6.980,7.258
1788532406.507508,1788532406.514060,6.552,7.301
1788532406.515084,1788532406.522509,7.426,7.746
1788532406.523510,1788532406.530527,7.017,7.346
1788532406.531525,1788532406.538561,7.035,7.359
1788532406.539554,1788532406.546134,6.580,7.352
1788532406.554692,1788532406.554692,0.000,0.054
1788532406.554692,1788532406.562901,8.209,8.066
