t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000000,1788532616.540023,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.007885,1788532616.540023,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.015503,1788532616.555401,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.023740,1788532616.561169,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.031329,1788532616.568777,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.039927,1788532616.576948,0.0236,0.0012,0.0012,0.0012,0.0000,0,0,0,-0.0053,-0.0003,0.0006,0.0006,0.0000,0,0,0,-0.0197,-0.0010,-0.0014,-0.0014,0.0000,0,0,0,0.0301,0.0015,-0.0018,-0.0018,0.0000,0,0,0,-0.1365,-0.0067,-0.0080,-0.0080,0.0000,0,0,0,-0.0713,-0.0035,-0.0042,-0.0042,0.0000,0,0,0
0.047013,1788532616.584973,0.0236,0.0022,0.0022,0.0022,0.0000,0,0,0,-0.0053,-0.0005,0.0011,0.0011,0.0000,0,0,0,-0.0197,-0.0019,-0.0028,-0.0028,0.0000,0,0,0,0.0301,0.0028,-0.0034,-0.0034,0.0000,0,0,0,-0.1365,-0.0129,-0.0155,-0.0155,0.0000,0,0,0,-0.0713,-0.0067,-0.0081,-0.0081,0.0000,0,0,0
0.056130,1788532616.593638,0.0236,0.0033,0.0033,0.0033,0.0000,0,0,0,-0.0053,-0.0007,0.0016,0.0016,0.0000,0,0,0,-0.0197,-0.0028,-0.0042,-0.0042,0.0000,0,0,0,0.0301,0.0043,-0.0051,-0.0051,0.0000,0,0,0,-0.1365,-0.0193,-0.0231,-0.0231,0.0000,0,0,0,-0.0713,-0.0101,-0.0121,-0.0121,0.0000,0,0,0
0.064307,1788532616.602318,0.0373,0.0051,0.0051,0.0051,0.0000,0,0,0,-0.0446,-0.0030,0.0066,0.0066,0.0000,0,0,0,-0.0026,-0.0028,-0.0042,-0.0042,-0.0000,0,0,0,0.0109,0.0046,-0.0055,-0.0055,-0.0000,0,0,0,-0.0175,-0.0192,-0.0230,-0.0230,-0.0000,0,0,0,0.0541,-0.0068,-0.0081,-0.0081,-0.0000,0,0,0
0.071863,1788532616.608866,0.0373,0.0064,0.0064,0.0064,0.0000,0,0,0,-0.0446,-0.0047,0.0103,0.0103,0.0000,0,0,0,-0.0026,-0.0028,-0.0041,-0.0041,-0.0000,0,0,0,0.0109,0.0048,-0.0058,-0.0058,-0.0000,0,0,0,-0.0175,-0.0191,-0.0229,-0.0229,-0.0000,0,0,0,0.0541,-0.0043,-0.0052,-0.0052,-0.0000,0,0,0
0.080260,1788532616.618138,0.0373,0.0081,0.0081,0.0081,0.0000,0,0,0,-0.0446,-0.0069,0.0151,0.0151,0.0000,0,0,0,-0.0026,-0.0028,-0.0041,-0.0041,-0.0000,0,0,0,0.0109,0.0052,-0.0062,-0.0062,-0.0000,0,0,0,-0.0175,-0.0190,-0.0228,-0.0228,-0.0001,0,0,0,0.0541,-0.0011,-0.0014,-0.0014,-0.0000,0,0,0
0.087643,1788532616.626154,0.0373,0.0095,0.0095,0.0095,0.0000,0,0,0,-0.0446,-0.0087,0.0191,0.0191,0.0000,0,0,0,-0.0026,-0.0027,-0.0041,-0.0041,-0.0000,0,0,0,0.0109,0.0055,-0.0065,-0.0065,-0.0000,0,0,0,-0.0175,-0.0190,-0.0228,-0.0228,-0.0002,0,0,0,0.0541,0.0015,0.0018,0.0018,-0.0001,0,0,0
0.096186,1788532616.633697,0.0373,0.0107,0.0107,0.0107,0.0001,0,0,0,-0.0446,-0.0103,0.0226,0.0226,0.0000,0,0,0,-0.0026,-0.0027,-0.0041,-0.0041,-0.0001,0,0,0,0.0109,0.0057,-0.0068,-0.0068,-0.0001,0,0,0,-0.0175,-0.0189,-0.0227,-0.0227,-0.0004,0,0,0,0.0541,0.0039,0.0047,0.0047,-0.0002,0,0,0
0.103725,1788532616.641230,0.0419,0.0121,0.0121,0.0121,0.0001,0,0,0,-0.0698,-0.0130,0.0286,0.0286,0.0001,0,0,0,0.0463,-0.0005,-0.0008,-0.0008,-0.0001,0,0,0,0.0580,0.0081,-0.0097,-0.0097,-0.0001,0,0,0,0.0819,-0.0143,-0.0172,-0.0172,-0.0006,0,0,0,0.0805,0.0074,0.0088,0.0088,-0.0003,0,0,0
0.112304,1788532616.648763,0.0419,0.0135,0.0135,0.0135,0.0002,0,0,0,-0.0698,-0.0156,0.0342,0.0342,0.0003,0,0,0,0.0463,0.0016,0.0024,0.0024,-0.0002,0,0,0,0.0580,0.0103,-0.0124,-0.0124,-0.0002,0,0,0,0.0819,-0.0100,-0.0120,-0.0120,-0.0009,0,0,0,0.0805,0.0107,0.0128,0.0128,-0.0003,0,0,0
0.119855,1788532616.657334,0.0142,0.0135,0.0135,0.0135,0.0003,0,0,0,-0.0910,-0.0194,0.0427,0.0427,0.0005,0,0,0,0.0731,0.0052,0.0079,0.0079,-0.0002,0,0,0,0.0585,0.0128,-0.0153,-0.0153,-0.0003,0,0,0,0.1269,-0.0030,-0.0036,-0.0036,-0.0013,0,0,0,0.1436,0.0175,0.0210,0.0210,-0.0004,0,0,0
0.128382,1788532616.666412,0.0142,0.0136,0.0136,0.0136,0.0004,0,0,0,-0.0910,-0.0233,0.0512,0.0512,0.0007,0,0,0,0.0731,0.0089,0.0134,0.0134,-0.0003,0,0,0,0.0585,0.0152,-0.0183,-0.0183,-0.0004,0,0,0,0.1269,0.0040,0.0048,0.0048,-0.0017,0,0,0,0.1436,0.0243,0.0291,0.0291,-0.0004,0,0,0
0.135467,1788532616.674479,0.0066,0.0132,0.0132,0.0132,0.0006,0,0,0,-0.1186,-0.0279,0.0613,0.0613,0.0011,0,0,0,0.0628,0.0115,0.0173,0.0173,-0.0004,0,0,0,0.0579,0.0173,-0.0208,-0.0208,-0.0006,0,0,0,0.1317,0.0102,0.0122,0.0122,-0.0021,0,0,0,0.1893,0.0322,0.0387,0.0387,-0.0004,0,0,0
0.144005,1788532616.682035,0.0066,0.0129,0.0129,0.0129,0.0009,0,0,0,-0.1186,-0.0320,0.0704,0.0704,0.0017,0,0,0,0.0628,0.0138,0.0207,0.0207,-0.0004,0,0,0,0.0579,0.0191,-0.0230,-0.0230,-0.0008,0,0,0,0.1317,0.0157,0.0188,0.0188,-0.0026,0,0,0,0.1893,0.0394,0.0472,0.0472,-0.0003,0,0,0
