t_capture,t_command,latency_ms,signal_age_ms
1788532736.673310,1788532736.674275,0.965,0.819
1788532736.673310,1788532736.682585,9.275,8.821
1788532736.688836,1788532736.689832,0.996,1.378
1788532736.693877,1788532736.697957,4.080,4.474
1788532736.701904,1788532736.705933,4.029,4.473
1788532736.709573,1788532736.714590,5.017,4.731
1788532736.718720,1788532736.722296,3.576,3.714
1788532736.725298,1788532736.729940,4.642,5.047
1788532736.733835,1788532736.737843,4.008,4.565
1788532736.742360,1788532736.746428,4.068,4.064
1788532736.750023,1788532736.753818,3.795,4.457
1788532736.757352,1788532736.762298,4.946,5.160
1788532736.766416,1788532736.770492,4.077,4.060
1788532736.773549,1788532736.778589,5.039,4.995
1788532736.782619,1788532736.786650,4.030,3.922
1788532736.790690,1788532736.794685,3.994,3.828
1788532736.798686,1788532736.802233,3.546,3.789
1788532736.806298,1788532736.810377,4.079,4.082
1788532736.814161,1788532736.818731,4.570,4.326
1788532736.822288,1788532736.826800,4.513,4.230
1788532736.830355,1788532736.834364,4.010,3.913
1788532736.838194,1788532736.842652,4.458,4.321
1788532736.846212,1788532736.850232,4.020,4.382
1788532736.854305,1788532736.857923,3.618,4.328
1788532736.861461,1788532736.866482,5.021,5.205
1788532736.870022,1788532736.874127,4.105,4.697
1788532736.878800,1788532736.882914,4.113,3.793
1788532736.886914,1788532736.890816,3.902,3.743
1788532736.894840,1788532736.897527,2.688,3.887
1788532736.902143,1788532736.906846,4.703,4.551
1788532736.909886,1788532736.913949,4.063,4.814
1788532736.918001,1788532736.922158,4.157,4.714
1788532736.926755,1788532736.930871,4.117,3.957
1788532736.934785,1788532736.938993,4.207,3.997
1788532736.943040,1788532736.946065,3.025,3.657
1788532736.950603,1788532736.954618,4.014,4.163
1788532736.958735,1788532736.962265,3.529,4.006
1788532736.966282,1788532736.970293,4.011,4.475
1788532736.975298,1788532736.978832,3.533,3.501
1788532736.981868,1788532736.986880,5.012,4.944
1788532736.990868,1788532736.994869,4.000,3.954
1788532736.998890,1788532737.002431,3.540,3.998
1788532737.006966,1788532737.011071,4.105,3.851
1788532737.014968,1788532737.018969,4.001,3.912
1788532737.021501,1788532737.026161,4.661,5.199
1788532737.030738,1788532737.034752,4.014,4.130
1788532737.038806,1788532737.042825,4.019,4.070
1788532737.046375,1788532737.051219,4.843,4.571
1788532737.055212,1788532737.058812,3.600,3.641
1788532737.061444,1788532737.066473,5.029,5.523
1788532737.070602,1788532737.074602,4.000,4.409
1788532737.078227,1788532737.082983,4.756,4.741
1788532737.085865,1788532737.090990,5.125,5.057
1788532737.094891,1788532737.099014,4.123,4.200
1788532737.102416,1788532737.106449,4.033,4.669
1788532737.110475,1788532737.114467,3.992,4.565
1788532737.119106,1788532737.123368,4.262,3.902
1788532737.126368,1788532737.131005,4.637,4.766
1788532737.135640,1788532737.139269,3.629,3.508
1788532737.143385,1788532737.146500,3.115,3.767
1788532737.151145,1788532737.155262,4.117,3.991
1788532737.157645,1788532737.163201,5.555,5.568
1788532737.167197,1788532737.170963,3.766,3.974
1788532737.173676,1788532737.178197,4.522,5.539
1788532737.183737,1788532737.186736,2.999,3.446
1788532737.190832,1788532737.194891,4.059,4.409
1788532737.199176,1788532737.203030,3.854,4.033
1788532737.207152,1788532737.211049,3.898,4.213
1788532737.215061,1788532737.219443,4.382,4.320
1788532737.222486,1788532737.227530,5.044,4.855
1788532737.231053,1788532737.235079,4.026,4.303
1788532737.238621,1788532737.242337,3.716,4.551
1788532737.245939,1788532737.250524,4.585,5.380
1788532737.254556,1788532737.259086,4.531,4.897
1788532737.263111,1788532737.267112,4.002,4.342
1788532737.272125,1788532737.275124,2.999,3.300
1788532737.278659,1788532737.282680,4.021,4.765
1788532737.286686,1788532737.291185,4.498,4.715
1788532737.295142,1788532737.299296,4.154,4.206
1788532737.302637,1788532737.307588,4.951,4.819
1788532737.311783,1788532737.314809,3.025,3.702
1788532737.319547,1788532737.323423,3.876,3.866
1788532737.327688,1788532737.331460,3.772,3.804
1788532737.335008,1788532737.339743,4.735,4.441
1788532737.343744,1788532737.347340,3.596,3.729
1788532737.350927,1788532737.354972,4.045,4.593
1788532737.359633,1788532737.363726,4.093,3.887
1788532737.367707,1788532737.371694,3.987,3.841
1788532737.375684,1788532737.379436,3.752,3.948
1788532737.383025,1788532737.387082,4.057,4.592
1788532737.391976,1788532737.394966,2.990,3.599
1788532737.399714,1788532737.403600,3.887,3.945
1788532737.408649,1788532737.411178,2.529,2.972
1788532737.416233,1788532737.419826,3.593,3.379
