t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000000,1788532736.673310,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.008310,1788532736.673310,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.015557,1788532736.688836,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.023681,1788532736.693877,-0.0652,-0.0020,-0.0020,-0.0020,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0395,0.0012,0.0018,0.0018,0.0000,0,0,0,-0.0495,-0.0015,0.0018,0.0018,0.0000,0,0,0,0.0649,0.0020,0.0024,0.0024,0.0000,0,0,0,-0.0550,-0.0017,-0.0020,-0.0020,0.0000,0,0,0
0.031658,1788532736.701904,-0.0652,-0.0050,-0.0050,-0.0050,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0395,0.0031,0.0046,0.0046,0.0000,0,0,0,-0.0495,-0.0038,0.0046,0.0046,0.0000,0,0,0,0.0649,0.0050,0.0060,0.0060,0.0000,0,0,0,-0.0550,-0.0042,-0.0051,-0.0051,0.0000,0,0,0
0.040314,1788532736.709573,-0.0652,-0.0078,-0.0078,-0.0078,-0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0395,0.0047,0.0071,0.0071,0.0000,0,0,0,-0.0495,-0.0059,0.0071,0.0071,0.0000,0,0,0,0.0649,0.0078,0.0093,0.0093,0.0000,0,0,0,-0.0550,-0.0066,-0.0079,-0.0079,-0.0000,0,0,0
0.048021,1788532736.718720,-0.2876,-0.0230,-0.0230,-0.0230,-0.0000,0,0,0,0.0470,0.0026,-0.0056,-0.0056,0.0000,0,0,0,0.0519,0.0073,0.0109,0.0109,0.0000,0,0,0,-0.0793,-0.0099,0.0119,0.0119,0.0000,0,0,0,0.0334,0.0092,0.0110,0.0110,0.0000,0,0,0,-0.0553,-0.0092,-0.0111,-0.0111,-0.0000,0,0,0
0.055665,1788532736.725298,-0.3930,-0.0377,-0.0377,-0.0377,-0.0000,0,0,0,0.0490,0.0044,-0.0097,-0.0097,0.0000,0,0,0,0.0689,0.0097,0.0146,0.0146,0.0000,0,0,0,-0.0236,-0.0105,0.0125,0.0125,0.0000,0,0,0,-0.0008,0.0088,0.0105,0.0105,0.0000,0,0,0,-0.1236,-0.0138,-0.0165,-0.0165,-0.0000,0,0,0
0.063568,1788532736.733835,-0.3930,-0.0558,-0.0558,-0.0558,-0.0000,0,0,0,0.0490,0.0067,-0.0147,-0.0147,0.0000,0,0,0,0.0689,0.0127,0.0191,0.0191,0.0000,0,0,0,-0.0236,-0.0111,0.0133,0.0133,0.0000,0,0,0,-0.0008,0.0083,0.0099,0.0099,0.0000,0,0,0,-0.1236,-0.0194,-0.0232,-0.0232,-0.0000,0,0,0
0.072153,1788532736.742360,-0.3930,-0.0730,-0.0730,-0.0730,-0.0000,0,0,0,0.0490,0.0088,-0.0194,-0.0194,-0.0000,0,0,0,0.0689,0.0156,0.0234,0.0234,0.0000,0,0,0,-0.0236,-0.0118,0.0141,0.0141,0.0000,0,0,0,-0.0008,0.0078,0.0094,0.0094,0.0000,0,0,0,-0.1236,-0.0247,-0.0296,-0.0296,-0.0000,0,0,0
0.079543,1788532736.750023,-0.3930,-0.0877,-0.0877,-0.0877,-0.0001,0,0,0,0.0490,0.0107,-0.0235,-0.0235,-0.0000,0,0,0,0.0689,0.0181,0.0271,0.0271,0.0001,0,0,0,-0.0236,-0.0123,0.0148,0.0148,0.0001,0,0,0,-0.0008,0.0074,0.0089,0.0089,0.0001,0,0,0,-0.1236,-0.0292,-0.0351,-0.0351,-0.0001,0,0,0
0.088023,1788532736.757352,-0.3930,-0.1011,-0.1011,-0.1011,-0.0002,0,0,0,0.0490,0.0124,-0.0272,-0.0272,-0.0000,0,0,0,0.0689,0.0203,0.0304,0.0304,0.0001,0,0,0,-0.0236,-0.0128,0.0154,0.0154,0.0001,0,0,0,-0.0008,0.0071,0.0085,0.0085,0.0001,0,0,0,-0.1236,-0.0334,-0.0400,-0.0400,-0.0001,0,0,0
0.096217,1788532736.766416,-0.3930,-0.1169,-0.1169,-0.1169,-0.0004,0,0,0,0.0490,0.0143,-0.0315,-0.0315,-0.0001,0,0,0,0.0689,0.0229,0.0344,0.0344,0.0002,0,0,0,-0.0236,-0.0134,0.0161,0.0161,0.0002,0,0,0,-0.0008,0.0066,0.0080,0.0080,0.0002,0,0,0,-0.1236,-0.0382,-0.0459,-0.0459,-0.0003,0,0,0
0.104314,1788532736.773549,-0.3930,-0.1288,-0.1288,-0.1288,-0.0008,0,0,0,0.0490,0.0158,-0.0348,-0.0348,-0.0002,0,0,0,0.0689,0.0249,0.0373,0.0373,0.0004,0,0,0,-0.0236,-0.0138,0.0166,0.0166,0.0003,0,0,0,-0.0008,0.0063,0.0076,0.0076,0.0003,0,0,0,-0.1236,-0.0419,-0.0503,-0.0503,-0.0004,0,0,0
0.112375,1788532736.782619,-0.8924,-0.1700,-0.1700,-0.1700,-0.0015,0,0,0,0.1031,0.0205,-0.0452,-0.0452,-0.0003,0,0,0,0.0374,0.0256,0.0383,0.0383,0.0006,0,0,0,-0.1107,-0.0190,0.0229,0.0229,0.0005,0,0,0,0.1492,0.0140,0.0168,0.0168,0.0005,0,0,0,-0.0706,-0.0434,-0.0521,-0.0521,-0.0007,0,0,0
0.120409,1788532736.790690,-0.9850,-0.2094,-0.2094,-0.2094,-0.0025,0,0,0,0.1012,0.0244,-0.0537,-0.0537,-0.0006,0,0,0,0.0263,0.0256,0.0384,0.0384,0.0009,0,0,0,-0.1057,-0.0232,0.0279,0.0279,0.0007,0,0,0,0.1282,0.0195,0.0234,0.0234,0.0006,0,0,0,-0.0207,-0.0423,-0.0508,-0.0508,-0.0011,0,0,0
0.127957,1788532736.798686,-0.9850,-0.2467,-0.2467,-0.2467,-0.0035,0,0,0,0.1012,0.0281,-0.0618,-0.0618,-0.0009,0,0,0,0.0263,0.0256,0.0384,0.0384,0.0013,0,0,0,-0.1057,-0.0272,0.0326,0.0326,0.0009,0,0,0,0.1282,0.0247,0.0297,0.0297,0.0008,0,0,0,-0.0207,-0.0413,-0.0496,-0.0496,-0.0016,0,0,0
0.136102,1788532736.806298,-1.1780,-0.2893,-0.2893,-0.2893,-0.0058,0,0,0,0.0451,0.0289,-0.0635,-0.0635,-0.0015,0,0,0,-0.0278,0.0232,0.0348,0.0348,0.0020,0,0,0,-0.0319,-0.0274,0.0329,0.0329,0.0013,0,0,0,0.0268,0.0248,0.0298,0.0298,0.0010,0,0,0,-0.0207,-0.0404,-0.0484,-0.0484,-0.0025,0,0,0
0.144456,1788532736.814161,-1.2609,-0.3352,-0.3352,-0.3352,-0.0077,0,0,0,0.0451,0.0296,-0.0652,-0.0652,-0.0020,0,0,0,-0.0278,0.0208,0.0312,0.0312,0.0025,0,0,0,0.0091,-0.0257,0.0308,0.0308,0.0016,0,0,0,0.0028,0.0238,0.0285,0.0285,0.0012,0,0,0,0.0025,-0.0384,-0.0460,-0.0460,-0.0031,0,0,0
0.152525,1788532736.822288,-1.2609,-0.3804,-0.3804,-0.3804,-0.0111,0,0,0,0.0451,0.0304,-0.0668,-0.0668,-0.0028,0,0,0,-0.0278,0.0184,0.0276,0.0276,0.0033,0,0,0,0.0091,-0.0240,0.0288,0.0288,0.0021,0,0,0,0.0028,0.0228,0.0273,0.0273,0.0016,0,0,0,0.0025,-0.0364,-0.0436,-0.0436,-0.0042,0,0,0
0.160089,1788532736.830355,-1.2609,-0.4231,-0.4231,-0.4231,-0.0155,0,0,0,0.0451,0.0311,-0.0684,-0.0684,-0.0039,0,0,0,-0.0278,0.0162,0.0243,0.0243,0.0042,0,0,0,0.0091,-0.0224,0.0269,0.0269,0.0027,0,0,0,0.0028,0.0218,0.0262,0.0262,0.0020,0,0,0,0.0025,-0.0345,-0.0414,-0.0414,-0.0054,0,0,0
0.168377,1788532736.838194,-1.5131,-0.4745,-0.4745,-0.4745,-0.0212,0,0,0,0.1101,0.0348,-0.0766,-0.0766,-0.0053,0,0,0,0.0385,0.0172,0.0259,0.0259,0.0052,0,0,0,0.0074,-0.0210,0.0252,0.0252,0.0034,0,0,0,0.0824,0.0247,0.0296,0.0296,0.0026,0,0,0,0.1241,-0.0270,-0.0325,-0.0325,-0.0067,0,0,0
0.175957,1788532736.846212,-1.5131,-0.5246,-0.5246,-0.5246,-0.0285,0,0,0,0.1101,0.0384,-0.0845,-0.0845,-0.0069,0,0,0,0.0385,0.0183,0.0274,0.0274,0.0062,0,0,0,0.0074,-0.0196,0.0236,0.0236,0.0042,0,0,0,0.0824,0.0274,0.0329,0.0329,0.0033,0,0,0,0.1241,-0.0198,-0.0238,-0.0238,-0.0081,0,0,0
0.183648,1788532736.854305,-1.5131,-0.5727,-0.5727,-0.5727,-0.0376,0,0,0,0.1101,0.0419,-0.0922,-0.0922,-0.0087,0,0,0,0.0385,0.0192,0.0289,0.0289,0.0073,0,0,0,0.0074,-0.0183,0.0220,0.0220,0.0051,0,0,0,0.0824,0.0301,0.0361,0.0361,0.0041,0,0,0,0.1241,-0.0128,-0.0154,-0.0154,-0.0096,0,0,0
0.192207,1788532736.861461,-1.5131,-0.6135,-0.6135,-0.6135,-0.0488,0,0,0,0.1101,0.0448,-0.0986,-0.0986,-0.0109,0,0,0,0.0385,0.0201,0.0301,0.0301,0.0083,0,0,0,0.0074,-0.0172,0.0207,0.0207,0.0060,0,0,0,0.0824,0.0323,0.0388,0.0388,0.0049,0,0,0,0.1241,-0.0069,-0.0083,-0.0083,-0.0111,0,0,0
