t_capture,t_command,latency_ms,signal_age_ms
1788532781.771430,1788532781.771430,0.000,0.000
1788532781.779505,1788532781.779505,0.000,0.000
1788532781.787095,1788532781.787095,0.000,0.000
1788532781.794615,1788532781.794615,0.000,0.000
1788532781.803270,1788532781.803270,0.000,0.000
1788532781.811469,1788532781.811469,0.000,0.000
1788532781.819123,1788532781.819123,0.000,0.000
1788532781.770456,1788532781.827307,56.850,56.625
1788532781.770456,1788532781.835581,65.125,64.842
1788532781.786003,1788532781.842626,56.623,56.762
1788532781.791094,1788532781.851813,60.720,60.522
1788532781.798229,1788532781.859317,61.089,61.203
1788532781.807411,1788532781.867410,59.999,59.813
1788532781.815178,1788532781.875480,60.302,60.577
1788532781.822830,1788532781.883094,60.264,60.470
1788532781.829376,1788532781.891789,62.413,62.338
1788532781.837602,1788532781.899417,61.814,62.697
1788532781.846158,1788532781.907067,60.909,61.658
1788532781.853285,1788532781.915298,62.013,62.254
1788532781.862862,1788532781.923875,61.013,60.171
1788532781.870413,1788532781.931915,61.501,60.572
1788532781.878011,1788532781.939922,61.911,61.424
1788532781.886124,1788532781.947867,61.743,61.553
1788532781.894790,1788532781.954979,60.189,60.241
1788532781.902416,1788532781.963629,61.213,61.749
1788532781.910069,1788532781.971359,61.291,61.690
1788532781.918308,1788532781.979404,61.097,61.680
1788532781.926888,1788532781.987120,60.232,60.956
1788532781.933905,1788532781.995082,61.176,61.906
1788532781.942843,1788532782.003658,60.815,60.486
1788532781.950968,1788532782.010659,59.691,60.356
1788532781.958969,1788532782.019336,60.367,60.459
1788532781.966710,1788532782.027378,60.668,60.979
1788532781.974430,1788532782.035421,60.990,61.335
1788532781.983155,1788532782.043415,60.261,60.870
1788532781.991146,1788532782.051966,60.820,61.518
1788532781.998906,1788532782.059697,60.791,60.823
1788532782.006647,1788532782.067477,60.830,61.905
1788532782.015413,1788532782.076010,60.597,61.015
1788532782.023302,1788532782.083750,60.448,60.812
1788532782.031383,1788532782.091447,60.065,60.492
1788532782.039416,1788532782.100087,60.671,61.091
1788532782.047374,1788532782.107688,60.314,60.164
1788532782.053581,1788532782.115473,61.892,62.027
1788532782.062343,1788532782.123434,61.090,61.503
1788532782.070495,1788532782.132378,61.883,60.886
1788532782.079106,1788532782.139960,60.854,61.136
1788532782.087456,1788532782.147980,60.525,61.117
1788532782.095427,1788532782.155735,60.308,60.249
1788532782.102119,1788532782.163744,61.625,61.981
1788532782.110772,1788532782.172227,61.455,62.054
1788532782.119468,1788532782.179472,60.003,60.588
1788532782.127438,1788532782.188282,60.844,61.539
