t_capture,t_command,latency_ms,signal_age_ms
1788532822.926938,1788532822.926938,0.000,0.000
1788532822.935817,1788532822.935817,0.000,0.000
1788532822.943513,1788532822.943513,0.000,0.000
1788532822.951524,1788532822.951524,0.000,0.000
1788532822.959476,1788532822.959476,0.000,0.000
1788532822.968063,1788532822.968063,0.000,0.000
1788532822.976074,1788532822.976074,0.000,0.000
1788532822.983803,1788532822.983803,0.000,0.000
1788532822.991491,1788532822.991491,0.000,0.000
1788532823.000394,1788532823.000394,0.000,0.000
1788532823.007434,1788532823.008431,0.998,0.000
1788532823.016091,1788532823.016091,0.000,0.000
1788532823.023760,1788532823.023760,0.000,0.000
1788532822.926938,1788532823.032363,105.425,105.956
1788532822.926938,1788532823.040388,113.450,113.123
1788532822.942441,1788532823.048153,105.712,105.846
1788532822.948625,1788532823.055643,107.018,107.432
1788532822.957209,1788532823.063366,106.157,106.614
1788532822.964429,1788532823.071914,107.485,107.417
1788532822.973082,1788532823.080033,106.951,106.844
1788532822.980977,1788532823.088482,107.505,107.683
1788532822.988581,1788532823.096500,107.919,108.427
1788532822.997653,1788532823.104245,106.591,106.306
1788532823.004393,1788532823.112648,108.255,108.415
1788532823.012015,1788532823.119662,107.647,107.708
1788532823.020687,1788532823.128511,107.824,107.928
1788532823.028757,1788532823.135789,107.032,106.928
1788532823.036504,1788532823.144165,107.661,107.512
1788532823.045027,1788532823.152056,107.029,107.094
1788532823.053046,1788532823.160187,107.141,107.778
1788532823.060447,1788532823.168297,107.849,108.843
1788532823.068902,1788532823.176436,107.534,107.993
1788532823.076912,1788532823.184640,107.728,108.113
1788532823.084465,1788532823.192635,108.171,108.011
1788532823.093503,1788532823.200590,107.087,106.929
1788532823.101049,1788532823.208635,107.586,107.689
1788532823.108623,1788532823.216714,108.091,108.393
1788532823.117115,1788532823.224716,107.601,108.266
1788532823.124854,1788532823.232820,107.966,107.830
1788532823.132917,1788532823.240551,107.634,108.305
1788532823.141491,1788532823.248617,107.126,107.390
1788532823.148655,1788532823.256592,107.937,108.370
1788532823.157603,1788532823.264469,106.867,107.176
1788532823.165632,1788532823.272880,107.248,107.433
1788532823.173348,1788532823.280713,107.365,107.403
1788532823.180928,1788532823.288382,107.455,107.435
1788532823.189647,1788532823.296396,106.749,106.755
1788532823.196935,1788532823.304929,107.994,108.048
1788532823.204622,1788532823.312955,108.333,108.380
1788532823.213748,1788532823.320940,107.192,107.148
1788532823.221667,1788532823.328497,106.830,106.710
1788532823.229700,1788532823.336441,106.741,106.476
1788532823.237521,1788532823.344547,107.026,107.066
1788532823.244503,1788532823.352271,107.768,107.780
1788532823.253592,1788532823.360634,107.043,107.135
1788532823.261539,1788532823.368605,107.066,107.344
1788532823.269588,1788532823.376552,106.964,106.846
1788532823.276926,1788532823.384420,107.493,107.540
1788532823.285146,1788532823.392400,107.255,107.533
1788532823.293467,1788532823.401044,107.577,107.975
1788532823.301992,1788532823.408622,106.630,106.494
1788532823.309939,1788532823.416315,106.376,106.161
1788532823.317017,1788532823.424494,107.477,107.382
1788532823.324360,1788532823.432562,108.202,108.559
1788532823.333497,1788532823.440729,107.231,107.656
1788532823.342396,1788532823.449295,106.899,106.832
1788532823.349132,1788532823.456925,107.793,108.404
1788532823.357525,1788532823.464980,107.455,107.617
1788532823.365630,1788532823.473473,107.843,107.090
1788532823.374540,1788532823.481510,106.970,106.317
1788532823.381565,1788532823.489069,107.504,107.908
1788532823.389410,1788532823.497097,107.687,108.117
1788532823.397046,1788532823.505174,108.128,107.971
1788532823.405629,1788532823.512965,107.337,107.631
1788532823.414661,1788532823.521167,106.506,107.136
1788532823.420918,1788532823.528705,107.788,108.208
1788532823.428571,1788532823.536741,108.169,108.483
1788532823.437821,1788532823.544809,106.988,107.254
1788532823.445729,1788532823.553421,107.692,107.448
1788532823.453369,1788532823.560971,107.602,107.969
1788532823.462018,1788532823.568984,106.966,107.267
1788532823.469934,1788532823.576773,106.839,107.652
1788532823.477491,1788532823.585686,108.195,108.979
1788532823.486071,1788532823.593817,107.746,106.831
1788532823.494204,1788532823.601588,107.384,107.588
1788532823.502156,1788532823.609253,107.097,107.254
1788532823.510323,1788532823.617033,106.710,107.098
1788532823.516957,1788532823.625790,108.833,109.049
1788532823.525739,1788532823.633757,108.018,108.701
1788532823.533852,1788532823.641352,107.500,108.139
1788532823.541791,1788532823.649490,107.699,108.288
1788532823.549195,1788532823.657736,108.541,108.514
1788532823.557952,1788532823.665539,107.587,107.847
1788532823.566082,1788532823.673618,107.536,108.008
1788532823.573872,1788532823.682101,108.229,108.864
1788532823.581524,1788532823.689681,108.157,108.062
1788532823.589705,1788532823.697808,108.102,109.013
1788532823.597434,1788532823.706224,108.790,107.823
1788532823.606313,1788532823.713644,107.331,107.711
1788532823.614019,1788532823.721681,107.662,108.242
1788532823.622668,1788532823.730217,107.549,107.359
1788532823.630754,1788532823.737298,106.544,106.409
1788532823.637332,1788532823.745725,108.393,108.730
1788532823.646492,1788532823.753970,107.478,107.680
1788532823.654207,1788532823.761761,107.554,107.527
1788532823.661486,1788532823.769886,108.400,108.536
1788532823.670621,1788532823.778351,107.730,106.787
1788532823.677631,1788532823.786409,108.778,107.680
1788532823.686673,1788532823.794412,107.739,107.074
1788532823.693857,1788532823.801741,107.884,108.091
1788532823.702404,1788532823.809867,107.463,108.301
1788532823.709615,1788532823.818601,108.985,109.397
1788532823.717664,1788532823.826148,108.484,108.867
1788532823.726215,1788532823.834285,108.070,107.890
1788532823.734303,1788532823.841948,107.645,108.410
1788532823.741709,1788532823.849984,108.275,108.663
1788532823.749262,1788532823.858029,108.767,108.891
1788532823.757504,1788532823.866120,108.615,108.946
1788532823.765786,1788532823.874149,108.364,108.570
1788532823.774813,1788532823.882192,107.379,107.968
1788532823.783377,1788532823.890741,107.364,108.143
1788532823.789531,1788532823.897347,107.816,108.500
1788532823.798431,1788532823.905504,107.072,107.483
1788532823.806327,1788532823.914266,107.939,108.294
1788532823.814999,1788532823.922335,107.336,107.264
1788532823.823130,1788532823.930744,107.614,107.866
1788532823.830172,1788532823.938933,108.761,108.329
1788532823.838913,1788532823.946218,107.305,107.879
1788532823.846963,1788532823.954770,107.807,108.188
1788532823.853989,1788532823.962815,108.826,109.350
1788532823.861568,1788532823.970872,109.304,109.794
1788532823.870135,1788532823.978527,108.392,108.860
1788532823.878800,1788532823.987044,108.244,107.597
1788532823.885736,1788532823.995050,109.314,107.837
1788532823.893274,1788532824.003072,109.797,109.982
1788532823.902487,1788532824.010788,108.301,109.464
1788532823.910031,1788532824.018531,108.500,108.945
1788532823.917265,1788532824.026950,109.685,109.980
1788532823.926708,1788532824.034853,108.145,108.029
1788532823.934396,1788532824.042631,108.235,108.587
1788532823.941941,1788532824.050154,108.213,108.715
1788532823.950219,1788532824.058871,108.653,108.530
1788532823.958772,1788532824.066386,107.614,107.513
1788532823.966835,1788532824.074400,107.565,107.402
1788532823.974409,1788532824.082818,108.409,108.577
1788532823.984176,1788532824.090562,106.386,107.179
1788532823.989937,1788532824.098592,108.655,109.453
1788532823.999069,1788532824.107300,108.231,107.808
1788532824.007063,1788532824.114935,107.872,107.834
1788532824.014420,1788532824.122506,108.086,108.365
1788532824.023193,1788532824.131097,107.904,107.824
1788532824.030940,1788532824.139134,108.194,108.234
1788532824.038001,1788532824.147266,109.265,109.496
1788532824.046697,1788532824.155160,108.463,109.215
1788532824.054336,1788532824.162807,108.471,108.588
1788532824.061551,1788532824.170906,109.355,109.929
1788532824.070394,1788532824.178737,108.343,108.936
