t_capture,t_command,latency_ms,signal_age_ms
1788532865.648097,1788532865.648097,0.000,0.000
1788532865.656184,1788532865.656184,0.000,0.000
1788532865.664399,1788532865.664399,0.000,0.000
1788532865.672314,1788532865.672314,0.000,0.000
1788532865.680352,1788532865.680352,0.000,0.000
1788532865.687900,1788532865.687900,0.000,0.000
1788532865.696281,1788532865.696281,0.000,0.000
1788532865.704285,1788532865.704285,0.000,0.000
1788532865.711290,1788532865.711290,0.000,0.000
1788532865.719817,1788532865.719817,0.000,0.000
1788532865.727817,1788532865.727817,0.000,0.000
1788532865.736455,1788532865.736455,0.000,0.000
1788532865.743972,1788532865.743972,0.000,0.000
1788532865.752502,1788532865.752502,0.000,0.000
1788532865.760425,1788532865.760425,0.000,0.000
1788532865.768425,1788532865.768425,0.000,0.000
1788532865.776417,1788532865.776417,0.000,0.000
1788532865.784592,1788532865.784592,0.000,0.000
1788532865.792128,1788532865.792128,0.000,0.000
1788532865.800649,1788532865.800649,0.000,0.000
1788532865.808036,1788532865.808036,0.000,0.000
1788532865.816036,1788532865.816036,0.000,0.000
1788532865.824043,1788532865.824043,0.000,0.000
1788532865.832189,1788532865.832189,0.000,0.000
1788532865.840189,1788532865.840189,0.000,0.000
1788532865.647214,1788532865.848701,201.487,201.388
1788532865.855984,1788532865.855984,0.000,0.000
1788532865.647214,1788532865.864055,216.841,216.669
1788532865.662589,1788532865.872056,209.467,209.275
1788532865.667925,1788532865.880136,212.211,212.173
1788532865.684369,1788532865.888653,204.284,204.598
1788532865.692267,1788532865.896672,204.405,204.413
1788532865.904212,1788532865.904212,0.000,0.000
1788532865.708291,1788532865.912909,204.619,204.675
1788532865.716816,1788532865.920909,204.093,203.617
1788532865.724818,1788532865.928441,203.623,204.167
1788532865.935956,1788532865.935956,0.000,0.000
1788532865.739455,1788532865.944483,205.028,205.417
1788532865.952488,1788532865.952488,0.000,0.000
1788532865.748982,1788532865.960015,211.033,210.983
1788532865.765426,1788532865.968551,203.125,203.170
1788532865.976150,1788532865.976150,0.000,0.000
1788532865.773425,1788532865.984308,210.883,210.917
1788532865.787586,1788532865.992558,204.973,205.308
1788532865.796650,1788532866.000711,204.062,203.901
1788532865.804036,1788532866.008175,204.139,204.601
1788532865.813041,1788532866.016197,203.156,203.653
1788532865.820044,1788532866.024251,204.207,204.589
1788532865.828045,1788532866.032868,204.823,205.094
1788532866.039866,1788532866.039866,0.000,0.000
1788532865.845191,1788532866.048898,203.707,203.599
1788532865.851804,1788532866.057104,205.300,204.891
1788532865.861040,1788532866.064172,203.131,203.683
1788532865.869056,1788532866.073172,204.116,203.677
1788532865.877057,1788532866.080211,203.155,203.674
1788532865.885134,1788532866.088768,203.635,203.661
1788532866.096444,1788532866.096444,0.000,0.000
1788532865.900199,1788532866.104966,204.767,205.197
1788532865.909305,1788532866.112974,203.669,204.467
1788532865.915909,1788532866.120974,205.065,205.875
1788532865.924909,1788532866.128485,203.576,203.845
1788532865.932947,1788532866.137172,204.225,204.987
1788532865.940483,1788532866.145160,204.677,204.953
1788532865.949482,1788532866.153161,203.679,203.955
1788532865.955820,1788532866.160679,204.859,205.550
1788532866.168227,1788532866.168227,0.000,0.000
1788532865.972620,1788532866.177251,204.630,204.655
1788532865.980787,1788532866.185348,204.561,204.045
1788532866.192354,1788532866.192354,0.000,0.000
1788532865.995699,1788532866.200943,205.244,205.319
1788532866.004139,1788532866.209095,204.956,205.584
1788532866.013195,1788532866.216618,203.423,204.049
1788532866.021238,1788532866.224614,203.375,203.933
1788532866.232649,1788532866.232649,0.000,0.000
1788532866.036873,1788532866.241158,204.286,205.171
1788532866.045397,1788532866.249163,203.766,203.639
1788532866.052099,1788532866.256685,204.587,205.421
1788532866.061167,1788532866.265212,204.046,204.782
1788532866.069175,1788532866.272739,203.564,204.313
1788532866.077170,1788532866.281273,204.103,204.863
1788532866.288647,1788532866.288647,0.000,0.000
1788532866.085240,1788532866.296185,210.945,211.149
1788532866.093437,1788532866.304716,211.278,211.809
1788532866.108973,1788532866.313246,204.273,204.318
1788532866.116975,1788532866.321244,204.269,204.245
1788532866.125478,1788532866.329234,203.757,204.295
1788532866.336885,1788532866.336885,0.000,0.000
1788532866.133017,1788532866.344892,211.876,211.698
1788532866.149161,1788532866.353402,204.242,204.172
1788532866.158167,1788532866.360933,202.766,203.063
1788532866.165227,1788532866.369172,203.945,204.809
1788532866.172702,1788532866.377687,204.985,205.278
1788532866.180340,1788532866.385733,205.393,206.070
1788532866.189354,1788532866.393759,204.404,204.073
1788532866.400816,1788532866.401829,1.013,0.000
1788532866.205461,1788532866.409150,203.689,203.674
1788532866.417822,1788532866.417822,0.000,0.000
1788532866.221610,1788532866.425393,203.783,204.227
1788532866.228122,1788532866.433016,204.893,205.289
1788532866.441115,1788532866.441115,0.000,0.000
1788532866.246166,1788532866.449371,203.205,203.241
1788532866.253683,1788532866.457515,203.832,204.378
1788532866.465144,1788532866.465144,0.000,0.000
1788532866.269211,1788532866.473153,203.943,204.424
1788532866.277740,1788532866.481588,203.848,203.727
1788532866.284647,1788532866.489187,204.540,205.145
1788532866.293193,1788532866.497226,204.033,205.134
1788532866.300717,1788532866.505765,205.049,205.635
1788532866.309246,1788532866.513294,204.048,204.073
1788532866.317245,1788532866.521453,204.208,204.253
1788532866.325247,1788532866.530113,204.867,204.989
1788532866.333897,1788532866.536977,203.079,203.497
1788532866.341884,1788532866.545482,203.598,204.071
1788532866.349403,1788532866.553980,204.577,204.512
1788532866.357399,1788532866.562159,204.760,205.211
1788532866.364630,1788532866.570152,205.522,205.748
1788532866.373176,1788532866.577962,204.787,204.677
1788532866.585592,1788532866.585592,0.000,0.000
1788532866.389738,1788532866.594114,204.376,205.235
1788532866.397738,1788532866.601941,204.203,204.936
1788532866.405143,1788532866.609947,204.804,205.269
1788532866.413709,1788532866.617943,204.234,205.503
1788532866.420879,1788532866.625899,205.020,205.245
1788532866.429936,1788532866.633768,203.832,204.460
1788532866.437246,1788532866.642296,205.049,204.543
1788532866.446329,1788532866.649834,203.505,203.857
1788532866.453849,1788532866.658092,204.243,204.406
1788532866.461770,1788532866.665546,203.776,204.317
1788532866.469158,1788532866.674075,204.916,205.524
1788532866.478074,1788532866.682271,204.197,204.365
1788532866.486177,1788532866.689272,203.095,203.710
1788532866.494020,1788532866.698316,204.296,204.883
1788532866.502098,1788532866.706371,204.273,204.322
1788532866.509774,1788532866.714330,204.556,205.106
1788532866.519450,1788532866.721888,202.438,202.846
1788532866.729892,1788532866.729892,0.000,0.000
1788532866.534966,1788532866.737988,203.022,203.935
1788532866.544477,1788532866.745988,201.511,201.972
1788532866.550992,1788532866.754109,203.117,203.094
1788532866.761621,1788532866.761621,0.000,0.000
1788532866.559433,1788532866.770143,210.709,210.541
1788532866.575066,1788532866.778163,203.097,203.141
1788532866.583583,1788532866.785803,202.220,202.704
1788532866.591113,1788532866.794309,203.195,203.142
1788532866.598933,1788532866.802356,203.422,203.587
1788532866.607949,1788532866.810369,202.420,202.578
1788532866.817922,1788532866.817922,0.000,0.000
1788532866.623536,1788532866.825922,202.386,202.648
1788532866.631762,1788532866.834608,202.846,203.242
1788532866.639297,1788532866.842619,203.322,204.177
1788532866.647295,1788532866.850147,202.851,203.174
1788532866.655937,1788532866.858147,202.210,202.222
1788532866.663451,1788532866.866046,202.595,203.206
1788532866.671551,1788532866.874520,202.969,202.789
1788532866.882038,1788532866.882038,0.000,0.000
1788532866.687274,1788532866.890614,203.340,204.113
1788532866.695805,1788532866.898669,202.864,202.624
1788532866.703321,1788532866.906669,203.349,203.188
1788532866.712319,1788532866.914669,202.350,202.280
1788532866.719886,1788532866.922670,202.784,203.169
1788532866.727900,1788532866.930669,202.769,203.202
1788532866.735991,1788532866.938777,202.786,203.132
1788532866.743989,1788532866.946289,202.300,202.685
1788532866.751108,1788532866.954449,203.341,203.606
1788532866.760615,1788532866.961966,201.351,202.094
1788532866.969970,1788532866.969970,0.000,0.000
1788532866.776167,1788532866.978501,202.334,202.511
1788532866.783790,1788532866.986085,202.295,202.917
1788532866.994085,1788532866.994085,0.000,0.000
1788532866.801356,1788532867.002474,201.119,201.141
1788532866.808354,1788532867.010489,202.135,202.194
1788532866.815913,1788532867.018478,202.565,203.112
1788532866.823923,1788532867.026477,202.554,203.036
1788532867.034566,1788532867.034566,0.000,0.000
1788532866.831089,1788532867.042578,211.489,211.368
1788532866.848146,1788532867.050580,202.433,202.820
1788532867.058100,1788532867.058100,0.000,0.000
1788532866.864043,1788532867.066624,202.581,203.058
1788532866.871526,1788532867.074624,203.098,203.106
1788532866.880532,1788532867.082664,202.132,202.661
1788532867.090187,1788532867.090187,0.000,0.000
1788532866.896677,1788532867.098969,202.292,202.189
1788532866.903682,1788532867.106974,203.291,203.236
1788532867.114591,1788532867.114591,0.000,0.000
1788532866.912677,1788532867.122094,209.418,209.331
1788532866.920681,1788532867.130164,209.483,209.372
1788532866.928677,1788532867.138503,209.827,209.789
1788532866.944293,1788532867.146509,202.217,202.443
1788532866.951810,1788532867.154605,202.795,203.037
1788532866.960962,1788532867.162253,201.291,202.003
1788532866.967966,1788532867.170428,202.463,203.193
