t_capture,t_command,latency_ms,signal_age_ms
1788532909.183297,1788532909.183865,0.568,0.000
1788532909.191376,1788532909.191376,0.000,0.000
1788532909.199332,1788532909.199332,0.000,0.000
1788532909.207294,1788532909.207294,0.000,0.000
1788532909.215346,1788532909.215346,0.000,0.000
1788532909.223003,1788532909.223003,0.000,0.000
1788532909.231558,1788532909.231558,0.000,0.000
1788532909.239110,1788532909.239110,0.000,0.000
1788532909.247234,1788532909.247234,0.000,0.000
1788532909.255707,1788532909.255707,0.000,0.000
1788532909.263551,1788532909.263551,0.000,0.000
1788532909.271078,1788532909.271078,0.000,0.000
1788532909.279111,1788532909.279111,0.000,0.000
1788532909.287133,1788532909.287133,0.000,0.000
1788532909.295701,1788532909.295701,0.000,0.000
1788532909.303107,1788532909.303107,0.000,0.000
1788532909.311157,1788532909.311157,0.000,0.000
1788532909.319176,1788532909.319176,0.000,0.000
1788532909.327255,1788532909.327255,0.000,0.000
1788532909.335310,1788532909.335310,0.000,0.000
1788532909.343341,1788532909.343341,0.000,0.000
1788532909.351343,1788532909.351343,0.000,0.000
1788532909.359913,1788532909.359913,0.000,0.000
1788532909.367924,1788532909.367924,0.000,0.000
1788532909.376038,1788532909.376038,0.000,0.000
1788532909.384078,1788532909.384078,0.000,0.000
1788532909.391989,1788532909.391989,0.000,0.000
1788532909.400148,1788532909.400148,0.000,0.000
1788532909.408166,1788532909.408166,0.000,0.000
1788532909.416044,1788532909.416044,0.000,0.000
1788532909.423706,1788532909.423706,0.000,0.000
1788532909.432807,1788532909.432807,0.000,0.000
1788532909.440897,1788532909.440897,0.000,0.000
1788532909.448910,1788532909.448910,0.000,0.000
1788532909.456476,1788532909.456476,0.000,0.000
1788532909.464517,1788532909.464517,0.000,0.000
1788532909.472577,1788532909.472577,0.000,0.000
1788532909.480673,1788532909.480673,0.000,0.000
1788532909.488644,1788532909.488644,0.000,0.000
1788532909.495786,1788532909.495786,0.000,0.000
1788532909.504837,1788532909.504837,0.000,0.000
1788532909.512351,1788532909.512351,0.000,0.000
1788532909.521014,1788532909.521014,0.000,0.000
1788532909.528089,1788532909.528089,0.000,0.000
1788532909.536244,1788532909.537136,0.893,0.000
1788532909.544426,1788532909.544426,0.000,0.000
1788532909.552620,1788532909.552620,0.000,0.000
1788532909.560087,1788532909.561142,1.055,0.000
1788532909.568216,1788532909.568216,0.000,0.000
1788532909.576885,1788532909.576885,0.000,0.000
1788532909.182666,1788532909.584468,401.802,401.790
1788532909.182666,1788532909.593038,410.372,410.296
1788532909.198252,1788532909.600599,402.348,402.566
1788532909.207294,1788532909.608704,401.410,401.780
1788532909.215346,1788532909.616398,401.052,401.306
1788532909.223003,1788532909.624910,401.907,402.606
1788532909.231558,1788532909.632524,400.966,400.990
1788532909.239110,1788532909.640091,400.980,401.581
1788532909.247234,1788532909.648667,401.433,401.852
1788532909.255707,1788532909.656442,400.736,400.784
1788532909.262006,1788532909.665084,403.078,403.311
1788532909.271078,1788532909.673111,402.034,402.753
1788532909.271078,1788532909.681028,409.950,410.661
1788532909.280110,1788532909.689197,409.087,409.743
1788532909.295701,1788532909.696798,401.097,401.242
1788532909.303107,1788532909.704288,401.181,401.841
1788532909.311157,1788532909.713186,402.028,402.733
1788532909.319176,1788532909.721281,402.105,402.783
1788532909.327255,1788532909.728490,401.235,401.826
1788532909.327255,1788532909.737000,409.745,410.349
1788532909.343341,1788532909.745074,401.733,402.276
1788532909.343341,1788532909.752512,409.171,409.718
1788532909.359913,1788532909.761140,401.227,401.307
1788532909.366927,1788532909.769202,402.275,402.403
1788532909.375020,1788532909.777399,402.380,402.363
1788532909.383078,1788532909.785459,402.381,402.293
1788532909.391989,1788532909.793144,401.155,401.222
1788532909.399525,1788532909.800698,401.173,401.064
1788532909.399525,1788532909.809516,409.991,409.877
1788532909.414825,1788532909.817557,402.732,402.781
1788532909.423706,1788532909.825094,401.388,401.691
1788532909.832740,1788532909.833630,0.890,0.000
1788532909.430306,1788532909.841663,411.356,410.170
1788532909.447911,1788532909.849196,401.285,401.163
1788532909.455486,1788532909.857073,401.587,401.839
1788532909.463516,1788532909.864736,401.220,401.520
1788532909.471585,1788532909.872791,401.206,401.401
1788532909.480673,1788532909.880812,400.139,400.246
1788532909.488644,1788532909.889337,400.692,400.763
1788532909.488644,1788532909.896872,408.228,409.167
1788532909.503262,1788532909.905581,402.318,402.299
1788532909.511350,1788532909.913117,401.767,402.241
1788532909.518994,1788532909.921130,402.136,401.994
1788532909.528089,1788532909.928906,400.818,401.583
1788532909.536244,1788532909.936932,400.688,401.290
1788532909.543482,1788532909.944978,401.496,401.944
1788532909.551563,1788532909.952968,401.405,401.525
1788532909.560087,1788532909.961529,401.441,402.206
1788532909.568216,1788532909.969542,401.326,402.041
1788532909.575888,1788532909.977081,401.192,401.197
1788532909.582900,1788532909.985664,402.764,403.226
1788532909.591505,1788532909.993858,402.354,402.293
1788532909.600599,1788532910.001897,401.298,400.646
1788532909.607660,1788532910.009422,401.762,402.069
1788532909.615412,1788532910.017462,402.050,402.677
1788532909.622887,1788532910.025075,402.188,402.198
1788532909.631520,1788532910.033975,402.455,401.679
1788532909.640091,1788532910.041020,400.929,401.817
1788532909.647666,1788532910.049581,401.916,402.286
1788532909.654796,1788532910.057599,402.803,403.308
1788532909.664520,1788532910.065325,400.805,400.789
1788532909.671100,1788532910.074023,402.923,402.276
1788532909.679324,1788532910.081122,401.799,401.843
1788532909.687079,1788532910.089616,402.537,402.474
1788532909.695799,1788532910.097320,401.521,401.843
1788532909.704288,1788532910.105974,401.686,402.492
1788532909.712238,1788532910.113483,401.245,401.200
1788532909.720251,1788532910.121458,401.207,400.986
1788532909.727917,1788532910.129144,401.227,401.958
1788532909.735492,1788532910.137824,402.332,402.522
1788532909.744017,1788532910.145779,401.762,401.762
1788532909.751518,1788532910.153831,402.313,403.063
1788532909.760141,1788532910.161581,401.440,401.405
1788532909.768223,1788532910.169329,401.106,401.124
1788532909.776460,1788532910.177595,401.135,401.017
1788532909.784458,1788532910.185616,401.157,400.942
1788532909.792119,1788532910.193852,401.733,401.847
1788532909.800177,1788532910.201588,401.411,402.000
1788532909.807505,1788532910.210062,402.557,402.235
1788532909.815558,1788532910.218110,402.551,402.214
1788532909.824094,1788532910.225756,401.663,401.953
1788532909.831682,1788532910.234014,402.332,402.957
1788532909.840645,1788532910.241971,401.326,402.057
1788532909.847682,1788532910.249980,402.299,402.488
1788532909.855559,1788532910.258018,402.459,402.764
1788532909.863723,1788532910.266557,402.834,403.501
1788532909.872280,1788532910.274669,402.390,402.024
1788532909.879820,1788532910.282218,402.398,403.012
1788532909.887318,1788532910.290219,402.901,402.999
1788532909.896872,1788532910.297767,400.895,401.515
1788532909.904579,1788532910.306021,401.442,401.364
1788532909.911117,1788532910.314658,403.541,403.948
1788532909.921130,1788532910.322238,401.108,401.478
1788532909.928170,1788532910.330354,402.184,402.851
1788532909.935935,1788532910.337899,401.964,402.574
1788532909.944978,1788532910.345932,400.953,401.524
1788532909.952968,1788532910.354488,401.520,402.200
1788532909.959537,1788532910.362031,402.494,402.482
1788532909.968559,1788532910.370096,401.537,401.692
1788532909.975080,1788532910.378144,403.064,403.639
1788532909.984152,1788532910.386181,402.029,401.795
1788532909.992689,1788532910.394242,401.553,401.338
1788532910.000881,1788532910.402378,401.497,402.318
1788532910.008423,1788532910.410359,401.936,402.262
1788532910.016462,1788532910.418962,402.500,401.768
1788532910.024062,1788532910.426239,402.177,402.781
1788532910.031709,1788532910.434917,403.208,404.158
1788532910.040013,1788532910.442600,402.586,403.271
1788532910.047565,1788532910.450167,402.602,402.726
1788532910.056602,1788532910.458819,402.217,402.379
1788532910.064208,1788532910.466403,402.194,402.687
1788532910.072343,1788532910.474509,402.167,402.532
1788532910.080115,1788532910.482542,402.427,403.124
1788532910.088558,1788532910.490481,401.923,401.905
1788532910.096314,1788532910.499022,402.709,403.236
1788532910.103959,1788532910.506639,402.679,402.549
1788532910.112492,1788532910.515174,402.682,402.003
1788532910.120445,1788532910.522737,402.291,402.682
1788532910.129144,1788532910.530284,401.139,401.748
1788532910.136848,1788532910.539096,402.249,402.313
1788532910.144901,1788532910.547148,402.246,402.377
1788532910.152318,1788532910.554455,402.137,402.165
1788532910.161581,1788532910.563183,401.602,401.824
1788532910.168246,1788532910.570399,402.153,402.746
1788532910.175394,1788532910.578752,403.358,403.723
1788532910.184633,1788532910.586768,402.136,402.482
1788532910.193258,1788532910.594824,401.565,401.442
1788532910.200592,1788532910.602655,402.063,402.404
1788532910.208537,1788532910.611292,402.754,402.625
1788532910.216096,1788532910.619195,403.099,402.944
1788532910.224798,1788532910.627387,402.589,402.705
1788532910.232383,1788532910.634954,402.571,402.491
1788532910.240022,1788532910.642742,402.720,402.759
1788532910.248029,1788532910.651155,403.126,403.145
1788532910.257018,1788532910.658925,401.906,401.882
1788532910.265043,1788532910.666955,401.912,401.772
1788532910.272684,1788532910.675268,402.584,403.355
1788532910.281216,1788532910.682791,401.575,401.865
1788532910.288689,1788532910.691537,402.848,402.475
1788532910.295861,1788532910.699063,403.203,403.969
1788532910.304024,1788532910.707063,403.039,403.379
1788532910.311659,1788532910.714907,403.248,403.142
1788532910.321241,1788532910.723555,402.314,401.536
1788532910.329336,1788532910.731221,401.885,402.060
1788532910.336875,1788532910.739714,402.839,402.467
1788532910.345932,1788532910.747355,401.423,402.002
1788532910.352475,1788532910.754742,402.267,402.087
1788532910.360019,1788532910.762770,402.751,403.250
1788532910.368542,1788532910.770851,402.309,402.812
1788532910.376133,1788532910.779016,402.884,403.368
1788532910.385181,1788532910.787098,401.917,402.364
1788532910.391718,1788532910.795651,403.933,404.303
1788532910.400336,1788532910.802560,402.224,402.274
1788532910.409341,1788532910.811494,402.153,402.424
1788532910.415937,1788532910.819302,403.366,403.824
1788532910.423582,1788532910.827183,403.601,404.050
1788532910.432865,1788532910.835079,402.214,402.030
1788532910.441580,1788532910.843637,402.057,402.214
1788532910.449141,1788532910.851667,402.526,403.112
1788532910.456778,1788532910.859692,402.914,402.880
1788532910.466403,1788532910.867252,400.850,401.327
1788532910.473429,1788532910.875805,402.375,402.740
1788532910.481537,1788532910.883354,401.817,402.121
1788532910.488543,1788532910.891381,402.838,403.290
1788532910.496131,1788532910.899451,403.320,403.279
1788532910.504689,1788532910.907169,402.480,402.780
1788532910.513175,1788532910.915707,402.532,403.361
1788532910.520716,1788532910.923730,403.014,403.205
1788532910.528270,1788532910.931290,403.021,403.753
1788532910.537083,1788532910.939839,402.756,402.733
1788532910.545130,1788532910.947398,402.267,402.089
1788532910.552453,1788532910.955478,403.026,403.657
1788532910.963137,1788532910.963137,0.000,0.000
1788532910.569386,1788532910.971685,402.299,402.928
1788532910.577738,1788532910.980101,402.363,402.189
1788532910.585768,1788532910.987928,402.161,402.383
1788532910.593808,1788532910.994860,401.052,401.303
1788532910.600654,1788532911.003478,402.823,403.171
1788532910.609210,1788532911.012080,402.870,402.752
1788532911.019112,1788532911.020116,1.004,0.000
1788532910.626347,1788532911.027806,401.459,401.204
1788532910.632575,1788532911.035358,402.784,403.002
1788532910.641204,1788532911.043928,402.724,403.136
1788532910.649154,1788532911.051490,402.336,402.389
1788532910.657227,1788532911.060067,402.840,403.191
1788532910.664953,1788532911.067618,402.666,403.016
1788532910.673002,1788532911.076016,403.014,403.006
1788532910.681790,1788532911.084031,402.241,402.744
1788532910.688219,1788532911.092062,403.843,404.112
1788532910.697067,1788532911.099632,402.565,402.856
1788532910.706065,1788532911.107651,401.586,401.848
1788532910.712932,1788532911.115577,402.644,403.027
1788532910.721555,1788532911.124123,402.567,403.380
1788532910.729105,1788532911.131693,402.588,402.691
