t_capture,t_command,latency_ms,signal_age_ms
1788222817.797865,1788222817.799864,1.999,1.443
1788222817.805911,1788222817.807240,1.329,0.984
1788222817.815358,1788222817.815358,0.000,0.032
1788222817.822592,1788222817.823660,1.068,0.432
1788222817.831226,1788222817.832229,1.003,0.089
1788222817.839776,1788222817.839776,0.000,0.250
1788222817.846538,1788222817.848035,1.497,0.868
1788222817.848035,1788222817.856099,8.064,7.681
1788222817.862630,1788222817.863332,0.702,0.859
1788222817.865345,1788222817.871584,6.239,6.588
1788222817.878126,1788222817.879120,0.994,1.172
1788222817.883467,1788222817.887936,4.469,4.311
1788222817.894224,1788222817.895759,1.535,1.449
1788222817.897759,1788222817.903302,5.543,5.203
1788222817.909844,1788222817.911851,2.007,1.628
1788222817.914380,1788222817.919918,5.538,5.401
1788222817.925994,1788222817.928020,2.027,1.980
1788222817.932086,1788222817.936170,4.084,3.555
1788222817.940727,1788222817.944296,3.570,2.724
1788222817.947346,1788222817.951906,4.560,4.166
1788222817.957001,1788222817.960013,3.012,2.917
1788222817.965540,1788222817.968090,2.551,2.216
1788222817.972457,1788222817.975531,3.074,3.079
1788222817.981263,1788222817.983795,2.532,2.644
1788222817.989386,1788222817.992404,3.018,2.818
1788222817.997786,1788222818.000068,2.282,1.648
1788222818.005569,1788222818.007621,2.052,1.567
1788222818.014536,1788222818.016164,1.628,1.396
1788222818.021847,1788222818.024380,2.533,1.292
1788222818.031162,1788222818.032160,0.998,0.271
1788222818.039772,1788222818.039772,0.000,0.283
1788222818.047464,1788222818.048480,1.015,0.317
1788222818.055644,1788222818.055644,0.000,0.346
1788222818.063329,1788222818.063329,0.000,0.427
1788222818.063329,1788222818.072025,8.696,7.869
1788222818.078586,1788222818.079592,1.007,1.300
1788222818.081169,1788222818.088454,7.285,6.853
1788222818.094554,1788222818.096228,1.673,1.498
1788222818.098229,1788222818.104317,6.088,5.995
1788222818.109559,1788222818.111698,2.140,2.460
1788222818.114742,1788222818.119784,5.042,5.148
1788222818.125841,1788222818.127856,2.015,2.781
1788222818.131856,1788222818.135981,4.126,4.027
1788222818.140530,1788222818.144950,4.420,3.468
1788222818.147965,1788222818.152774,4.809,4.601
1788222818.156044,1788222818.160795,4.751,4.521
1788222818.164855,1788222818.168935,4.080,3.488
1788222818.171872,1788222818.177017,5.145,4.229
1788222818.181019,1788222818.184559,3.540,3.280
1788222818.189069,1788222818.193193,4.124,3.594
1788222818.198775,1788222818.200766,1.992,2.151
