t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000781,1788213499.171875,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.008739,1788213499.180049,-0.0016,-0.0001,-0.0001,-0.0001,0.0000,0,0,0,0.0815,0.0040,-0.0040,-0.0040,0.0000,0,0,0,-0.0858,-0.0042,-0.0042,-0.0042,0.0000,0,0,0,0.0297,0.0015,0.0015,0.0015,0.0000,0,0,0,0.5152,0.0252,0.0252,0.0252,0.0000,0,0,0,-0.6935,-0.0339,-0.0339,-0.0339,0.0000,0,0,0
0.016134,1788213499.186718,0.0000,0.0000,-0.0001,-0.0001,0.0000,0,0,0,0.0000,0.0000,-0.0040,-0.0040,0.0000,0,0,0,0.0000,0.0000,-0.0042,-0.0042,0.0000,0,0,0,0.0000,0.0000,0.0015,0.0015,0.0000,0,0,0,0.0000,0.0000,0.0252,0.0252,0.0000,0,0,0,0.0000,0.0000,-0.0339,-0.0339,0.0000,0,0,0
0.024156,1788213499.189034,-0.8886,-0.0476,-0.0476,-0.0476,0.0000,0,0,0,-0.0217,0.0026,-0.0026,-0.0026,0.0000,0,0,0,0.9416,0.0464,0.0464,0.0464,0.0000,0,0,0,-0.4085,-0.0205,-0.0205,-0.0205,0.0000,0,0,0,0.1943,0.0342,0.0342,0.0342,0.0000,0,0,0,-0.6518,-0.0669,-0.0669,-0.0669,0.0000,0,0,0
0.032706,1788213499.203581,0.0000,0.0000,-0.0476,-0.0476,0.0000,0,0,0,0.0000,0.0000,-0.0026,-0.0026,0.0000,0,0,0,0.0000,0.0000,0.0464,0.0464,0.0000,0,0,0,0.0000,0.0000,-0.0205,-0.0205,0.0000,0,0,0,0.0000,0.0000,0.0342,0.0342,0.0000,0,0,0,0.0000,0.0000,-0.0669,-0.0669,0.0000,0,0,0
0.040256,1788213499.205582,-0.1090,-0.0534,-0.0534,-0.0534,0.0000,0,0,0,0.1728,0.0186,-0.0186,-0.0186,0.0000,0,0,0,1.3671,0.1709,0.1709,0.1709,0.0000,0,0,0,-0.4394,-0.0599,-0.0599,-0.0599,0.0000,0,0,0,0.5910,0.0867,0.0867,0.0867,0.0000,0,0,0,-1.0598,-0.1606,-0.1606,-0.1606,0.0000,0,0,0
0.048272,1788213499.218128,0.0000,0.0000,-0.0534,-0.0534,0.0000,0,0,0,0.0000,0.0000,-0.0186,-0.0186,0.0000,0,0,0,0.0000,0.0000,0.1709,0.1709,0.0000,0,0,0,0.0000,0.0000,-0.0599,-0.0599,0.0000,0,0,0,0.0000,0.0000,0.0867,0.0867,0.0000,0,0,0,0.0000,0.0000,-0.1606,-0.1606,0.0000,0,0,0
0.056850,1788213499.221145,-1.3673,-0.1706,-0.1706,-0.1706,0.0000,0,0,0,-0.3570,-0.0148,0.0148,0.0148,0.0000,0,0,0,2.1044,0.3436,0.3436,0.3436,0.0000,0,0,0,-0.2983,-0.0812,-0.0812,-0.0812,0.0000,0,0,0,0.2205,0.0986,0.0986,0.0986,0.0000,0,0,0,-1.3599,-0.2676,-0.2676,-0.2676,0.0000,0,0,0
0.064362,1788213499.235525,0.0000,0.0000,-0.1706,-0.1706,0.0000,0,0,0,0.0000,0.0000,0.0148,0.0148,0.0000,0,0,0,0.0000,0.0000,0.3436,0.3436,0.0000,0,0,0,0.0000,0.0000,-0.0812,-0.0812,0.0000,0,0,0,0.0000,0.0000,0.0986,0.0986,0.0000,0,0,0,0.0000,0.0000,-0.2676,-0.2676,0.0000,0,0,0
0.072920,1788213499.238777,-0.8071,-0.2342,-0.2342,-0.2342,0.0000,0,0,0,-0.1074,-0.0241,0.0241,0.0241,0.0000,0,0,0,3.2477,0.6344,0.6344,0.5836,0.0000,1,0,0,-0.1797,-0.0910,-0.0910,-0.0910,0.0000,0,0,0,0.4847,0.1372,0.1372,0.1372,0.0000,0,0,0,-1.4326,-0.3841,-0.3841,-0.3841,0.0000,0,0,0
0.080604,1788213499.250336,0.0000,0.0000,-0.2342,-0.2342,0.0000,0,0,0,0.0000,0.0000,0.0241,0.0241,0.0000,0,0,0,0.0000,0.0000,0.5836,0.5836,0.0000,0,0,0,0.0000,0.0000,-0.0910,-0.0910,0.0000,0,0,0,0.0000,0.0000,0.1372,0.1372,0.0000,0,0,0,0.0000,0.0000,-0.3841,-0.3841,0.0000,0,0,0
0.088232,1788213499.254496,-0.7363,-0.2794,-0.2794,-0.2794,0.0000,0,0,0,0.0327,-0.0190,0.0190,0.0190,0.0000,0,0,0,4.5109,0.9850,0.9850,0.8236,0.0000,1,0,0,-0.6242,-0.1390,-0.1390,-0.1390,0.0000,0,0,0,0.8079,0.1975,0.1975,0.1975,0.0000,0,0,0,-2.3677,-0.5630,-0.5630,-0.5630,0.0000,0,0,0
0.096102,1788213499.266627,0.0000,0.0000,-0.2794,-0.2794,0.0000,0,0,0,0.0000,0.0000,0.0190,0.0190,0.0000,0,0,0,0.0000,0.0000,0.8236,0.8236,0.0000,0,0,0,0.0000,0.0000,-0.1390,-0.1390,0.0000,0,0,0,0.0000,0.0000,0.1975,0.1975,0.0000,0,0,0,0.0000,0.0000,-0.5630,-0.5630,0.0000,0,0,0
0.103796,1788213499.271652,-1.0863,-0.3580,-0.3580,-0.3580,-0.0000,0,0,0,-0.3206,-0.0483,0.0483,0.0483,0.0000,0,0,0,4.8240,1.3615,1.3615,1.0636,0.0000,1,0,0,-0.8775,-0.2109,-0.2109,-0.2109,-0.0000,0,0,0,0.5300,0.2299,0.2299,0.2299,0.0000,0,0,0,-1.8142,-0.6853,-0.6853,-0.6853,-0.0000,0,0,0
0.112879,1788213499.281755,0.0000,0.0000,-0.3580,-0.3580,-0.0000,0,0,0,0.0000,0.0000,0.0483,0.0483,0.0000,0,0,0,0.0000,0.0000,1.0636,1.0636,0.0001,0,0,0,0.0000,0.0000,-0.2109,-0.2109,-0.0000,0,0,0,0.0000,0.0000,0.2299,0.2299,0.0000,0,0,0,0.0000,0.0000,-0.6853,-0.6853,-0.0000,0,0,0
0.121006,1788213499.287879,-1.2184,-0.4378,-0.4378,-0.4378,-0.0001,0,0,0,-0.6983,-0.1085,0.1085,0.1085,0.0000,0,0,0,6.3121,1.8243,1.8243,1.3036,0.0003,1,0,0,-1.5559,-0.3356,-0.3356,-0.3356,-0.0001,0,0,0,0.7415,0.2773,0.2773,0.2773,0.0001,0,0,0,-2.2577,-0.8314,-0.8314,-0.8314,-0.0002,0,0,0
0.128712,1788213499.297888,0.0000,0.0000,-0.4378,-0.4378,-0.0004,0,0,0,0.0000,0.0000,0.1085,0.1085,0.0000,0,0,0,0.0000,0.0000,1.3036,1.3036,0.0008,0,0,0,0.0000,0.0000,-0.3356,-0.3356,-0.0002,0,0,0,0.0000,0.0000,0.2773,0.2773,0.0002,0,0,0,0.0000,0.0000,-0.8314,-0.8314,-0.0006,0,0,0
0.136789,1788213499.305613,-2.3671,-0.6319,-0.6319,-0.6319,-0.0009,0,0,0,-1.1466,-0.2127,0.2127,0.2127,0.0001,0,0,0,7.4113,2.3915,2.3915,1.5436,0.0018,1,0,0,-1.6505,-0.4678,-0.4678,-0.4678,-0.0004,0,0,0,-0.1870,0.2307,0.2307,0.2307,0.0005,0,0,0,-3.4068,-1.0911,-1.0911,-1.0714,-0.0014,1,0,0
0.144421,1788213499.314173,0.0000,0.0000,-0.6319,-0.6319,-0.0015,0,0,0,0.0000,0.0000,0.2127,0.2127,0.0001,0,0,0,0.0000,0.0000,1.5436,1.5436,0.0031,0,0,0,0.0000,0.0000,-0.4678,-0.4678,-0.0007,0,0,0,0.0000,0.0000,0.2307,0.2307,0.0009,0,0,0,0.0000,0.0000,-1.0714,-1.0714,-0.0024,0,0,0
0.152427,1788213499.321796,-2.1155,-0.7694,-0.7694,-0.7694,-0.0028,0,0,0,-0.3615,-0.2265,0.2265,0.2265,0.0003,0,0,0,8.4927,2.9633,2.9633,1.7836,0.0061,1,0,0,-1.0152,-0.5185,-0.5185,-0.5185,-0.0015,0,0,0,1.1514,0.3158,0.3158,0.3158,0.0016,0,0,0,-3.3748,-1.3033,-1.3033,-1.3033,-0.0045,0,0,0
0.160256,1788213499.331057,-1.6881,-0.8202,-0.8202,-0.8202,-0.0048,0,0,0,-0.5857,-0.2462,0.2462,0.2462,0.0007,0,0,0,9.2458,3.3155,3.3155,2.0236,0.0114,1,0,0,-1.0721,-0.5490,-0.5490,-0.5490,-0.0028,0,0,0,0.5063,0.3263,0.3263,0.3263,0.0029,0,0,0,-3.5887,-1.4300,-1.4300,-1.4300,-0.0082,0,0,0
0.168142,1788213499.339029,-3.1134,-0.9302,-0.9302,-0.9302,-0.0080,0,0,0,-0.1840,-0.2433,0.2433,0.2433,0.0014,0,0,0,8.7704,3.5816,3.5816,2.2636,0.0198,1,0,0,-0.9397,-0.5677,-0.5677,-0.5677,-0.0049,0,0,0,1.6552,0.3899,0.3899,0.3899,0.0048,0,0,0,-3.8259,-1.5454,-1.5454,-1.5454,-0.0138,0,0,0
0.176497,1788213499.346270,-2.5321,-1.0004,-1.0004,-1.0004,-0.0126,0,0,0,-0.7593,-0.2658,0.2658,0.2658,0.0024,0,0,0,9.4991,3.8458,3.8458,2.5036,0.0319,1,0,0,-0.6734,-0.5723,-0.5723,-0.5723,-0.0081,0,0,0,1.3287,0.4309,0.4309,0.4309,0.0074,0,0,0,-3.9013,-1.6490,-1.6490,-1.6490,-0.0220,0,0,0
0.184967,1788213499.354291,-2.2535,-1.0610,-1.0610,-1.0610,-0.0190,0,0,0,-1.5515,-0.3276,0.3276,0.3276,0.0040,0,0,0,9.8708,4.1431,4.1431,2.7436,0.0484,1,0,0,-2.8251,-0.6809,-0.6809,-0.6809,-0.0126,0,0,0,1.3098,0.4732,0.4732,0.4732,0.0107,0,0,0,-5.0334,-1.8134,-1.8134,-1.8134,-0.0334,0,0,0
0.192986,1788213499.363860,-2.5887,-1.1483,-1.1483,-1.1483,-0.0278,0,0,0,-1.1176,-0.3725,0.3725,0.3725,0.0063,0,0,0,11.3174,4.5629,4.5629,2.9836,0.0701,1,0,0,-2.3387,-0.7754,-0.7754,-0.7754,-0.0185,0,0,0,0.7750,0.4904,0.4904,0.4904,0.0150,0,0,0,-3.6571,-1.9193,-1.9193,-1.9193,-0.0486,0,0,0
0.201018,1788213499.370894,-2.7601,-1.2171,-1.2171,-1.2171,-0.0390,0,0,0,-0.7006,-0.3865,0.3865,0.3865,0.0093,0,0,0,10.6754,4.8306,4.8306,3.2236,0.0978,1,0,0,-1.9408,-0.8250,-0.8250,-0.8250,-0.0259,0,0,0,0.6546,0.4973,0.4973,0.4973,0.0202,0,0,0,-4.5688,-2.0331,-2.0331,-2.0331,-0.0679,0,0,0
0.207675,1788213499.376422,0.0000,0.0000,-1.2171,-1.2171,-0.0532,0,0,0,0.0000,0.0000,0.3865,0.3865,0.0131,0,0,0,0.0000,0.0000,3.2236,3.2236,0.1327,0,0,0,0.0000,0.0000,-0.8250,-0.8250,-0.0352,0,0,0,0.0000,0.0000,0.4973,0.4973,0.0267,0,0,0,0.0000,0.0000,-2.0331,-2.0331,-0.0920,0,0,0
0.216324,1788213499.388198,-3.0133,-1.3948,-1.3948,-1.3948,-0.0706,0,0,0,-0.1783,-0.3660,0.3660,0.3660,0.0179,0,0,0,11.9305,5.5506,5.5506,3.4636,0.1759,1,0,0,-2.3290,-0.9734,-0.9734,-0.9734,-0.0465,0,0,0,1.1108,0.5577,0.5577,0.5577,0.0344,0,0,0,-5.3015,-2.3582,-2.3582,-2.2731,-0.1215,1,0,0
0.224646,1788213499.396521,-3.4158,-1.4962,-1.4962,-1.4962,-0.0915,0,0,0,-0.7831,-0.3868,0.3868,0.3868,0.0239,0,0,0,12.2480,5.8964,5.8964,3.7036,0.2287,1,0,0,-3.1069,-1.0802,-1.0802,-1.0802,-0.0603,0,0,0,1.3027,0.5949,0.5949,0.5949,0.0437,0,0,0,-5.4105,-2.5124,-2.5124,-2.5124,-0.1569,0,0,0
0.232669,1788213499.404544,-3.5398,-1.5954,-1.5954,-1.5954,-0.1162,0,0,0,-0.5395,-0.3941,0.3941,0.3941,0.0312,0,0,0,12.3889,6.2209,6.2209,3.9436,0.2914,1,0,0,-2.6724,-1.1573,-1.1573,-1.1573,-0.0767,0,0,0,0.9837,0.6136,0.6136,0.6136,0.0543,0,0,0,-4.9624,-2.6320,-2.6320,-2.6320,-0.1984,0,0,0
0.240696,1788213499.407662,0.0000,0.0000,-1.5954,-1.5954,-0.1372,0,0,0,0.0000,0.0000,0.3941,0.3941,0.0375,0,0,0,0.0000,0.0000,3.9436,3.9436,0.3452,0,0,0,0.0000,0.0000,-1.1573,-1.1573,-0.0907,0,0,0,0.0000,0.0000,0.6136,0.6136,0.0633,0,0,0,0.0000,0.0000,-2.6320,-2.6320,-0.2338,0,0,0
0.249250,1788213499.412571,-4.0432,-1.7144,-1.7144,-1.7144,-0.1691,0,0,0,-1.5217,-0.4485,0.4485,0.4485,0.0470,0,0,0,12.3197,6.5266,6.5266,4.1836,0.4267,1,0,0,-1.9279,-1.1946,-1.1946,-1.1946,-0.1123,0,0,0,1.4858,0.6557,0.6557,0.6557,0.0768,0,0,0,-4.7007,-2.7331,-2.7331,-2.7331,-0.2873,0,0,0
