t_capture,t_command,latency_ms,signal_age_ms
1788213892.854059,1788213892.855059,1.000,0.631
1788213892.855059,1788213892.862627,7.568,7.449
1788213892.869116,1788213892.870553,1.437,1.430
1788213892.871578,1788213892.878634,7.057,7.254
1788213892.884783,1788213892.886783,1.999,2.265
1788213892.887792,1788213892.894634,6.842,7.120
1788213892.900563,1788213892.902519,1.956,2.044
1788213892.903841,1788213892.910855,7.014,6.914
1788213892.916037,1788213892.919110,3.073,2.725
1788213892.920036,1788213892.927110,7.074,6.365
1788213892.931572,1788213892.934592,3.020,3.288
1788213892.937207,1788213892.943299,6.092,5.163
1788213892.946873,1788213892.951025,4.151,3.463
1788213892.953892,1788213892.959342,5.450,4.975
1788213892.962257,1788213892.967086,4.829,4.636
1788213892.971046,1788213892.975030,3.984,3.723
1788213892.978126,1788213892.983076,4.950,4.609
1788213892.986289,1788213892.991290,5.002,4.345
1788213892.995762,1788213892.998815,3.053,3.332
1788213893.003725,1788213893.006739,3.014,3.254
1788213893.013093,1788213893.015177,2.084,2.101
1788213893.020309,1788213893.023412,3.103,1.950
1788213893.028832,1788213893.031281,2.449,1.442
1788213893.037745,1788213893.039323,1.578,0.939
1788213893.045090,1788213893.047143,2.053,1.517
1788213893.045090,1788213893.055107,10.017,9.536
1788213893.061682,1788213893.063197,1.515,0.165
1788213893.070535,1788213893.071514,0.979,0.180
1788213893.070535,1788213893.079116,8.581,8.194
1788213893.085249,1788213893.087308,2.059,1.664
1788213893.087308,1788213893.094828,7.520,7.238
1788213893.100646,1788213893.103186,2.540,2.057
1788213893.104148,1788213893.111347,7.199,7.024
1788213893.116134,1788213893.118741,2.607,2.004
1788213893.120756,1788213893.127488,6.732,5.867
1788213893.131528,1788213893.135463,3.936,3.135
1788213893.137455,1788213893.142879,5.424,5.333
1788213893.146910,1788213893.150928,4.019,3.908
1788213893.152932,1788213893.159096,6.164,5.796
1788213893.162110,1788213893.167155,5.046,4.684
1788213893.171185,1788213893.175554,4.369,3.735
1788213893.178557,1788213893.183036,4.479,4.457
