t_capture,t_command,latency_ms,signal_age_ms
1788530324.977987,1788530324.977987,0.000,0.000
1788530324.985965,1788530324.985965,0.000,0.000
1788530324.994190,1788530324.994190,0.000,0.000
1788530325.001771,1788530325.001771,0.000,0.000
1788530325.010103,1788530325.010103,0.000,0.000
1788530325.017778,1788530325.018350,0.572,0.000
1788530325.025658,1788530325.025658,0.000,0.000
1788530325.034319,1788530325.034319,0.000,0.000
1788530325.041558,1788530325.041558,0.000,0.000
1788530325.050280,1788530325.050280,0.000,0.000
1788530325.057854,1788530325.058428,0.574,0.000
1788530325.066206,1788530325.066206,0.000,0.000
1788530325.073516,1788530325.074500,0.983,0.000
1788530325.081727,1788530325.081727,0.000,0.000
1788530325.090006,1788530325.090006,0.000,0.000
1788530325.098286,1788530325.098286,0.000,0.000
1788530325.105912,1788530325.105912,0.000,0.000
1788530325.114590,1788530325.114590,0.000,0.000
1788530325.121823,1788530325.121823,0.000,0.000
1788530325.129913,1788530325.129913,0.000,0.000
1788530325.138084,1788530325.138084,0.000,0.000
1788530325.146354,1788530325.146354,0.000,0.000
1788530325.153971,1788530325.153971,0.000,0.000
1788530325.162266,1788530325.162266,0.000,0.000
1788530325.170426,1788530325.170426,0.000,0.000
1788530325.178317,1788530325.178317,0.000,0.000
1788530325.186368,1788530325.186368,0.000,0.000
1788530325.194026,1788530325.194026,0.000,0.000
1788530325.201802,1788530325.201802,0.000,0.000
1788530325.209877,1788530325.209877,0.000,0.000
1788530325.218333,1788530325.218333,0.000,0.000
1788530325.226623,1788530325.226623,0.000,0.000
1788530325.234250,1788530325.234250,0.000,0.000
1788530325.242503,1788530325.242503,0.000,0.000
1788530325.250173,1788530325.250173,0.000,0.000
1788530325.258531,1788530325.258531,0.000,0.000
1788530325.266680,1788530325.266680,0.000,0.000
1788530325.274467,1788530325.274467,0.000,0.000
1788530325.282931,1788530325.282931,0.000,0.000
1788530325.290531,1788530325.290531,0.000,0.000
1788530325.298674,1788530325.298674,0.000,0.000
1788530325.306331,1788530325.306331,0.000,0.000
1788530325.314966,1788530325.314966,0.000,0.000
1788530325.323107,1788530325.323107,0.000,0.000
1788530325.330024,1788530325.330024,0.000,0.000
1788530325.338060,1788530325.338060,0.000,0.000
