t_capture,t_command,latency_ms,signal_age_ms
1788213278.618893,1788213278.619900,1.007,0.686
1788213278.618893,1788213278.628299,9.405,8.702
1788213278.631623,1788213278.636762,5.139,4.578
1788213278.636762,1788213278.644341,7.579,7.500
1788213278.646361,1788213278.652384,6.023,5.061
1788213278.654403,1788213278.660194,5.791,5.935
1788213278.661712,1788213278.668412,6.700,6.156
1788213278.670428,1788213278.676468,6.039,5.942
1788213278.679018,1788213278.684035,5.017,5.445
1788213278.688046,1788213278.692581,4.535,4.328
1788213278.695591,1788213278.700656,5.065,4.902
1788213278.705184,1788213278.708207,3.022,3.229
1788213278.712225,1788213278.716783,4.558,4.260
1788213278.723344,1788213278.724337,0.993,0.181
1788213278.729384,1788213278.732382,2.998,3.060
1788213278.738439,1788213278.739940,1.501,1.014
1788213278.745092,1788213278.748622,3.530,3.180
1788213278.754636,1788213278.756640,2.004,1.941
1788213278.762643,1788213278.764646,2.003,1.853
1788213278.770883,1788213278.772899,2.016,1.649
1788213278.778920,1788213278.780912,1.992,1.581
1788213278.787466,1788213278.789004,1.538,1.022
1788213278.795043,1788213278.797065,2.021,1.444
1788213278.804103,1788213278.804103,0.000,0.535
1788213278.811366,1788213278.812390,1.024,1.134
1788213278.819909,1788213278.820926,1.017,0.641
1788213278.828489,1788213278.828489,0.000,0.123
1788213278.831475,1788213278.836995,5.520,4.468
1788213278.836995,1788213278.845007,8.012,7.586
1788213278.848032,1788213278.853062,5.030,4.201
1788213278.854073,1788213278.861109,7.036,6.505
1788213278.863127,1788213278.869153,6.026,5.152
1788213278.871288,1788213278.876709,5.421,5.432
1788213278.878735,1788213278.884809,6.073,5.485
1788213278.887758,1788213278.892841,5.083,4.862
1788213278.895783,1788213278.900600,4.817,5.021
1788213278.903123,1788213278.908816,5.692,5.674
1788213278.911761,1788213278.917401,5.640,5.047
1788213278.920515,1788213278.924443,3.929,4.102
1788213278.928719,1788213278.932703,3.984,4.085
1788213278.937243,1788213278.940850,3.607,3.506
1788213278.945163,1788213278.949189,4.025,3.615
1788213278.953579,1788213278.957677,4.097,3.227
1788213278.962222,1788213278.965701,3.479,2.461
1788213278.969702,1788213278.973180,3.478,3.009
1788213278.978881,1788213278.981479,2.598,1.906
1788213278.987103,1788213278.989386,2.283,1.720
1788213278.994612,1788213278.997138,2.526,2.329
1788213279.004369,1788213279.005887,1.518,0.097
1788213279.012071,1788213279.013089,1.018,0.971
1788213279.020645,1788213279.021676,1.031,0.348
1788213279.028710,1788213279.028710,0.000,0.379
1788213279.036289,1788213279.037297,1.008,0.505
1788213279.037297,1788213279.045374,8.076,7.309
1788213279.050936,1788213279.052965,2.028,1.888
1788213279.053979,1788213279.061561,7.582,7.447
1788213279.065568,1788213279.069093,3.525,3.239
1788213279.070107,1788213279.077161,7.053,7.340
1788213279.081176,1788213279.085173,3.998,3.807
1788213279.087172,1788213279.093718,6.546,6.094
1788213279.096721,1788213279.101276,4.555,4.451
1788213279.103271,1788213279.109335,6.063,6.131
1788213279.112378,1788213279.117496,5.118,4.684
1788213279.120515,1788213279.126050,5.534,4.987
1788213279.129564,1788213279.133099,3.535,4.070
1788213279.137106,1788213279.141124,4.018,4.562
1788213279.146205,1788213279.149257,3.052,3.212
1788213279.153802,1788213279.157337,3.535,3.870
1788213279.162374,1788213279.165413,3.039,3.306
1788213279.169944,1788213279.173980,4.036,3.734
1788213279.179001,1788213279.182025,3.024,2.553
1788213279.187546,1788213279.189921,2.376,2.038
1788213279.195517,1788213279.197532,2.016,2.262
1788213279.204549,1788213279.206062,1.513,1.209
1788213279.212128,1788213279.214144,2.016,1.599
1788213279.221170,1788213279.222187,1.016,0.611
1788213279.229192,1788213279.230190,0.998,0.439
1788213279.237846,1788213279.237846,0.000,0.049
1788213279.245896,1788213279.245896,0.000,0.069
1788213279.253436,1788213279.254440,1.004,0.650
1788213279.253436,1788213279.261478,8.042,8.660
1788213279.269470,1788213279.269470,0.000,0.635
1788213279.270492,1788213279.278506,8.014,7.614
1788213279.284042,1788213279.286303,2.261,1.095
1788213279.287816,1788213279.293850,6.034,6.121
1788213279.303902,1788213279.314986,11.084,10.122
1788213279.314986,1788213279.331066,16.080,14.843
1788213279.330074,1788213279.346678,16.604,15.588
1788213279.363257,1788213279.364271,1.014,0.076
1788213279.363257,1788213279.378871,15.615,14.398
1788213279.379973,1788213279.395104,15.132,15.097
1788213279.396119,1788213279.411004,14.885,14.489
1788213279.411004,1788213279.426990,15.985,15.047
1788213279.427983,1788213279.441969,13.986,14.013
1788213279.442980,1788213279.458059,15.079,14.876
1788213279.459474,1788213279.473158,13.684,13.406
1788213279.474149,1788213279.488842,14.693,13.976
1788213279.488842,1788213279.505641,16.799,15.218
1788213279.505641,1788213279.520878,15.237,14.284
1788213279.520878,1788213279.535173,14.295,14.172
1788213279.535173,1788213279.551059,15.886,15.000
1788213279.552004,1788213279.566331,14.327,14.521
1788213279.566331,1788213279.581484,15.153,14.178
1788213279.582546,1788213279.597276,14.730,13.836
1788213279.597276,1788213279.612450,15.174,14.982
1788213279.612450,1788213279.628057,15.607,14.675
1788213279.628057,1788213279.643406,15.349,14.587
1788213279.643406,1788213279.659161,15.755,14.264
1788213279.659770,1788213279.674093,14.323,14.529
1788213279.674093,1788213279.689654,15.561,14.419
1788213279.689654,1788213279.705541,15.887,15.192
1788213279.705541,1788213279.722501,16.960,14.967
1788213279.721343,1788213279.736650,15.307,14.304
1788213279.737663,1788213279.751776,14.112,14.058
1788213279.751776,1788213279.767401,15.625,14.095
1788213279.766405,1788213279.782086,15.681,14.826
1788213279.782086,1788213279.798116,16.031,15.112
1788213279.798116,1788213279.813626,15.510,14.479
1788213279.814620,1788213279.829278,14.658,14.552
1788213279.829278,1788213279.844775,15.497,14.752
1788213279.844775,1788213279.852962,8.188,7.155
1788213279.860529,1788213279.860529,0.000,0.066
1788213279.860529,1788213279.875862,15.333,14.373
1788213279.875862,1788213279.883898,8.036,7.002
1788213279.890913,1788213279.891906,0.993,0.159
1788213279.890913,1788213279.906044,15.131,14.485
1788213279.907034,1788213279.914568,7.534,7.117
1788213279.907034,1788213279.923108,16.074,15.225
1788213279.922100,1788213279.930126,8.026,7.331
1788213279.938155,1788213279.939165,1.009,0.079
1788213279.939165,1788213279.947132,7.967,6.885
1788213279.953655,1788213279.954657,1.001,0.633
1788213279.955667,1788213279.968993,13.326,13.183
1788213279.968993,1788213279.976732,7.739,7.173
1788213279.984784,1788213279.985785,1.000,0.061
1788213279.985785,1788213279.993307,7.523,6.800
1788213280.000430,1788213280.001439,1.009,0.395
