t_s,t_capture,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4
0.000000,1788213278.618893,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.008399,1788213278.618893,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.016862,1788213278.631623,59.1505,4.5507,4.5507,0.3200,0.0000,1,0,0
0.024441,1788213278.636762,-0.1662,4.3979,4.3979,0.6400,0.0000,1,0,0
0.032484,1788213278.646361,50.6999,7.2014,7.2014,0.9600,0.0000,1,0,0
0.040294,1788213278.654403,-0.3275,6.8187,6.8187,1.2800,0.0000,1,0,0
0.048512,1788213278.661712,46.6300,8.7108,8.7108,1.6000,0.0000,1,0,0
0.056568,1788213278.670428,-0.3122,8.2090,8.2090,1.9200,0.0000,1,0,0
0.064135,1788213278.679018,-0.2802,7.7474,7.7474,2.2400,0.0001,1,0,0
0.072681,1788213278.688046,-0.2466,7.2956,7.2956,2.5600,0.0004,1,0,0
0.080756,1788213278.695591,-0.2091,6.9404,6.9404,2.8800,0.0012,1,0,0
0.088307,1788213278.705184,-0.1980,6.5193,6.5193,3.2000,0.0046,1,0,0
0.096883,1788213278.712225,-0.2054,6.2253,6.2253,3.5200,0.0104,1,0,0
0.104437,1788213278.723344,29.5509,7.8166,7.8166,3.8400,0.0199,1,0,0
0.112482,1788213278.729384,-0.2726,7.5094,7.5094,4.1600,0.0342,1,0,0
0.120040,1788213278.738439,23.8004,8.4277,8.4277,4.4800,0.0543,1,0,0
0.128722,1788213278.745092,-0.3768,8.0603,8.0603,4.8000,0.0741,1,0,0
0.136740,1788213278.754636,23.5534,8.9783,8.9783,5.1200,0.1081,1,0,0
0.144746,1788213278.762643,-0.4278,8.5102,8.5102,5.4400,0.1524,1,0,0
0.152999,1788213278.770883,-0.3974,8.0582,8.0582,5.7600,0.2084,1,0,0
0.161012,1788213278.778920,-0.3818,7.6429,7.6429,6.0800,0.2771,1,0,0
0.169104,1788213278.787466,-0.3413,7.2292,7.2292,6.4000,0.3602,1,0,0
0.177165,1788213278.795043,-0.2914,6.8837,6.8837,6.7200,0.4590,1,0,0
0.184203,1788213278.804103,-0.2555,6.4972,6.4972,6.4972,0.5754,0,0,0
0.192490,1788213278.811366,-0.2204,6.2039,6.2039,6.2039,0.6747,0,0,0
0.201026,1788213278.819909,-0.2096,5.8759,5.8759,5.8839,0.8234,1,0,0
0.208589,1788213278.828489,-0.2152,5.5618,5.5618,5.5639,0.9902,1,0,0
0.217095,1788213278.831475,11.8084,5.6772,5.6772,5.6772,1.1731,0,0,0
0.225107,1788213278.836995,-0.2551,5.4768,5.4768,5.4768,1.3681,0,0,0
0.233162,1788213278.848032,10.9341,5.8319,5.8319,5.7968,1.5723,1,0,0
0.241209,1788213278.854073,-0.3254,5.6050,5.6050,5.6050,1.7830,0,0,0
0.249253,1788213278.863127,10.0984,5.8478,5.8478,5.8478,1.9976,0,0,0
0.256809,1788213278.871288,-0.3788,5.5417,5.5417,5.5417,2.2142,0,0,0
0.264909,1788213278.878735,7.1893,5.6158,5.6158,5.6158,2.4323,0,0,0
0.272941,1788213278.887758,-0.3414,5.2929,5.2929,5.2958,2.6516,1,0,0
0.280700,1788213278.895783,-0.2927,5.0211,5.0211,5.0211,2.7611,0,0,0
0.288916,1788213278.903123,-0.2416,4.7851,4.7851,4.7851,3.0309,0,0,0
0.297501,1788213278.911761,-0.2312,4.5219,4.5219,4.5219,3.2388,0,0,0
0.304543,1788213278.920515,-0.2221,4.2692,4.2692,4.2692,3.4358,0,0,0
0.312803,1788213278.928719,-0.2465,4.0426,4.0426,4.0426,3.6174,0,0,0
0.320950,1788213278.937243,-0.2853,3.8170,3.8170,3.8170,3.7799,0,0,0
0.329289,1788213278.945163,-0.3200,3.6155,3.6155,3.6155,3.9213,0,0,0
0.337777,1788213278.953579,-0.3562,3.4104,3.4104,3.4104,4.0402,0,0,0
0.345801,1788213278.962222,-0.3811,3.2093,3.2093,3.2093,4.1136,0,0,0
0.353280,1788213278.969702,-0.4056,3.0420,3.0420,3.0420,4.1907,0,0,0
0.361579,1788213278.978881,-0.4110,2.8478,2.8478,2.8478,4.2436,0,0,0
0.369486,1788213278.987103,-0.4111,2.6825,2.6825,2.6825,4.2720,0,0,0
0.377238,1788213278.994612,-0.4091,2.5386,2.5386,2.5386,4.2776,0,0,0
0.385987,1788213279.004369,1.5383,2.4790,2.4790,2.4790,4.2648,0,0,0
0.393189,1788213279.012071,-0.4113,2.3413,2.3413,2.3413,4.2296,0,0,0
0.401776,1788213279.020645,-0.4172,2.1957,2.1957,2.1957,4.1732,0,0,0
0.409833,1788213279.028710,-0.4360,2.0646,2.0646,2.0646,4.0992,0,0,0
0.417397,1788213279.036289,0.5635,1.9941,1.9941,1.9941,4.0340,0,0,0
0.425474,1788213279.037297,-0.4342,1.9783,1.9783,1.9783,3.9359,0,0,0
0.433065,1788213279.050936,-0.6717,1.7624,1.7624,1.7624,3.8264,0,0,0
0.441661,1788213279.053979,-0.4346,1.7198,1.7198,1.7198,3.7083,0,0,0
0.449193,1788213279.065568,0.0129,1.6002,1.6002,1.6002,3.5832,0,0,0
0.457261,1788213279.070107,-0.4247,1.5421,1.5421,1.5421,3.4530,0,0,0
0.466285,1788213279.081176,-0.1480,1.4287,1.4287,1.4287,3.3194,0,0,0
0.473818,1788213279.087172,-0.4279,1.3591,1.3591,1.3591,3.1842,0,0,0
0.481376,1788213279.096721,-0.4282,1.2547,1.2547,1.2547,3.0484,0,0,0
0.489435,1788213279.103271,-0.4651,1.1846,1.1846,1.1846,2.9468,0,0,0
0.497596,1788213279.112378,-1.9967,1.0069,1.0069,1.0069,2.8122,0,0,0
0.506150,1788213279.120515,-0.5552,0.9285,0.9285,0.9285,2.6792,0,0,0
0.513199,1788213279.129564,-0.5675,0.8455,0.8455,0.8455,2.5476,0,0,0
0.521224,1788213279.137106,-0.5920,0.7785,0.7785,0.7785,2.4172,0,0,0
0.529357,1788213279.146205,-0.5915,0.7022,0.7022,0.7022,2.2886,0,0,0
0.537437,1788213279.153802,-0.5307,0.6443,0.6443,0.6443,2.1623,0,0,0
0.545513,1788213279.162374,-0.4929,0.5845,0.5845,0.5845,2.0388,0,0,0
0.554080,1788213279.169944,-0.5011,0.5339,0.5339,0.5339,1.9184,0,0,0
0.562125,1788213279.179001,-0.5291,0.4751,0.4751,0.4751,1.8305,0,0,0
0.570021,1788213279.187546,-0.5387,0.4220,0.4220,0.4220,1.7165,0,0,0
0.577632,1788213279.195517,-0.5487,0.3745,0.3745,0.3745,1.6066,0,0,0
0.586162,1788213279.204549,-0.5710,0.3225,0.3225,0.3225,1.5007,0,0,0
0.594244,1788213279.212128,-0.6069,0.2792,0.2792,0.2792,1.3989,0,0,0
0.602287,1788213279.221170,-0.6115,0.2301,0.2301,0.2301,1.3012,0,0,0
0.610290,1788213279.229192,-0.5719,0.1907,0.1907,0.1907,1.2076,0,0,0
0.617946,1788213279.237846,-2.9448,0.0251,0.0251,0.0251,1.1181,0,0,0
0.625996,1788213279.245896,-0.6081,-0.0061,-0.0061,-0.0061,1.0325,0,0,0
0.634540,1788213279.253436,-0.5919,-0.0332,-0.0332,-0.0332,0.9500,0,0,0
0.641578,1788213279.253436,-0.5919,-0.0606,-0.0606,-0.0606,0.8694,0,0,0
0.649570,1788213279.269470,-3.3041,-0.3638,-0.3638,-0.3638,0.7910,0,0,0
0.658606,1788213279.270492,-0.5204,-0.3648,-0.3648,-0.3648,0.7339,0,0,0
0.666403,1788213279.284042,-4.0921,-0.6639,-0.6639,-0.6639,0.6595,0,0,0
0.673950,1788213279.287816,-0.4469,-0.6587,-0.6587,-0.6587,0.5843,0,0,0
0.695086,1788213279.303902,-0.4008,-0.6346,-0.6346,-0.6346,0.3886,0,0,0
0.711166,1788213279.314986,-4.0586,-0.8622,-0.8622,-0.8622,0.2276,0,0,0
0.726779,1788213279.330074,-0.5458,-0.8343,-0.8343,-0.8343,0.0736,0,0,0
0.744371,1788213279.363257,-0.6579,-0.8034,-0.8034,-0.8034,-0.0764,0,0,0
0.758971,1788213279.363257,-4.9238,-1.0042,-1.0042,-1.0042,-0.2148,0,0,0
0.775204,1788213279.379973,-4.5998,-1.3520,-1.3520,-1.3242,-0.3229,1,0,0
0.791104,1788213279.396119,-4.2573,-1.6244,-1.6244,-1.6244,-0.4407,0,0,0
0.807090,1788213279.411004,-0.5833,-1.5339,-1.5339,-1.5339,-0.5654,0,0,0
