t_capture,t_command,latency_ms,signal_age_ms
1788221166.287205,1788221166.288224,1.019,0.265
1788221166.293268,1788221166.295909,2.641,1.904
1788221166.303192,1788221166.304158,0.966,0.091
1788221166.310632,1788221166.311635,1.003,0.942
1788221166.319168,1788221166.320275,1.107,0.942
1788221166.327849,1788221166.327849,0.000,0.243
1788221166.335939,1788221166.336444,0.505,0.310
1788221166.335939,1788221166.343612,7.673,8.323
1788221166.351784,1788221166.351784,0.000,0.151
1788221166.351784,1788221166.360274,8.489,7.945
1788221166.364278,1788221166.367699,3.421,3.532
1788221166.368637,1788221166.375644,7.007,7.378
1788221166.380168,1788221166.384246,4.078,3.309
1788221166.385180,1788221166.391829,6.649,6.481
1788221166.394371,1788221166.399815,5.444,5.084
1788221166.401806,1788221166.408479,6.673,6.026
1788221166.410496,1788221166.415621,5.125,5.768
1788221166.419027,1788221166.424199,5.172,5.082
1788221166.426594,1788221166.431681,5.087,4.946
1788221166.435302,1788221166.439644,4.342,4.629
1788221166.443809,1788221166.447951,4.142,4.215
1788221166.452968,1788221166.456036,3.068,3.313
1788221166.460565,1788221166.463569,3.004,3.126
1788221166.471082,1788221166.472378,1.296,0.505
1788221166.477411,1788221166.479939,2.528,2.265
1788221166.488030,1788221166.488030,0.000,0.389
1788221166.493180,1788221166.496192,3.012,2.460
1788221166.502809,1788221166.503866,1.056,1.497
1788221166.510027,1788221166.512621,2.594,1.404
1788221166.519094,1788221166.519608,0.515,1.204
1788221166.526947,1788221166.528010,1.063,0.867
1788221166.535597,1788221166.536652,1.055,0.560
1788221166.543215,1788221166.544227,1.012,0.673
1788221166.549283,1788221166.552302,3.019,2.457
1788221166.554299,1788221166.559819,5.519,5.746
1788221166.565833,1788221166.567842,2.008,2.282
1788221166.568831,1788221166.575964,7.133,7.420
1788221166.580503,1788221166.584522,4.019,3.608
1788221166.585513,1788221166.591499,5.987,6.030
1788221166.596025,1788221166.600620,4.595,3.790
1788221166.601636,1788221166.608629,6.993,6.045
1788221166.611136,1788221166.616153,5.017,4.683
1788221166.619145,1788221166.624209,5.064,5.421
1788221166.627275,1788221166.631834,4.559,4.731
1788221166.635827,1788221166.639928,4.101,4.731
1788221166.643436,1788221166.648046,4.610,4.619
1788221166.652575,1788221166.656585,4.010,4.038
1788221166.660086,1788221166.664670,4.584,3.700
1788221166.668673,1788221166.672295,3.622,3.259
1788221166.677157,1788221166.680164,3.007,2.778
1788221166.688239,1788221166.688239,0.000,0.322
1788221166.693356,1788221166.696377,3.021,2.792
1788221166.702417,1788221166.704731,2.314,2.054
1788221166.710743,1788221166.712359,1.616,1.868
1788221166.717620,1788221166.720206,2.585,1.648
1788221166.726767,1788221166.728772,2.006,1.302
1788221166.735759,1788221166.736800,1.041,0.693
1788221166.743331,1788221166.744909,1.578,0.258
1788221166.752181,1788221166.752181,0.000,0.124
1788221166.760677,1788221166.760677,0.000,0.044
1788221166.763305,1788221166.768359,5.053,4.714
1788221166.769322,1788221166.776872,7.551,7.445
1788221166.779494,1788221166.784012,4.518,5.162
1788221166.786617,1788221166.792612,5.996,5.505
1788221166.794163,1788221166.800854,6.690,6.150
1788221166.801399,1788221166.808943,7.544,6.645
1788221166.810083,1788221166.816437,6.353,6.055
1788221166.819425,1788221166.824939,5.514,5.536
1788221166.826944,1788221166.832953,6.009,5.521
1788221166.836075,1788221166.841089,5.014,4.396
1788221166.843233,1788221166.848418,5.184,4.736
1788221166.854916,1788221166.857020,2.105,1.577
1788221166.860924,1788221166.863995,3.070,3.758
1788221166.870594,1788221166.873042,2.449,1.838
1788221166.877562,1788221166.880567,3.005,2.929
1788221166.886069,1788221166.888907,2.838,2.315
1788221166.893900,1788221166.897029,3.129,2.744
1788221166.904169,1788221166.904169,0.000,0.594
1788221166.909935,1788221166.912919,2.984,2.255
1788221166.918566,1788221166.920574,2.008,1.930
1788221166.927604,1788221166.928612,1.008,1.344
1788221166.932602,1788221166.936787,4.185,4.227
1788221166.943791,1788221166.944789,0.998,0.413
1788221166.952448,1788221166.952448,0.000,0.600
1788221166.959980,1788221166.961469,1.489,0.416
1788221166.968791,1788221166.968791,0.000,0.246
1788221166.968791,1788221166.976881,8.090,8.259
1788221166.977896,1788221166.985409,7.513,6.952
1788221166.992436,1788221166.992436,0.000,0.502
1788221166.992436,1788221167.001109,8.673,7.797
1788221167.007628,1788221167.008949,1.321,1.210
1788221167.010959,1788221167.017513,6.553,6.322
1788221167.022517,1788221167.025036,2.519,2.253
1788221167.026562,1788221167.033129,6.567,6.107
1788221167.037480,1788221167.041472,3.992,3.283
1788221167.043478,1788221167.049004,5.526,5.260
1788221167.052997,1788221167.057700,4.703,3.969
1788221167.060688,1788221167.065696,5.009,4.562
1788221167.069219,1788221167.073235,4.015,4.238
1788221167.076754,1788221167.080838,4.085,4.329
1788221167.085076,1788221167.089191,4.115,3.957
1788221167.093809,1788221167.097109,3.300,3.017
1788221167.101255,1788221167.105356,4.101,3.281
1788221167.110974,1788221167.112950,1.976,2.104
1788221167.119492,1788221167.121503,2.011,1.899
1788221167.126501,1788221167.129045,2.544,1.998
1788221167.135563,1788221167.137560,1.997,1.610
1788221167.144129,1788221167.145181,1.052,1.376
1788221167.152160,1788221167.153256,1.096,0.792
1788221167.160824,1788221167.160824,0.000,0.295
1788221167.169405,1788221167.169405,0.000,0.149
1788221167.177025,1788221167.177025,0.000,0.564
1788221167.178543,1788221167.185563,7.020,6.649
1788221167.186553,1788221167.192631,6.078,6.982
1788221167.194147,1788221167.201195,7.049,6.289
1788221167.208975,1788221167.208975,0.000,0.015
1788221167.211060,1788221167.217626,6.566,6.705
1788221167.224329,1788221167.225732,1.403,0.692
1788221167.225732,1788221167.233776,8.044,6.602
1788221167.240397,1788221167.241451,1.054,0.702
1788221167.244473,1788221167.249713,5.240,4.895
1788221167.255791,1788221167.257800,2.009,1.659
1788221167.261302,1788221167.265893,4.590,4.362
1788221167.270468,1788221167.273918,3.450,3.307
1788221167.277456,1788221167.281127,3.671,4.141
1788221167.286631,1788221167.289189,2.558,2.285
1788221167.294378,1788221167.297398,3.020,3.257
1788221167.302240,1788221167.305265,3.025,2.631
1788221167.311785,1788221167.313285,1.500,1.793
1788221167.316310,1788221167.321185,4.875,4.699
1788221167.326301,1788221167.329210,2.909,2.835
1788221167.335750,1788221167.337747,1.997,1.267
1788221167.344296,1788221167.345282,0.987,0.881
1788221167.352001,1788221167.354020,2.018,1.061
1788221167.361009,1788221167.362010,1.001,0.355
1788221167.368868,1788221167.369886,1.019,0.925
1788221167.376959,1788221167.377952,0.993,0.333
1788221167.384708,1788221167.386220,1.512,0.034
1788221167.393754,1788221167.393754,0.000,0.294
1788221167.400974,1788221167.402488,1.514,0.068
1788221167.408507,1788221167.410497,1.990,1.396
1788221167.410497,1788221167.418150,7.653,7.587
1788221167.424685,1788221167.426687,2.002,0.992
1788221167.427195,1788221167.434621,7.426,6.857
1788221167.438633,1788221167.441834,3.201,2.929
1788221167.444358,1788221167.450035,5.677,5.711
1788221167.455781,1788221167.457902,2.120,2.730
1788221167.460795,1788221167.466607,5.812,5.269
1788221167.471150,1788221167.474747,3.597,3.183
1788221167.477519,1788221167.482486,4.966,4.388
1788221167.485926,1788221167.490465,4.539,4.378
1788221167.493994,1788221167.498525,4.531,4.517
1788221167.503043,1788221167.506065,3.023,3.549
1788221167.512059,1788221167.514713,2.654,2.027
1788221167.519724,1788221167.522728,3.004,2.701
1788221167.528347,1788221167.530372,2.024,2.095
1788221167.535196,1788221167.538146,2.950,2.983
1788221167.543831,1788221167.546877,3.046,2.363
1788221167.552463,1788221167.553972,1.510,2.007
1788221167.560024,1788221167.562922,2.898,2.080
1788221167.569541,1788221167.570554,1.013,0.821
1788221167.577091,1788221167.578644,1.553,0.543
1788221167.586198,1788221167.586198,0.000,0.556
1788221167.594239,1788221167.594239,0.000,0.464
1788221167.602390,1788221167.602390,0.000,0.070
1788221167.610019,1788221167.610019,0.000,0.023
1788221167.610019,1788221167.618515,8.495,8.034
1788221167.623521,1788221167.626554,3.033,2.291
1788221167.626554,1788221167.634940,8.386,7.479
1788221167.639481,1788221167.643012,3.531,3.112
1788221167.646539,1788221167.651065,4.526,3.495
1788221167.654495,1788221167.658543,4.047,3.597
1788221167.660920,1788221167.667136,6.215,5.182
1788221167.670321,1788221167.674970,4.648,4.451
1788221167.677196,1788221167.682472,5.275,5.162
1788221167.685219,1788221167.690277,5.058,4.891
1788221167.693294,1788221167.698443,5.149,4.871
1788221167.701737,1788221167.707153,5.416,4.749
1788221167.711170,1788221167.714174,3.004,3.803
1788221167.718602,1788221167.723115,4.513,3.484
1788221167.726962,1788221167.730974,4.012,3.699
1788221167.736084,1788221167.738757,2.673,2.989
1788221167.744408,1788221167.747009,2.600,2.610
1788221167.753019,1788221167.755020,2.002,1.693
1788221167.760656,1788221167.763162,2.506,1.395
1788221167.768846,1788221167.770839,1.993,1.521
1788221167.778455,1788221167.778455,0.000,0.109
1788221167.785717,1788221167.786941,1.223,1.011
1788221167.794007,1788221167.794007,0.000,0.250
1788221167.802163,1788221167.803265,1.102,0.465
1788221167.810804,1788221167.810804,0.000,0.022
1788221167.810804,1788221167.819274,8.470,8.035
1788221167.824291,1788221167.826631,2.340,2.035
1788221167.827578,1788221167.835021,7.443,7.700
1788221167.840116,1788221167.843323,3.207,2.415
1788221167.843323,1788221167.850865,7.542,7.296
1788221167.855880,1788221167.859389,3.509,2.561
1788221167.860404,1788221167.867411,7.007,6.687
1788221167.870946,1788221167.874603,3.656,3.148
1788221167.877598,1788221167.883168,5.570,5.283
1788221167.886668,1788221167.891390,4.722,4.649
1788221167.893377,1788221167.899575,6.197,5.269
1788221167.902594,1788221167.907254,4.660,4.477
1788221167.910905,1788221167.914910,4.006,4.592
1788221167.918947,1788221167.923007,4.061,3.888
1788221167.926595,1788221167.931235,4.640,4.209
1788221167.935853,1788221167.939803,3.950,3.441
1788221167.943398,1788221167.947034,3.636,3.282
1788221167.953343,1788221167.955353,2.010,1.339
1788221167.962188,1788221167.963173,0.985,0.839
1788221167.969211,1788221167.971799,2.588,2.044
1788221167.977363,1788221167.979738,2.376,1.694
1788221167.985271,1788221167.987829,2.558,1.515
1788221167.993464,1788221167.996033,2.569,2.223
1788221167.997053,1788221168.003717,6.664,6.333
1788221168.007255,1788221168.011799,4.544,4.119
1788221168.019851,1788221168.019851,0.000,0.031
1788221168.027655,1788221168.027655,0.000,0.232
1788221168.035313,1788221168.036305,0.992,0.072
1788221168.039305,1788221168.043978,4.673,4.934
1788221168.043978,1788221168.052514,8.536,7.685
1788221168.053807,1788221168.059983,6.176,5.851
1788221168.060988,1788221168.068144,7.155,6.136
1788221168.069133,1788221168.075787,6.654,6.883
1788221168.076674,1788221168.083929,7.254,7.234
1788221168.085919,1788221168.091468,5.549,6.328
1788221168.094004,1788221168.100009,6.004,5.848
1788221168.101897,1788221168.108148,6.252,5.699
1788221168.111139,1788221168.116130,4.991,5.256
1788221168.119129,1788221168.123784,4.654,5.130
1788221168.130780,1788221168.131801,1.020,1.356
1788221168.134846,1788221168.139954,5.108,4.636
1788221168.146966,1788221168.148463,1.498,1.230
1788221168.152603,1788221168.155726,3.123,3.304
1788221168.160703,1788221168.164296,3.593,3.384
1788221168.169311,1788221168.172308,2.998,3.068
1788221168.176835,1788221168.180377,3.542,3.324
1788221168.186086,1788221168.188090,2.004,1.706
1788221168.194569,1788221168.196635,2.065,1.969
1788221168.202195,1788221168.204732,2.537,2.014
1788221168.211088,1788221168.212593,1.505,0.869
1788221168.218637,1788221168.220639,2.001,1.536
1788221168.227243,1788221168.228296,1.053,1.168
1788221168.235557,1788221168.236504,0.947,0.086
1788221168.243600,1788221168.244251,0.651,0.441
1788221168.244251,1788221168.251995,7.743,7.818
1788221168.254514,1788221168.260707,6.194,5.501
1788221168.260707,1788221168.268371,7.663,7.548
1788221168.269254,1788221168.276787,7.533,7.067
1788221168.278787,1788221168.284712,5.924,5.749
1788221168.286382,1788221168.292539,6.157,5.470
1788221168.299651,1788221168.300650,0.998,0.431
1788221168.302646,1788221168.308183,5.537,5.983
1788221168.315768,1788221168.316784,1.016,0.246
1788221168.318777,1788221168.324293,5.516,5.668
1788221168.331090,1788221168.332093,1.004,1.263
1788221168.335633,1788221168.340632,4.999,4.845
1788221168.345119,1788221168.348564,3.446,3.122
1788221168.352426,1788221168.356766,4.340,4.298
1788221168.360686,1788221168.364932,4.246,3.638
1788221168.369118,1788221168.372128,3.009,3.644
1788221168.379712,1788221168.379712,0.000,0.132
1788221168.379712,1788221168.388758,9.045,8.151
1788221168.395072,1788221168.396586,1.514,1.524
1788221168.402597,1788221168.404594,1.997,1.515
1788221168.411141,1788221168.412134,0.993,1.675
1788221168.419174,1788221168.420118,0.944,0.867
1788221168.427462,1788221168.428517,1.054,1.342
1788221168.435078,1788221168.436692,1.614,0.715
1788221168.443703,1788221168.444709,1.006,0.507
1788221168.444709,1788221168.452328,7.619,7.772
1788221168.459815,1788221168.460809,0.994,0.155
1788221168.468827,1788221168.468827,0.000,0.019
1788221168.470833,1788221168.475771,4.938,5.335
1788221168.477331,1788221168.485093,7.762,6.867
1788221168.486019,1788221168.492362,6.343,6.745
1788221168.495455,1788221168.500472,5.018,4.895
1788221168.504469,1788221168.509172,4.703,3.714
1788221168.511072,1788221168.516647,5.575,5.822
1788221168.518602,1788221168.524671,6.069,5.816
1788221168.532146,1788221168.532146,0.000,0.346
1788221168.535351,1788221168.540881,5.530,4.874
1788221168.546880,1788221168.549143,2.262,1.384
1788221168.552155,1788221168.556257,4.102,4.588
1788221168.562864,1788221168.564859,1.995,1.422
1788221168.567799,1788221168.572380,4.581,3.986
1788221168.579437,1788221168.580456,1.019,1.465
1788221168.585499,1788221168.588040,2.541,2.280
1788221168.594572,1788221168.596731,2.160,1.976
1788221168.603267,1788221168.605278,2.010,1.372
1788221168.610773,1788221168.612790,2.017,2.416
1788221168.618783,1788221168.621315,2.532,1.707
1788221168.627206,1788221168.629221,2.015,1.590
1788221168.627206,1788221168.636907,9.701,9.602
1788221168.643404,1788221168.644921,1.516,0.995
1788221168.652707,1788221168.652707,0.000,0.359
1788221168.660294,1788221168.661305,1.011,0.661
1788221168.668836,1788221168.668836,0.000,0.170
1788221168.672362,1788221168.677306,4.944,4.543
1788221168.677306,1788221168.684841,7.535,7.885
1788221168.688842,1788221168.693388,4.545,3.818
1788221168.693388,1788221168.700466,7.079,7.349
1788221168.702993,1788221168.708994,6.001,5.535
1788221168.712043,1788221168.717206,5.164,3.960
1788221168.719660,1788221168.725225,5.565,5.186
1788221168.727215,1788221168.732738,5.523,5.488
1788221168.738003,1788221168.740996,2.993,2.499
1788221168.743526,1788221168.748812,5.286,4.591
1788221168.751344,1788221168.756939,5.595,4.693
1788221168.764944,1788221168.764944,0.000,0.187
1788221168.768943,1788221168.773526,4.583,3.989
1788221168.780063,1788221168.780571,0.508,1.065
1788221168.785223,1788221168.789234,4.011,3.438
1788221168.795282,1788221168.796892,1.610,1.241
1788221168.801906,1788221168.805449,3.543,3.169
1788221168.810439,1788221168.812786,2.347,2.070
1788221168.819389,1788221168.821325,1.936,1.979
1788221168.826953,1788221168.828953,2.000,2.106
1788221168.836246,1788221168.837337,1.091,0.278
1788221168.842863,1788221168.845512,2.649,1.547
1788221168.852693,1788221168.852693,0.000,0.654
1788221168.860349,1788221168.861357,1.008,0.630
1788221168.868897,1788221168.868897,0.000,0.140
1788221168.876474,1788221168.877432,0.957,0.258
1788221168.876474,1788221168.885480,9.006,8.272
1788221168.886555,1788221168.893688,7.133,6.512
1788221168.893688,1788221168.900896,7.208,6.948
1788221168.902888,1788221168.909532,6.644,5.957
1788221168.910530,1788221168.917268,6.738,7.014
1788221168.919294,1788221168.925268,5.974,5.955
1788221168.932801,1788221168.932801,0.000,0.132
1788221168.936302,1788221168.941321,5.019,5.013
1788221168.944321,1788221168.949431,5.110,4.852
1788221168.952502,1788221168.956963,4.461,4.947
1788221168.964116,1788221168.965407,1.292,0.979
1788221168.968528,1788221168.973639,5.111,4.387
1788221168.981061,1788221168.981061,0.000,0.022
1788221168.985593,1788221168.989126,3.534,3.271
1788221168.995126,1788221168.997648,2.522,1.734
1788221169.002665,1788221169.005763,3.098,2.685
1788221169.011214,1788221169.013213,2.000,1.873
1788221169.018723,1788221169.021741,3.019,2.240
1788221169.026738,1788221169.029267,2.529,1.703
1788221169.036517,1788221169.037530,1.013,1.187
1788221169.044312,1788221169.045322,1.010,0.315
1788221169.052721,1788221169.053830,1.110,0.934
1788221169.060661,1788221169.061743,1.082,1.061
1788221169.068657,1788221169.069787,1.130,0.857
1788221169.076817,1788221169.077791,0.974,0.501
1788221169.084903,1788221169.084903,0.000,0.014
1788221169.088921,1788221169.093196,4.275,4.442
1788221169.095197,1788221169.101086,5.889,6.391
1788221169.104025,1788221169.109779,5.754,5.438
1788221169.110528,1788221169.117336,6.808,6.335
1788221169.119863,1788221169.125924,6.061,5.611
1788221169.126830,1788221169.133457,6.627,6.514
1788221169.134965,1788221169.141893,6.928,5.924
1788221169.143889,1788221169.150008,6.118,5.351
1788221169.154022,1788221169.157085,3.063,3.710
1788221169.160531,1788221169.165617,5.086,4.917
1788221169.168680,1788221169.173090,4.411,4.696
1788221169.181323,1788221169.181323,0.000,0.249
1788221169.185323,1788221169.189865,4.542,3.706
1788221169.196389,1788221169.197380,0.991,0.892
1788221169.202200,1788221169.205541,3.341,3.147
1788221169.211987,1788221169.212985,0.998,1.500
1788221169.219014,1788221169.221768,2.754,2.653
1788221169.227660,1788221169.230009,2.349,1.654
1788221169.227660,1788221169.238098,10.438,9.733
1788221169.243752,1788221169.245270,1.518,2.008
1788221169.252449,1788221169.253514,1.065,0.799
1788221169.260427,1788221169.261987,1.560,0.945
1788221169.269055,1788221169.270086,1.031,0.595
1788221169.273748,1788221169.277709,3.960,3.542
1788221169.285624,1788221169.285624,0.000,0.021
1788221169.293209,1788221169.293209,0.000,0.107
1788221169.293209,1788221169.301207,7.998,8.119
1788221169.304887,1788221169.310249,5.362,4.668
1788221169.310249,1788221169.318354,8.105,7.384
1788221169.321364,1788221169.325429,4.065,4.703
1788221169.326429,1788221169.332913,6.485,6.773
1788221169.336023,1788221169.341385,5.363,5.998
1788221169.343824,1788221169.350346,6.522,6.337
1788221169.352357,1788221169.357891,5.534,5.523
1788221169.360895,1788221169.365489,4.594,5.085
1788221169.369083,1788221169.373623,4.540,4.620
1788221169.376638,1788221169.382177,5.539,4.949
1788221169.385708,1788221169.389712,4.004,4.358
1788221169.393743,1788221169.398271,4.528,4.316
1788221169.402280,1788221169.405806,3.526,3.560
1788221169.409804,1788221169.414334,4.530,3.795
1788221169.420347,1788221169.422368,2.021,1.232
1788221169.429396,1788221169.429396,0.000,0.386
1788221169.435810,1788221169.438323,2.513,2.517
1788221169.444024,1788221169.446056,2.032,1.883
1788221169.451608,1788221169.453620,2.012,2.124
1788221169.460476,1788221169.461999,1.523,1.892
1788221169.469528,1788221169.470546,1.018,0.792
1788221169.476812,1788221169.477827,1.014,1.012
1788221169.485824,1788221169.486341,0.518,0.504
1788221169.494427,1788221169.494427,0.000,0.069
1788221169.501709,1788221169.502719,1.009,0.065
1788221169.510226,1788221169.510226,0.000,0.020
1788221169.510226,1788221169.518649,8.423,7.873
1788221169.521676,1788221169.525648,3.972,4.305
1788221169.527151,1788221169.534164,7.013,7.204
1788221169.537163,1788221169.542372,5.209,4.673
1788221169.543369,1788221169.549895,6.526,6.736
1788221169.552403,1788221169.557927,5.524,5.984
1788221169.560477,1788221169.565997,5.520,5.837
1788221169.569006,1788221169.574010,5.004,5.255
1788221169.578530,1788221169.582526,3.996,3.807
1788221169.585526,1788221169.590064,4.538,3.928
1788221169.593072,1788221169.598442,5.370,4.784
1788221169.602452,1788221169.606487,4.035,4.060
1788221169.610025,1788221169.614016,3.991,3.992
1788221169.620546,1788221169.622552,2.006,1.396
1788221169.629849,1788221169.630547,0.697,0.411
1788221169.636551,1788221169.638065,1.513,1.668
1788221169.645119,1788221169.646105,0.986,1.017
1788221169.651717,1788221169.654717,3.000,2.399
1788221169.660739,1788221169.662419,1.680,1.442
1788221169.668432,1788221169.670659,2.228,1.249
1788221169.677659,1788221169.678659,1.000,1.149
1788221169.686168,1788221169.686168,0.000,0.436
1788221169.693691,1788221169.694682,0.991,0.721
1788221169.702291,1788221169.702291,0.000,0.491
1788221169.709292,1788221169.710472,1.180,1.443
1788221169.710472,1788221169.718472,7.999,7.474
1788221169.723991,1788221169.726990,2.998,1.983
1788221169.726990,1788221169.734523,7.533,7.565
1788221169.740020,1788221169.742554,2.534,2.450
1788221169.743554,1788221169.750075,6.521,7.005
1788221169.756635,1788221169.758632,1.997,1.862
1788221169.760138,1788221169.767142,7.004,5.939
1788221169.770656,1788221169.774666,4.010,3.513
1788221169.776664,1788221169.782732,6.068,5.592
1788221169.786748,1788221169.790247,3.499,3.687
1788221169.794270,1788221169.798862,4.592,3.799
1788221169.802391,1788221169.806398,4.007,4.192
1788221169.811391,1788221169.814847,3.456,3.577
1788221169.819850,1788221169.822379,2.529,2.857
1788221169.827878,1788221169.830878,2.999,2.788
1788221169.835912,1788221169.838918,3.006,2.660
1788221169.843448,1788221169.846449,3.001,2.708
1788221169.851952,1788221169.854955,3.003,2.222
1788221169.859962,1788221169.862464,2.502,2.340
1788221169.868472,1788221169.870475,2.003,1.934
1788221169.878591,1788221169.878591,0.000,0.059
1788221169.878591,1788221169.887109,8.518,8.071
1788221169.893629,1788221169.894630,1.002,0.860
1788221169.902660,1788221169.902660,0.000,0.075
1788221169.910663,1788221169.910663,0.000,0.317
1788221169.911663,1788221169.919195,7.531,7.460
1788221169.924701,1788221169.926861,2.160,1.966
1788221169.926861,1788221169.934374,7.513,7.840
1788221169.940371,1788221169.942893,2.522,2.579
1788221169.942893,1788221169.950896,8.003,7.436
1788221169.955930,1788221169.958924,2.994,2.428
1788221169.959937,1788221169.967052,7.115,6.334
1788221169.972045,1788221169.974570,2.525,2.665
1788221169.977570,1788221169.983080,5.510,5.467
1788221169.987102,1788221169.991096,3.994,3.361
1788221169.993603,1788221169.999124,5.521,4.906
1788221170.004660,1788221170.006666,2.006,2.316
1788221170.011671,1788221170.015192,3.521,2.937
1788221170.019192,1788221170.023191,3.999,3.690
1788221170.026459,1788221170.030821,4.362,3.966
1788221170.036352,1788221170.039349,2.997,2.424
1788221170.044394,1788221170.047394,2.999,2.926
1788221170.052394,1788221170.054899,2.505,2.665
1788221170.060900,1788221170.062917,2.017,2.238
1788221170.068408,1788221170.071408,3.000,2.321
1788221170.077424,1788221170.079436,2.012,1.863
1788221170.084953,1788221170.086953,2.000,1.655
1788221170.094012,1788221170.095053,1.041,0.887
1788221170.102288,1788221170.103290,1.001,0.181
1788221170.102288,1788221170.111048,8.759,8.205
1788221170.111048,1788221170.119576,8.528,7.457
1788221170.126959,1788221170.126959,0.000,0.100
