t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.001006,1788221628.940740,0.0000,0.0000,0.0000,0.0000,-0.0041,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0
0.008537,1788221628.944264,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0034,0,0,0
0.016688,1788221628.955429,0.0000,0.0000,0.0000,0.0000,-0.0028,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0006,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,0
0.025072,1788221628.961010,-0.0078,-0.0007,-0.0007,-0.0007,-0.0014,0,0,0,0.0225,0.0021,-0.0047,-0.0047,-0.0021,0,0,0,0.0417,0.0040,0.0060,0.0060,0.0014,0,0,0,-0.0161,-0.0015,0.0018,0.0018,-0.0021,0,0,0,0.1261,0.0120,0.0144,0.0144,-0.0014,0,0,0,0.0604,0.0058,0.0069,0.0069,0.0021,0,0,0
0.032529,1788221628.970804,0.0000,0.0000,-0.0007,-0.0007,-0.0007,0,0,0,0.0000,0.0000,-0.0047,-0.0047,-0.0014,0,0,0,0.0000,0.0000,0.0060,0.0060,0.0000,0,0,0,0.0000,0.0000,0.0018,0.0018,-0.0007,0,0,0,0.0000,0.0000,0.0144,0.0144,-0.0021,0,0,0,0.0000,0.0000,0.0069,0.0069,0.0007,0,0,0
0.041051,1788221628.977790,0.0000,0.0000,-0.0007,-0.0007,0.0000,0,0,0,0.0000,0.0000,-0.0047,-0.0047,-0.0021,0,0,0,0.0000,0.0000,0.0060,0.0060,0.0014,0,0,0,0.0000,0.0000,0.0018,0.0018,-0.0027,0,0,0,0.0000,0.0000,0.0144,0.0144,-0.0021,0,0,0,0.0000,0.0000,0.0069,0.0069,0.0007,0,0,0
0.048726,1788221628.986946,0.0000,0.0000,-0.0007,-0.0007,-0.0007,0,0,0,0.0000,0.0000,-0.0047,-0.0047,-0.0027,0,0,0,0.0000,0.0000,0.0060,0.0060,0.0000,0,0,0,0.0000,0.0000,0.0018,0.0018,0.0000,0,0,0,0.0000,0.0000,0.0144,0.0144,-0.0007,0,0,0,0.0000,0.0000,0.0069,0.0069,0.0027,0,0,0
0.056380,1788221628.995118,0.0000,0.0000,-0.0007,-0.0007,-0.0028,0,0,0,0.0000,0.0000,-0.0047,-0.0047,-0.0028,0,0,0,0.0000,0.0000,0.0060,0.0060,0.0014,0,0,0,0.0000,0.0000,0.0018,0.0018,0.0014,0,0,0,0.0000,0.0000,0.0144,0.0144,-0.0007,0,0,0,0.0000,0.0000,0.0069,0.0069,0.0007,0,0,0
0.064753,1788221629.003479,0.0158,0.0027,0.0027,0.0027,-0.0020,0,0,0,0.0172,0.0053,-0.0117,-0.0117,-0.0021,0,0,0,0.0220,0.0078,0.0117,0.0117,0.0006,0,0,0,0.0140,0.0017,-0.0021,-0.0021,0.0000,0,0,0,-0.0104,0.0073,0.0087,0.0087,-0.0021,0,0,0,-0.0109,0.0022,0.0027,0.0027,0.0007,0,0,0
0.071750,1788221629.011488,0.0000,0.0000,0.0027,0.0027,-0.0020,0,0,0,0.0000,0.0000,-0.0117,-0.0117,-0.0034,0,0,0,0.0000,0.0000,0.0117,0.0117,0.0014,0,0,0,0.0000,0.0000,-0.0021,-0.0021,-0.0007,0,0,0,0.0000,0.0000,0.0087,0.0087,-0.0007,0,0,0,0.0000,0.0000,0.0027,0.0027,0.0000,0,0,0
