t_capture,t_command,latency_ms,signal_age_ms
1788221711.643057,1788221711.644059,1.002,0.763
1788221711.645052,1788221711.651644,6.592,7.006
1788221711.658102,1788221711.659664,1.562,1.825
1788221711.662667,1788221711.667670,5.003,5.036
1788221711.672819,1788221711.675838,3.019,2.904
1788221711.677860,1788221711.684405,6.545,5.802
1788221711.688999,1788221711.691114,2.114,3.184
1788221711.695253,1788221711.700516,5.263,5.004
1788221711.704435,1788221711.707818,3.382,3.360
1788221711.712824,1788221711.715823,2.999,3.624
1788221711.720335,1788221711.724413,4.078,4.115
1788221711.728353,1788221711.731892,3.539,4.013
1788221711.736893,1788221711.740402,3.509,3.363
1788221711.745415,1788221711.748527,3.112,2.849
1788221711.752953,1788221711.755949,2.995,2.820
1788221711.760946,1788221711.764488,3.542,2.465
1788221711.769653,1788221711.772709,3.056,2.224
1788221711.778732,1788221711.779731,0.999,1.816
1788221711.786808,1788221711.787857,1.049,1.403
1788221711.795380,1788221711.796361,0.982,1.151
1788221711.803985,1788221711.803985,0.000,0.612
1788221711.810918,1788221711.812434,1.516,0.630
1788221711.819995,1788221711.819995,0.000,0.064
1788221711.828181,1788221711.828181,0.000,0.017
1788221711.828181,1788221711.836718,8.538,7.770
1788221711.843232,1788221711.844473,1.240,1.250
1788221711.845354,1788221711.852351,6.997,7.052
1788221711.859790,1788221711.860794,1.004,0.672
1788221711.860794,1788221711.868428,7.635,7.007
1788221711.870437,1788221711.876044,5.607,6.095
1788221711.878168,1788221711.884870,6.702,6.058
1788221711.889918,1788221711.891924,2.007,2.590
1788221711.895465,1788221711.900484,5.019,4.692
1788221711.906024,1788221711.908022,1.998,1.807
1788221711.911879,1788221711.916425,4.547,4.660
1788221711.922059,1788221711.924654,2.595,1.955
1788221711.928291,1788221711.932354,4.063,4.342
1788221711.937969,1788221711.940049,2.079,2.208
1788221711.945563,1788221711.948665,3.102,2.693
1788221711.954133,1788221711.956217,2.084,2.245
1788221711.961156,1788221711.964674,3.518,2.892
1788221711.970696,1788221711.972206,1.510,1.904
1788221711.978760,1788221711.980761,2.001,1.230
1788221711.986486,1788221711.988599,2.113,1.732
1788221711.995011,1788221711.996101,1.089,1.506
1788221712.003685,1788221712.003685,0.000,1.033
1788221712.011205,1788221712.012200,0.995,0.937
1788221712.020232,1788221712.020232,0.000,0.228
1788221712.020232,1788221712.028773,8.541,8.237
1788221712.031775,1788221712.036287,4.512,4.889
1788221712.036287,1788221712.044310,8.023,7.800
1788221712.048828,1788221712.052827,4.000,3.374
1788221712.052827,1788221712.060368,7.541,7.603
1788221712.061358,1788221712.068874,7.516,6.778
1788221712.076409,1788221712.076409,0.000,0.113
1788221712.077413,1788221712.084912,7.499,6.476
1788221712.092448,1788221712.092448,0.000,0.356
1788221712.095002,1788221712.100595,5.594,5.773
1788221712.107638,1788221712.108922,1.283,0.393
1788221712.112024,1788221712.116982,4.958,5.000
1788221712.124009,1788221712.125007,0.998,0.515
1788221712.128522,1788221712.132592,4.070,4.444
1788221712.139374,1788221712.140371,0.996,0.908
1788221712.148882,1788221712.148882,0.000,0.085
1788221712.155897,1788221712.156906,1.009,0.972
1788221712.155897,1788221712.164477,8.579,8.994
1788221712.170150,1788221712.172918,2.768,2.224
1788221712.178443,1788221712.180538,2.095,2.343
1788221712.187455,1788221712.189090,1.634,1.374
1788221712.195615,1788221712.196677,1.062,1.189
1788221712.203764,1788221712.204774,1.009,1.060
1788221712.211315,1788221712.212315,1.000,1.228
1788221712.219379,1788221712.220400,1.021,0.830
1788221712.227403,1788221712.228913,1.510,0.234
1788221712.231930,1788221712.236932,5.002,5.171
1788221712.236932,1788221712.244473,7.541,7.893
1788221712.246481,1788221712.253026,6.545,5.801
1788221712.254019,1788221712.261089,7.071,7.076
1788221712.262092,1788221712.269089,6.996,6.589
1788221712.270144,1788221712.276696,6.552,6.614
1788221712.278632,1788221712.284701,6.069,6.138
1788221712.286696,1788221712.292233,5.537,5.908
1788221712.294768,1788221712.301295,6.527,6.158
1788221712.303288,1788221712.308294,5.006,5.394
1788221712.311838,1788221712.317371,5.534,5.473
1788221712.318884,1788221712.325002,6.117,5.162
1788221712.328179,1788221712.332708,4.529,4.318
1788221712.340706,1788221712.340706,0.000,0.510
1788221712.344087,1788221712.349090,5.003,4.308
1788221712.356611,1788221712.356611,0.000,0.622
1788221712.361130,1788221712.365149,4.019,3.383
1788221712.371427,1788221712.373288,1.860,1.882
1788221712.378695,1788221712.381499,2.804,2.076
1788221712.387141,1788221712.389149,2.009,2.173
1788221712.394189,1788221712.396898,2.709,2.227
1788221712.402043,1788221712.404768,2.725,2.942
1788221712.412438,1788221712.412438,0.000,0.637
1788221712.420031,1788221712.421549,1.518,0.434
1788221712.428570,1788221712.429567,0.997,0.570
1788221712.434573,1788221712.437665,3.093,2.746
1788221712.437665,1788221712.444750,7.084,7.617
1788221712.450430,1788221712.453003,2.573,2.973
1788221712.454018,1788221712.461121,7.103,7.470
1788221712.464720,1788221712.469356,4.635,4.089
1788221712.470354,1788221712.477639,7.285,7.128
1788221712.480548,1788221712.485144,4.596,4.612
1788221712.487125,1788221712.493339,6.214,6.132
1788221712.499129,1788221712.501229,2.100,1.908
1788221712.503644,1788221712.509664,6.020,5.728
1788221712.511662,1788221712.517701,6.039,5.696
1788221712.519707,1788221712.525878,6.171,5.342
1788221712.527943,1788221712.532881,4.938,5.202
1788221712.540414,1788221712.541738,1.324,0.540
1788221712.545310,1788221712.549377,4.068,4.423
1788221712.555905,1788221712.557910,2.005,1.345
1788221712.562909,1788221712.565428,2.519,1.982
1788221712.571450,1788221712.573444,1.994,1.758
1788221712.578377,1788221712.581398,3.021,3.269
1788221712.586957,1788221712.589198,2.240,1.897
1788221712.586957,1788221712.597661,10.704,9.908
1788221712.602834,1788221712.605034,2.199,2.365
1788221712.611051,1788221712.613156,2.105,1.818
1788221712.620112,1788221712.621119,1.007,1.523
1788221712.627798,1788221712.629801,2.003,1.062
1788221712.636791,1788221712.637794,1.003,0.853
1788221712.644336,1788221712.645844,1.508,0.598
1788221712.646868,1788221712.653242,6.374,6.312
1788221712.661353,1788221712.661353,0.000,0.180
1788221712.663174,1788221712.669995,6.821,6.726
1788221712.669995,1788221712.677585,7.590,7.366
1788221712.678901,1788221712.685480,6.579,6.640
1788221712.692274,1788221712.693284,1.009,1.370
1788221712.694905,1788221712.701669,6.764,6.586
1788221712.703670,1788221712.710151,6.481,5.866
1788221712.711152,1788221712.717660,6.508,6.238
1788221712.723281,1788221712.725308,2.027,1.951
1788221712.729728,1788221712.733392,3.663,3.840
1788221712.737975,1788221712.742021,4.046,3.079
1788221712.744970,1788221712.749519,4.549,4.319
1788221712.753515,1788221712.758035,4.520,3.886
1788221712.761059,1788221712.766057,4.999,4.030
1788221712.769786,1788221712.774214,4.428,3.623
1788221712.778064,1788221712.781369,3.305,3.150
1788221712.787041,1788221712.790169,3.128,2.984
