t_capture,t_command,latency_ms,signal_age_ms
1788221916.317107,1788221916.317107,0.000,0.000
1788221916.325106,1788221916.325106,0.000,0.000
1788221916.333197,1788221916.333197,0.000,0.000
1788221916.340737,1788221916.340737,0.000,0.000
1788221916.348791,1788221916.348791,0.000,0.000
1788221916.356314,1788221916.356314,0.000,0.000
1788221916.364844,1788221916.364844,0.000,0.000
1788221916.315951,1788221916.373178,57.227,57.119
1788221916.321103,1788221916.381162,60.059,59.391
1788221916.329638,1788221916.388074,58.437,57.833
1788221916.337729,1788221916.396871,59.141,59.300
1788221916.345747,1788221916.404921,59.173,59.159
1788221916.353296,1788221916.412603,59.307,59.605
1788221916.362844,1788221916.421353,58.509,58.659
1788221916.370483,1788221916.429310,58.826,58.309
1788221916.379057,1788221916.436719,57.662,57.634
1788221916.387078,1788221916.444532,57.454,57.728
1788221916.394846,1788221916.453091,58.245,57.701
1788221916.403404,1788221916.461147,57.744,57.328
1788221916.412603,1788221916.468710,56.107,56.690
1788221916.420251,1788221916.476782,56.532,55.488
1788221916.428311,1788221916.485312,57.001,56.211
1788221916.428311,1788221916.492315,64.004,63.812
1788221916.438771,1788221916.501452,62.681,62.869
1788221916.445457,1788221916.508628,63.170,62.787
1788221916.453987,1788221916.517220,63.233,62.809
1788221916.468710,1788221916.525380,56.669,56.694
1788221916.470707,1788221916.532947,62.240,62.747
1788221916.484320,1788221916.540964,56.644,55.765
1788221916.487313,1788221916.549241,61.928,62.386
1788221916.495840,1788221916.557192,61.352,60.728
1788221916.503982,1788221916.565427,61.445,62.128
1788221916.516146,1788221916.573450,57.304,57.372
1788221916.519952,1788221916.581364,61.412,60.655
1788221916.530427,1788221916.588967,58.540,58.284
1788221916.537964,1788221916.597501,59.536,59.600
1788221916.546213,1788221916.605221,59.009,58.631
1788221916.553751,1788221916.612863,59.113,58.519
1788221916.562716,1788221916.620934,58.217,57.919
1788221916.570447,1788221916.629481,59.034,58.455
1788221916.579364,1788221916.637560,58.196,57.892
1788221916.587972,1788221916.645703,57.731,56.541
1788221916.595498,1788221916.653699,58.202,57.080
1788221916.604148,1788221916.660818,56.670,56.152
1788221916.610858,1788221916.668974,58.115,58.569
1788221916.619930,1788221916.677350,57.420,57.048
1788221916.628482,1788221916.685353,56.870,56.409
1788221916.629481,1788221916.692940,63.458,62.992
1788221916.639635,1788221916.700667,61.032,61.108
1788221916.645703,1788221916.709387,63.684,64.163
1788221916.655207,1788221916.716994,61.787,62.162
1788221916.662337,1788221916.724509,62.172,62.588
1788221916.671276,1788221916.733803,62.527,61.611
1788221916.679346,1788221916.741802,62.457,62.651
1788221916.687874,1788221916.749568,61.694,62.350
1788221916.700667,1788221916.757008,56.341,56.729
1788221916.703293,1788221916.765794,62.501,62.080
1788221916.715904,1788221916.773343,57.439,58.044
1788221916.721509,1788221916.780921,59.412,60.128
1788221916.730426,1788221916.789453,59.027,58.832
1788221916.737689,1788221916.797954,60.264,59.150
1788221916.745504,1788221916.805627,60.123,59.483
1788221916.754381,1788221916.813416,59.035,59.325
1788221916.761606,1788221916.821698,60.092,59.071
1788221916.770344,1788221916.829307,58.964,58.424
1788221916.778862,1788221916.836852,57.990,58.415
1788221916.787431,1788221916.845384,57.952,57.764
