t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000000,1788221916.317107,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0034,0,0,1
0.007999,1788221916.325106,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1
0.016090,1788221916.333197,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0034,0,0,1
0.023631,1788221916.340737,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1
0.031685,1788221916.348791,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1
0.039207,1788221916.356314,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0006,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1
0.047738,1788221916.364844,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1
0.056071,1788221916.315951,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0006,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0
0.064055,1788221916.321103,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0027,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,0
0.070968,1788221916.329638,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0027,0,0,0
