t_capture,t_command,latency_ms,signal_age_ms
1788221969.605434,1788221969.605434,0.000,0.000
1788221969.612980,1788221969.612980,0.000,0.000
1788221969.620741,1788221969.621742,1.001,0.000
1788221969.628815,1788221969.628815,0.000,0.000
1788221969.637128,1788221969.637128,0.000,0.000
1788221969.645715,1788221969.645715,0.000,0.000
1788221969.652862,1788221969.652862,0.000,0.000
1788221969.661472,1788221969.661472,0.000,0.000
1788221969.669504,1788221969.669504,0.000,0.000
1788221969.677317,1788221969.677317,0.000,0.000
1788221969.685509,1788221969.685509,0.000,0.000
1788221969.692763,1788221969.692763,0.000,0.000
1788221969.700838,1788221969.700838,0.000,0.000
1788221969.604439,1788221969.708856,104.417,103.849
1788221969.604439,1788221969.717381,112.943,112.850
1788221969.620741,1788221969.725017,104.275,104.408
1788221969.620741,1788221969.733565,112.824,112.715
1788221969.634504,1788221969.741082,106.579,106.156
1788221969.637128,1788221969.748984,111.857,110.835
1788221969.650857,1788221969.757335,106.477,107.178
1788221969.653852,1788221969.765360,111.508,110.889
1788221969.664925,1788221969.773418,108.493,108.183
1788221969.671082,1788221969.781926,110.845,110.087
1788221969.680307,1788221969.789943,109.636,108.711
1788221969.688159,1788221969.797488,109.329,109.710
1788221969.695754,1788221969.805567,109.814,110.044
1788221969.703851,1788221969.813077,109.226,109.592
1788221969.712382,1788221969.821085,108.704,108.685
1788221969.725017,1788221969.829675,104.658,104.695
1788221969.729018,1788221969.837505,108.486,108.650
1788221969.741082,1788221969.846029,104.947,103.961
1788221969.744961,1788221969.853443,108.482,108.540
1788221969.756066,1788221969.862002,105.936,105.603
1788221969.761871,1788221969.869283,107.412,107.202
1788221969.770878,1788221969.877957,107.079,106.527
1788221969.778416,1788221969.885241,106.825,106.444
1788221969.786942,1788221969.892642,105.700,105.612
1788221969.795489,1788221969.901336,105.847,105.805
1788221969.803561,1788221969.909877,106.316,105.643
1788221969.813077,1788221969.917506,104.429,105.158
1788221969.821085,1788221969.926051,104.965,105.519
1788221969.829675,1788221969.933050,103.375,103.527
1788221969.836378,1788221969.941663,105.285,104.601
1788221969.845027,1788221969.949257,104.230,104.284
1788221969.847920,1788221969.957776,109.856,110.274
1788221969.854461,1788221969.965293,110.832,110.082
1788221969.863519,1788221969.973715,110.196,110.543
1788221969.871174,1788221969.982024,110.851,110.704
1788221969.878849,1788221969.990121,111.272,111.739
1788221969.887122,1788221969.997637,110.515,111.155
1788221969.895996,1788221970.005360,109.364,109.747
1788221969.903860,1788221970.013380,109.520,108.775
1788221969.912874,1788221970.021636,108.762,108.726
1788221969.925049,1788221970.030165,105.115,104.174
1788221969.929037,1788221970.037700,108.663,109.499
1788221969.940745,1788221970.046209,105.465,104.916
1788221969.945246,1788221970.053765,108.519,108.515
1788221969.955776,1788221970.061326,105.549,104.862
1788221969.961772,1788221970.069851,108.079,107.920
1788221969.971350,1788221970.077563,106.213,106.236
1788221969.979487,1788221970.085401,105.914,105.846
1788221969.987580,1788221970.094258,106.678,106.380
1788221969.995620,1788221970.102334,106.714,105.517
