t_capture,t_command,latency_ms,signal_age_ms
1788222021.479315,1788222021.479315,0.000,0.000
1788222021.487038,1788222021.487038,0.000,0.000
1788222021.495580,1788222021.495580,0.000,0.000
1788222021.503080,1788222021.503080,0.000,0.000
1788222021.511081,1788222021.511081,0.000,0.000
1788222021.519376,1788222021.519376,0.000,0.000
1788222021.526744,1788222021.526744,0.000,0.000
1788222021.535271,1788222021.535271,0.000,0.000
1788222021.542798,1788222021.542798,0.000,0.000
1788222021.550800,1788222021.550800,0.000,0.000
1788222021.559439,1788222021.559439,0.000,0.000
1788222021.567093,1788222021.567093,0.000,0.000
1788222021.575600,1788222021.575600,0.000,0.000
1788222021.583103,1788222021.583103,0.000,0.000
1788222021.591594,1788222021.591594,0.000,0.000
1788222021.599123,1788222021.599123,0.000,0.000
1788222021.607623,1788222021.607623,0.000,0.000
1788222021.615557,1788222021.615557,0.000,0.000
1788222021.622930,1788222021.622930,0.000,0.000
1788222021.631299,1788222021.631299,0.000,0.000
1788222021.638894,1788222021.638894,0.000,0.000
1788222021.647081,1788222021.647081,0.000,0.000
1788222021.655244,1788222021.655244,0.000,0.000
1788222021.662818,1788222021.662818,0.000,0.000
1788222021.671064,1788222021.671064,0.000,0.000
1788222021.478313,1788222021.679569,201.256,200.529
1788222021.478313,1788222021.687606,209.293,208.536
1788222021.695109,1788222021.695109,0.000,0.000
1788222021.496579,1788222021.703112,206.532,206.745
1788222021.509083,1788222021.711167,202.084,201.823
1788222021.512080,1788222021.719805,207.725,207.290
1788222021.524745,1788222021.727331,202.586,202.812
1788222021.528744,1788222021.735340,206.595,206.426
1788222021.540779,1788222021.743343,202.565,202.656
1788222021.545801,1788222021.751853,206.052,206.020
1788222021.759371,1788222021.759371,0.000,0.000
1788222021.562524,1788222021.767475,204.951,203.973
1788222021.571094,1788222021.775981,204.888,204.430
1788222021.579601,1788222021.783493,203.892,203.459
1788222021.587595,1788222021.792019,204.424,204.133
1788222021.595114,1788222021.799536,204.422,204.224
1788222021.604624,1788222021.808048,203.423,202.598
1788222021.611626,1788222021.815562,203.936,203.022
1788222021.619930,1788222021.823566,203.636,203.455
1788222021.628293,1788222021.831657,203.364,202.934
1788222021.637894,1788222021.839368,201.473,201.728
1788222021.646081,1788222021.847380,201.299,201.478
1788222021.650082,1788222021.855384,205.302,205.417
1788222021.661820,1788222021.863591,201.771,201.690
1788222021.670063,1788222021.872010,201.947,201.658
1788222021.879511,1788222021.879511,0.000,0.000
1788222021.680578,1788222021.888154,207.577,207.459
1788222021.695109,1788222021.895146,200.037,200.139
1788222021.695109,1788222021.903653,208.544,208.423
1788222021.711167,1788222021.912161,200.994,201.190
1788222021.919340,1788222021.919340,0.000,0.000
1788222021.726331,1788222021.927351,201.020,201.281
1788222021.729332,1788222021.935863,206.531,206.467
1788222021.742343,1788222021.943369,201.025,200.722
1788222021.745850,1788222021.951902,206.052,205.205
1788222021.756358,1788222021.960038,203.680,203.891
1788222021.763376,1788222021.968514,205.138,205.296
1788222021.771478,1788222021.976517,205.039,204.335
1788222021.779991,1788222021.984082,204.091,203.800
1788222021.991925,1788222021.991925,0.000,0.000
1788222021.795020,1788222022.000617,205.597,203.732
1788222022.007617,1788222022.007617,0.000,0.000
1788222021.813048,1788222022.016124,203.076,202.871
1788222021.820566,1788222022.023733,203.166,202.882
1788222021.829650,1788222022.032250,202.600,202.609
1788222021.837351,1788222022.040175,202.824,202.734
1788222021.846377,1788222022.048685,202.308,201.754
1788222022.055202,1788222022.056708,1.505,0.000
1788222021.862592,1788222022.064219,201.627,202.049
1788222022.071756,1788222022.071756,0.000,0.000
1788222021.879511,1788222022.080261,200.749,200.855
1788222021.879511,1788222022.088324,208.812,208.311
1788222021.895146,1788222022.096356,201.210,201.413
1788222021.903653,1788222022.104620,200.966,200.995
1788222022.111825,1788222022.111825,0.000,0.000
1788222021.912161,1788222022.120817,208.657,207.947
1788222021.925848,1788222022.127824,201.976,202.418
1788222022.135860,1788222022.135860,0.000,0.000
1788222021.940380,1788222022.143918,203.538,203.817
1788222021.945369,1788222022.152335,206.965,206.376
1788222022.159835,1788222022.159835,0.000,0.000
1788222021.956399,1788222022.168343,211.944,211.609
1788222021.963013,1788222022.176865,213.852,212.617
1788222021.978518,1788222022.184872,206.354,205.515
1788222021.988590,1788222022.192377,203.788,203.686
1788222021.997104,1788222022.200380,203.276,204.022
1788222022.004618,1788222022.208373,203.756,204.108
1788222022.012124,1788222022.216403,204.278,204.193
1788222022.020655,1788222022.224257,203.603,204.025
1788222022.029248,1788222022.232758,203.510,203.398
1788222022.039673,1788222022.240788,201.116,201.097
1788222022.045682,1788222022.248294,202.613,203.173
1788222022.054193,1788222022.256814,202.621,203.656
1788222022.264062,1788222022.264062,0.000,0.000
1788222022.067220,1788222022.272588,205.369,205.780
1788222022.280095,1788222022.280095,0.000,0.000
1788222022.087326,1788222022.288491,201.165,200.670
1788222022.087326,1788222022.296934,209.608,209.086
1788222022.304504,1788222022.304504,0.000,0.000
1788222022.105621,1788222022.312416,206.796,207.126
1788222022.112816,1788222022.320751,207.935,208.221
1788222022.127824,1788222022.328841,201.018,201.067
1788222022.129835,1788222022.336870,207.035,207.279
1788222022.142917,1788222022.344380,201.463,201.102
1788222022.144918,1788222022.352886,207.968,207.403
1788222022.158835,1788222022.362534,203.698,203.977
1788222022.162342,1788222022.370534,208.192,207.708
1788222022.175874,1788222022.378375,202.501,203.234
1788222022.178865,1788222022.386387,207.522,207.550
1788222022.190875,1788222022.394405,203.530,202.947
1788222022.195380,1788222022.402907,207.527,207.293
1788222022.203886,1788222022.410922,207.035,206.649
1788222022.213400,1788222022.418417,205.017,204.798
1788222022.223256,1788222022.426517,203.261,203.414
1788222022.229262,1788222022.434042,204.781,204.803
1788222022.238786,1788222022.442098,203.313,202.585
1788222022.245303,1788222022.450610,205.308,205.096
1788222022.254816,1788222022.458119,203.303,202.611
1788222022.254816,1788222022.466141,211.325,211.394
1788222022.270062,1788222022.474644,204.582,203.917
1788222022.279094,1788222022.482648,203.554,203.748
1788222022.287492,1788222022.490370,202.878,202.842
1788222022.287492,1788222022.498656,211.164,210.694
1788222022.303773,1788222022.506404,202.631,202.550
1788222022.312416,1788222022.514916,202.500,202.599
1788222022.315929,1788222022.522915,206.986,206.952
1788222022.321888,1788222022.530426,208.537,208.146
1788222022.330842,1788222022.539191,208.349,206.300
1788222022.339870,1788222022.546707,206.837,207.018
1788222022.346382,1788222022.555211,208.829,208.232
1788222022.362534,1788222022.562719,200.185,200.202
1788222022.362534,1788222022.570763,208.229,207.763
1788222022.377374,1788222022.578898,201.524,201.542
1788222022.379376,1788222022.586919,207.543,207.305
1788222022.393401,1788222022.594441,201.040,201.023
1788222022.395405,1788222022.602973,207.568,207.084
1788222022.408912,1788222022.611186,202.274,201.741
1788222022.411911,1788222022.619265,207.354,206.681
1788222022.626438,1788222022.626438,0.000,0.000
1788222022.431523,1788222022.634442,202.919,203.367
1788222022.440092,1788222022.642420,202.328,202.259
1788222022.446611,1788222022.650932,204.321,204.571
1788222022.456118,1788222022.658991,202.873,203.311
1788222022.462621,1788222022.666937,204.316,204.984
1788222022.471141,1788222022.674937,203.795,203.173
1788222022.682444,1788222022.682444,0.000,0.000
1788222022.487371,1788222022.691474,204.103,202.677
1788222022.496647,1788222022.698981,202.334,202.289
1788222022.503370,1788222022.706981,203.611,203.415
1788222022.714667,1788222022.714667,0.000,0.000
1788222022.520916,1788222022.723176,202.260,202.199
1788222022.528425,1788222022.730718,202.292,202.042
1788222022.538181,1788222022.738721,200.540,200.651
1788222022.545707,1788222022.746722,201.014,200.811
1788222022.755203,1788222022.755203,0.000,0.000
1788222022.562719,1788222022.763263,200.545,200.600
1788222022.570763,1788222022.771250,200.487,200.582
1788222022.577897,1788222022.778941,201.044,200.575
1788222022.578898,1788222022.787035,208.137,207.938
1788222022.592933,1788222022.794728,201.795,202.089
1788222022.596974,1788222022.803248,206.274,206.166
1788222022.810776,1788222022.810776,0.000,0.000
1788222022.612187,1788222022.819291,207.104,206.732
1788222022.623265,1788222022.827298,204.033,204.183
1788222022.628442,1788222022.834813,206.371,206.434
1788222022.638536,1788222022.843396,204.860,204.967
1788222022.850924,1788222022.850924,0.000,0.000
1788222022.653929,1788222022.859419,205.490,205.162
1788222022.866853,1788222022.866853,0.000,0.000
1788222022.673937,1788222022.875350,201.413,201.691
1788222022.679444,1788222022.882855,203.411,204.000
1788222022.684446,1788222022.890891,206.445,206.774
1788222022.898891,1788222022.898891,0.000,0.000
1788222022.703981,1788222022.907046,203.065,202.841
1788222022.714667,1788222022.915076,200.408,200.787
1788222022.721179,1788222022.923352,202.174,201.453
1788222022.729706,1788222022.931426,201.720,201.861
1788222022.737716,1788222022.938957,201.241,201.144
1788222022.746722,1788222022.947474,200.752,201.337
1788222022.954990,1788222022.954990,0.000,0.000
1788222022.762264,1788222022.963535,201.271,200.630
1788222022.770248,1788222022.971272,201.024,200.549
1788222022.778941,1788222022.979791,200.850,200.944
1788222022.778941,1788222022.987825,208.884,208.221
1788222022.790544,1788222022.995348,204.804,204.383
1788222023.002856,1788222023.003856,1.000,0.000
1788222022.806249,1788222023.011855,205.606,204.612
1788222023.019043,1788222023.019043,0.000,0.000
1788222022.812777,1788222023.027263,214.486,214.073
1788222022.831804,1788222023.035983,204.180,204.696
1788222023.043225,1788222023.043225,0.000,0.000
1788222022.847395,1788222023.051218,203.824,203.846
1788222022.855924,1788222023.059725,203.800,203.690
1788222022.863433,1788222023.067313,203.881,204.422
1788222022.870342,1788222023.075702,205.360,204.872
1788222022.878342,1788222023.083214,204.872,204.182
1788222022.887365,1788222023.091312,203.948,204.211
1788222022.896888,1788222023.099550,202.661,202.542
1788222022.904040,1788222023.107689,203.649,203.915
1788222022.912067,1788222023.116106,204.039,202.824
1788222022.923352,1788222023.124105,200.752,200.787
1788222023.131363,1788222023.131363,0.000,0.000
1788222022.937948,1788222023.140178,202.229,201.397
1788222022.945465,1788222023.147705,202.240,201.438
1788222022.953989,1788222023.156221,202.232,201.100
1788222022.962031,1788222023.164222,202.191,201.216
1788222022.963535,1788222023.171730,208.195,207.838
1788222022.978792,1788222023.179962,201.170,200.521
1788222022.979791,1788222023.188018,208.227,207.962
1788222022.995348,1788222023.196126,200.778,200.906
1788222022.995348,1788222023.204128,208.780,208.801
1788222023.009856,1788222023.211531,201.674,201.740
1788222023.011855,1788222023.219714,207.859,207.655
1788222023.025265,1788222023.228251,202.986,202.783
1788222023.235754,1788222023.235754,0.000,0.000
1788222023.040696,1788222023.244278,203.582,203.755
1788222023.045218,1788222023.252313,207.094,206.993
1788222023.056725,1788222023.260038,203.313,202.490
1788222023.061725,1788222023.268064,206.340,206.035
1788222023.073698,1788222023.276054,202.356,202.340
1788222023.079705,1788222023.283498,203.793,203.919
1788222023.089331,1788222023.291735,202.403,202.547
1788222023.095545,1788222023.300270,204.725,204.550
1788222023.104691,1788222023.308196,203.504,203.074
1788222023.112715,1788222023.315219,202.503,203.241
1788222023.323755,1788222023.323755,0.000,0.000
1788222023.129368,1788222023.331479,202.111,202.217
1788222023.339134,1788222023.339134,0.000,0.000
1788222023.145703,1788222023.348463,202.759,202.723
1788222023.154209,1788222023.356335,202.126,202.843
1788222023.162720,1788222023.364541,201.821,200.943
1788222023.164725,1788222023.372094,207.370,207.439
1788222023.379635,1788222023.379635,0.000,0.000
1788222023.178962,1788222023.388179,209.217,208.958
1788222023.395780,1788222023.395780,0.000,0.000
1788222023.204128,1788222023.404316,200.188,200.205
1788222023.209517,1788222023.411920,202.403,202.683
1788222023.213518,1788222023.420458,206.940,207.227
