t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000000,1788222021.479315,0.0000,0.0000,0.0000,0.0000,0.0027,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1
0.007723,1788222021.487038,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1
0.016265,1788222021.495580,0.0000,0.0000,0.0000,0.0000,0.0027,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1
0.023765,1788222021.503080,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1
0.031766,1788222021.511081,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1
0.040061,1788222021.519376,0.0000,0.0000,0.0000,0.0000,0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1
0.047429,1788222021.526744,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0028,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0014,0,0,1
0.055956,1788222021.535271,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1
0.063483,1788222021.542798,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1
0.071485,1788222021.550800,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,1
