t_capture,t_command,latency_ms,signal_age_ms
1788222079.687619,1788222079.687619,0.000,0.000
1788222079.695275,1788222079.695275,0.000,0.000
1788222079.703362,1788222079.703362,0.000,0.000
1788222079.711699,1788222079.711699,0.000,0.000
1788222079.719976,1788222079.719976,0.000,0.000
1788222079.727506,1788222079.727506,0.000,0.000
1788222079.735880,1788222079.735880,0.000,0.000
1788222079.743960,1788222079.743960,0.000,0.000
1788222079.752026,1788222079.752026,0.000,0.000
1788222079.760139,1788222079.760139,0.000,0.000
1788222079.767339,1788222079.768340,1.000,0.000
1788222079.775377,1788222079.775377,0.000,0.000
1788222079.783713,1788222079.783713,0.000,0.000
1788222079.792236,1788222079.792236,0.000,0.000
1788222079.800248,1788222079.800248,0.000,0.000
1788222079.808051,1788222079.808051,0.000,0.000
1788222079.815571,1788222079.815571,0.000,0.000
1788222079.823607,1788222079.823607,0.000,0.000
1788222079.831553,1788222079.831553,0.000,0.000
1788222079.839565,1788222079.839565,0.000,0.000
1788222079.848091,1788222079.848091,0.000,0.000
1788222079.855793,1788222079.855793,0.000,0.000
1788222079.864166,1788222079.864166,0.000,0.000
1788222079.872333,1788222079.872333,0.000,0.000
1788222079.879562,1788222079.879562,0.000,0.000
1788222079.888077,1788222079.888077,0.000,0.000
1788222079.895720,1788222079.895720,0.000,0.000
1788222079.903961,1788222079.903961,0.000,0.000
1788222079.911485,1788222079.912481,0.996,0.000
1788222079.919482,1788222079.920489,1.007,0.000
1788222079.927536,1788222079.927536,0.000,0.000
1788222079.936057,1788222079.936057,0.000,0.000
1788222079.943568,1788222079.943568,0.000,0.000
1788222079.951567,1788222079.951567,0.000,0.000
1788222079.960275,1788222079.960275,0.000,0.000
1788222079.967865,1788222079.967865,0.000,0.000
1788222079.975924,1788222079.975924,0.000,0.000
1788222079.984044,1788222079.984044,0.000,0.000
1788222079.992043,1788222079.992563,0.519,0.000
1788222079.999564,1788222080.000559,0.995,0.000
1788222080.008577,1788222080.008577,0.000,0.000
1788222080.016000,1788222080.016000,0.000,0.000
1788222080.024036,1788222080.024036,0.000,0.000
1788222080.032036,1788222080.032036,0.000,0.000
1788222080.040550,1788222080.040550,0.000,0.000
1788222080.048075,1788222080.048075,0.000,0.000
1788222080.055661,1788222080.056669,1.008,0.000
1788222080.064183,1788222080.064183,0.000,0.000
1788222080.072564,1788222080.072564,0.000,0.000
1788222080.080590,1788222080.080590,0.000,0.000
1788222079.686112,1788222080.088065,401.953,401.159
1788222079.687619,1788222080.095593,407.974,407.789
1788222079.701170,1788222080.104324,403.154,403.108
1788222079.704069,1788222080.111851,407.782,407.501
1788222079.716179,1788222080.120369,404.191,403.445
1788222079.722311,1788222080.127897,405.586,405.620
1788222079.731881,1788222080.136170,404.289,403.462
1788222079.737809,1788222080.144178,406.369,405.775
1788222079.747951,1788222080.152563,404.613,403.992
1788222080.160095,1788222080.160095,0.000,0.000
1788222079.763341,1788222080.168264,404.923,405.197
1788222079.770854,1788222080.176880,406.026,405.921
1788222079.779201,1788222080.184236,405.035,404.936
1788222079.787713,1788222080.192280,404.567,403.695
1788222080.199778,1788222080.199778,0.000,0.000
1788222079.804051,1788222080.208305,404.253,403.849
1788222079.811562,1788222080.216841,405.279,405.747
1788222079.811562,1788222080.224833,413.271,413.714
1788222079.830050,1788222080.232347,402.298,402.315
1788222079.837558,1788222080.240551,402.993,403.056
1788222080.248075,1788222080.248075,0.000,0.000
1788222079.855793,1788222080.257086,401.293,400.809
1788222079.861790,1788222080.264602,402.812,401.509
1788222079.871432,1788222080.272849,401.417,400.981
1788222079.879562,1788222080.280892,401.330,401.863
1788222079.888077,1788222080.288399,400.322,400.433
1788222079.895720,1788222080.296404,400.684,400.950
1788222079.902957,1788222080.305063,402.106,401.982
1788222079.903961,1788222080.312565,408.604,408.971
1788222079.918484,1788222080.320727,402.243,402.766
1788222079.923531,1788222080.328238,404.707,404.807
1788222079.934049,1788222080.336755,402.706,402.282
1788222079.939057,1788222080.344770,405.714,406.156
1788222079.949565,1788222080.352789,403.224,403.474
1788222079.953260,1788222080.360331,407.071,406.277
1788222079.964858,1788222080.368523,403.665,403.736
1788222079.970862,1788222080.376515,405.653,405.169
1788222079.980940,1788222080.384566,403.626,403.165
1788222079.989036,1788222080.393081,404.045,404.214
1788222079.995567,1788222080.400605,405.039,405.259
1788222080.004081,1788222080.409189,405.108,404.898
1788222080.012580,1788222080.417189,404.609,404.911
1788222080.021011,1788222080.424340,403.330,403.625
1788222080.029036,1788222080.433159,404.124,403.641
1788222080.038549,1788222080.440597,402.048,401.662
1788222080.045068,1788222080.448597,403.530,403.250
