t_capture,t_command,latency_ms,signal_age_ms
1788209082.208625,1788209082.214984,6.360,5.710
1788209082.216029,1788209082.222028,5.999,6.521
1788209082.224057,1788209082.230178,6.121,6.585
1788209082.233178,1788209082.238178,5.001,5.529
1788209082.241181,1788209082.246568,5.387,5.435
1788209082.249195,1788209082.255118,5.924,5.358
1788209082.258117,1788209082.262828,4.711,4.437
1788209082.266649,1788209082.270566,3.917,3.823
1788209082.274647,1788209082.278652,4.005,3.915
1788209082.283267,1788209082.287259,3.991,3.246
1788209082.290348,1788209082.294259,3.911,4.196
1788209082.299382,1788209082.303376,3.993,3.125
1788209082.307438,1788209082.311377,3.939,3.260
1788209082.315798,1788209082.318708,2.911,2.947
1788209082.324790,1788209082.326707,1.918,1.857
1788209082.333615,1788209082.334614,0.999,1.176
1788209082.340700,1788209082.342651,1.951,2.195
1788209082.349818,1788209082.350816,0.999,1.039
1788209082.357818,1788209082.358816,0.998,1.007
1788209082.365997,1788209082.365997,0.000,0.812
1788209082.374770,1788209082.374770,0.000,0.139
1788209082.374770,1788209082.382381,7.611,8.149
1788209082.383389,1788209082.391426,8.037,7.537
1788209082.391426,1788209082.398110,6.685,7.444
1788209082.399963,1788209082.406976,7.013,7.007
1788209082.408569,1788209082.415377,6.808,6.393
1788209082.417054,1788209082.423071,6.017,5.933
1788209082.424150,1788209082.431068,6.918,6.780
1788209082.432582,1788209082.439313,6.732,6.243
1788209082.441322,1788209082.447316,5.994,5.568
1788209082.449363,1788209082.454691,5.328,5.702
1788209082.457611,1788209082.462657,5.047,5.468
1788209082.465680,1788209082.470902,5.222,5.304
1788209082.475412,1788209082.479414,4.002,3.677
1788209082.482414,1788209082.486512,4.098,4.685
1788209082.491422,1788209082.495424,4.002,3.724
1788209082.500461,1788209082.502922,2.461,2.627
1788209082.507940,1788209082.511455,3.515,3.348
1788209082.516545,1788209082.519077,2.532,2.709
1788209082.524876,1788209082.527793,2.917,2.407
1788209082.533875,1788209082.534789,0.914,1.196
1788209082.540910,1788209082.543112,2.203,2.574
1788209082.549133,1788209082.551113,1.980,2.316
1788209082.557805,1788209082.559715,1.910,1.604
1788209082.566713,1788209082.567712,0.999,0.558
1788209082.574408,1788209082.575413,1.005,1.104
1788209082.582425,1788209082.583478,1.053,0.881
1788209082.582425,1788209082.591423,8.998,8.904
1788209082.591423,1788209082.599927,8.504,7.460
1788209082.599927,1788209082.608105,8.179,7.586
1788209082.608105,1788209082.615792,7.687,7.201
1788209082.616295,1788209082.623301,7.005,7.243
1788209082.624298,1788209082.631424,7.126,7.298
1788209082.632424,1788209082.639426,7.002,7.159
1788209082.640511,1788209082.647880,7.369,7.028
1788209082.649984,1788209082.655880,5.896,5.700
1788209082.658924,1788209082.663952,5.028,4.677
