t_s,t_capture,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3
0.000955,1788209082.208625,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0
0.007999,1788209082.216029,-0.7393,-0.0329,-0.0329,-0.0329,-0.0014,0,0,0
0.016149,1788209082.224057,-0.5185,-0.0562,-0.0562,-0.0562,-0.0007,0,0,0
0.024149,1788209082.233178,-1.1705,-0.1167,-0.1167,-0.1167,-0.0014,0,0,0
0.032538,1788209082.241181,-1.5008,-0.1831,-0.1831,-0.1831,-0.0014,0,0,0
0.041089,1788209082.249195,-2.1495,-0.2778,-0.2778,-0.2778,-0.0020,0,0,0
0.048799,1788209082.258117,-2.8692,-0.4160,-0.4160,-0.3978,-0.0007,1,0,0
0.056537,1788209082.266649,-2.6699,-0.5315,-0.5315,-0.5178,0.0000,1,0,0
0.064623,1788209082.274647,-3.4045,-0.6701,-0.6701,-0.6378,0.0000,1,0,0
0.073229,1788209082.283267,-3.7238,-0.8285,-0.8285,-0.7578,-0.0043,1,0,0
0.080230,1788209082.290348,-3.9382,-0.9626,-0.9626,-0.8778,-0.0100,1,0,0
0.089346,1788209082.299382,-4.5832,-1.1597,-1.1597,-0.9978,-0.0176,1,0,0
0.097347,1788209082.307438,-4.2821,-1.3124,-1.3124,-1.1178,-0.0317,1,0,0
0.104679,1788209082.315798,-5.4875,-1.5243,-1.5243,-1.2378,-0.0521,1,0,0
0.112678,1788209082.324790,-5.6967,-1.7517,-1.7517,-1.3578,-0.0800,1,0,0
0.120584,1788209082.333615,-5.9328,-1.9759,-1.9759,-1.4778,-0.1190,1,0,0
0.128622,1788209082.340700,-6.3586,-2.1671,-2.1671,-1.5978,-0.1697,1,0,0
0.136787,1788209082.349818,-6.9363,-2.4320,-2.4320,-1.7178,-0.2316,1,0,0
0.144787,1788209082.357818,-7.2922,-2.6710,-2.6710,-1.8378,-0.3062,1,0,0
0.151968,1788209082.365997,-7.5322,-2.9156,-2.9156,-1.9578,-0.3062,1,0,0
