t_capture,t_command,latency_ms,signal_age_ms
1788211492.150792,1788211492.151862,1.070,0.660
1788211492.151862,1788211492.158886,7.024,7.339
1788211492.166112,1788211492.168106,1.994,1.390
1788211492.169106,1788211492.175376,6.269,5.750
1788211492.180397,1788211492.183443,3.045,2.770
1788211492.184447,1788211492.191452,7.004,6.595
1788211492.195968,1788211492.199973,4.006,3.075
1788211492.201973,1788211492.207492,5.519,4.979
1788211492.212705,1788211492.215717,3.011,2.755
1788211492.217703,1788211492.223709,6.006,5.899
1788211492.228195,1788211492.232234,4.039,2.783
1788211492.237450,1788211492.239805,2.355,2.463
1788211492.242827,1788211492.248217,5.390,5.077
1788211492.250953,1788211492.255958,5.005,4.838
1788211492.259503,1788211492.263508,4.004,3.877
1788211492.267509,1788211492.271508,3.999,3.599
1788211492.275504,1788211492.279503,3.999,4.074
1788211492.286522,1788211492.287686,1.164,0.830
1788211492.292866,1788211492.296398,3.533,3.361
1788211492.303412,1788211492.304423,1.011,0.697
1788211492.308934,1788211492.311936,3.002,2.382
1788211492.318462,1788211492.320466,2.004,0.925
1788211492.327469,1788211492.328469,1.000,0.693
1788211492.335461,1788211492.336468,1.007,0.440
1788211492.343468,1788211492.344467,0.999,0.587
1788211492.351469,1788211492.352469,1.001,0.042
1788211492.359478,1788211492.360478,1.000,0.640
1788211492.365481,1788211492.368022,2.541,2.408
1788211492.370018,1788211492.376147,6.128,6.327
1788211492.380142,1788211492.384029,3.887,3.663
1788211492.385030,1788211492.392044,7.014,7.103
1788211492.396580,1788211492.400577,3.997,3.316
1788211492.401578,1788211492.408580,7.002,6.040
1788211492.410717,1788211492.416584,5.866,5.138
1788211492.418585,1788211492.424583,5.998,5.215
1788211492.426579,1788211492.432585,6.006,5.004
1788211492.434657,1788211492.440652,5.995,5.273
1788211492.444143,1788211492.448142,3.999,4.035
1788211492.452139,1788211492.456149,4.010,4.247
1788211492.459730,1788211492.464787,5.057,4.344
1788211492.468687,1788211492.472686,3.999,3.434
1788211492.476683,1788211492.480692,4.008,4.029
1788211492.487691,1788211492.488693,1.002,0.260
1788211492.493690,1788211492.496229,2.539,2.701
1788211492.502336,1788211492.504333,1.997,1.697
1788211492.510314,1788211492.512318,2.004,2.043
1788211492.518700,1788211492.520719,2.018,1.391
1788211492.527054,1788211492.529052,1.998,1.405
1788211492.536512,1788211492.536512,0.000,0.051
1788211492.542520,1788211492.544521,2.001,1.540
1788211492.551535,1788211492.552602,1.067,0.875
1788211492.559539,1788211492.560539,1.000,0.867
1788211492.563057,1788211492.568914,5.857,5.158
1788211492.575822,1788211492.576823,1.002,0.276
1788211492.579386,1788211492.584929,5.544,5.457
1788211492.584929,1788211492.592731,7.802,7.869
1788211492.594083,1788211492.601206,7.123,6.909
1788211492.602484,1788211492.608459,5.975,6.057
1788211492.610479,1788211492.616908,6.429,6.194
1788211492.618948,1788211492.624958,6.010,5.728
1788211492.625906,1788211492.632659,6.753,6.633
1788211492.634538,1788211492.640529,5.991,5.960
1788211492.643550,1788211492.648548,4.998,4.750
1788211492.655542,1788211492.657145,1.603,0.854
1788211492.658258,1788211492.664813,6.555,5.815
1788211492.671530,1788211492.672551,1.020,1.298
