t_s,t_capture,in_J1_deg,filt_J1_deg,target_J1_deg,cmd_J1_deg,act_J1_deg,ratelim_J1,rangeclamp_J1,halted_J1,in_J2_deg,filt_J2_deg,target_J2_deg,cmd_J2_deg,act_J2_deg,ratelim_J2,rangeclamp_J2,halted_J2,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3,in_J4_deg,filt_J4_deg,target_J4_deg,cmd_J4_deg,act_J4_deg,ratelim_J4,rangeclamp_J4,halted_J4,in_J5_deg,filt_J5_deg,target_J5_deg,cmd_J5_deg,act_J5_deg,ratelim_J5,rangeclamp_J5,halted_J5,in_J6_deg,filt_J6_deg,target_J6_deg,cmd_J6_deg,act_J6_deg,ratelim_J6,rangeclamp_J6,halted_J6
0.000000,1788211492.150792,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0034,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0
0.007024,1788211492.151862,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0027,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0028,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0
0.016243,1788211492.166112,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0014,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0020,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0007,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0021,0,0,0
0.023513,1788211492.169106,0.0773,0.0076,0.0076,0.0076,0.0000,0,0,0,0.0799,0.0078,0.0078,0.0078,-0.0014,0,0,0,0.0328,0.0032,0.0032,0.0032,-0.0007,0,0,0,-0.0486,-0.0047,-0.0047,-0.0047,-0.0014,0,0,0,0.0357,0.0035,0.0035,0.0035,-0.0007,0,0,0,0.0285,0.0028,0.0028,0.0028,-0.0014,0,0,0
0.031580,1788211492.180397,0.0000,0.0000,0.0076,0.0076,0.0014,0,0,0,0.0000,0.0000,0.0078,0.0078,-0.0014,0,0,0,0.0000,0.0000,0.0032,0.0032,-0.0007,0,0,0,0.0000,0.0000,-0.0047,-0.0047,-0.0007,0,0,0,0.0000,0.0000,0.0035,0.0035,0.0007,0,0,0,0.0000,0.0000,0.0028,0.0028,-0.0027,0,0,0
0.039589,1788211492.184447,0.1465,0.0198,0.0198,0.0198,0.0000,0,0,0,0.1374,0.0192,0.0192,0.0192,0.0007,0,0,0,0.1338,0.0147,0.0147,0.0147,-0.0014,0,0,0,-0.0389,-0.0077,-0.0077,-0.0077,0.0007,0,0,0,0.0357,0.0063,0.0063,0.0063,-0.0014,0,0,0,0.0543,0.0073,0.0073,0.0073,-0.0014,0,0,0
0.048111,1788211492.195968,0.0000,0.0000,0.0198,0.0198,0.0000,0,0,0,0.0000,0.0000,0.0192,0.0192,-0.0014,0,0,0,0.0000,0.0000,0.0147,0.0147,-0.0014,0,0,0,0.0000,0.0000,-0.0077,-0.0077,-0.0007,0,0,0,0.0000,0.0000,0.0063,0.0063,-0.0007,0,0,0,0.0000,0.0000,0.0073,0.0073,-0.0021,0,0,0
0.055630,1788211492.201973,0.2109,0.0387,0.0387,0.0387,0.0000,0,0,0,0.2875,0.0458,0.0458,0.0458,0.0014,0,0,0,0.0300,0.0162,0.0162,0.0162,-0.0020,0,0,0,-0.0118,-0.0082,-0.0082,-0.0082,-0.0028,0,0,0,0.0484,0.0105,0.0105,0.0105,-0.0014,0,0,0,0.0132,0.0079,0.0079,0.0079,-0.0021,0,0,0
0.063854,1788211492.212705,0.0000,0.0000,0.0387,0.0387,0.0007,0,0,0,0.0000,0.0000,0.0458,0.0458,0.0000,0,0,0,0.0000,0.0000,0.0162,0.0162,-0.0014,0,0,0,0.0000,0.0000,-0.0082,-0.0082,-0.0021,0,0,0,0.0000,0.0000,0.0105,0.0105,-0.0007,0,0,0,0.0000,0.0000,0.0079,0.0079,-0.0021,0,0,0
0.071846,1788211492.217703,0.2820,0.0606,0.0606,0.0606,0.0007,0,0,0,0.3959,0.0773,0.0773,0.0773,-0.0020,0,0,0,-0.1603,0.0003,0.0003,0.0003,0.0000,0,0,0,-0.0486,-0.0118,-0.0118,-0.0118,0.0007,0,0,0,0.0484,0.0139,0.0139,0.0139,0.0000,0,0,0,-0.0314,0.0044,0.0044,0.0044,-0.0014,0,0,0
0.080372,1788211492.228195,0.3176,0.0765,0.0765,0.0765,0.0007,0,0,0,0.4619,0.1011,0.1011,0.1011,0.0042,0,0,0,-0.2694,-0.0164,-0.0164,-0.0164,-0.0027,0,0,0,-0.0711,-0.0155,-0.0155,-0.0155,-0.0007,0,0,0,-0.0116,0.0123,0.0123,0.0123,-0.0014,0,0,0,-0.0321,0.0021,0.0021,0.0021,-0.0027,0,0,0
0.087943,1788211492.237450,0.3717,0.0928,0.0928,0.0928,0.0007,0,0,0,0.4773,0.1218,0.1218,0.1218,0.0008,0,0,0,-0.3870,-0.0367,-0.0367,-0.0367,-0.0014,0,0,0,-0.0711,-0.0185,-0.0185,-0.0185,-0.0014,0,0,0,-0.0116,0.0110,0.0110,0.0110,-0.0007,0,0,0,-0.0389,-0.0001,-0.0001,-0.0001,-0.0041,0,0,0
0.096355,1788211492.242827,0.3948,0.1026,0.1026,0.1026,0.0035,0,0,0,0.4824,0.1336,0.1336,0.1336,0.0033,0,0,0,-0.4904,-0.0516,-0.0516,-0.0516,-0.0014,0,0,0,-0.0854,-0.0207,-0.0207,-0.0207,-0.0014,0,0,0,-0.0090,0.0104,0.0104,0.0104,0.0007,0,0,0,-0.0661,-0.0023,-0.0023,-0.0023,-0.0014,0,0,0
0.104096,1788211492.250953,0.4532,0.1197,0.1197,0.1197,0.0028,0,0,0,0.4824,0.1506,0.1506,0.1506,0.0105,0,0,0,-0.5586,-0.0762,-0.0762,-0.0762,-0.0041,0,0,0,-0.0956,-0.0243,-0.0243,-0.0243,-0.0034,0,0,0,-0.0090,0.0094,0.0094,0.0094,-0.0014,0,0,0,-0.0737,-0.0058,-0.0058,-0.0058,0.0000,0,0,0
0.111645,1788211492.259503,0.4740,0.1378,0.1378,0.1378,0.0029,0,0,0,0.4971,0.1683,0.1683,0.1683,0.0148,0,0,0,-0.6369,-0.1048,-0.1048,-0.1048,-0.0020,0,0,0,-0.0988,-0.0281,-0.0281,-0.0281,-0.0021,0,0,0,-0.0222,0.0078,0.0078,0.0078,-0.0014,0,0,0,-0.1101,-0.0111,-0.0111,-0.0111,-0.0021,0,0,0
0.119645,1788211492.267509,0.5052,0.1554,0.1554,0.1554,0.0044,0,0,0,0.5247,0.1854,0.1854,0.1854,0.0281,0,0,0,-0.6385,-0.1304,-0.1304,-0.1304,-0.0007,0,0,0,-0.0988,-0.0315,-0.0315,-0.0315,-0.0014,0,0,0,-0.0222,0.0064,0.0064,0.0064,0.0000,0,0,0,-0.1101,-0.0158,-0.0158,-0.0158,-0.0014,0,0,0
0.127640,1788211492.275504,0.5242,0.1731,0.1731,0.1731,0.0120,0,0,0,0.5549,0.2031,0.2031,0.2031,0.0356,0,0,0,-0.6385,-0.1548,-0.1548,-0.1548,-0.0007,0,0,0,-0.0872,-0.0342,-0.0342,-0.0342,-0.0028,0,0,0,-0.0419,0.0041,0.0041,0.0041,-0.0007,0,0,0,-0.0876,-0.0193,-0.0193,-0.0193,-0.0014,0,0,0
0.135824,1788211492.286522,0.0000,0.0000,0.1731,0.1731,0.0148,0,0,0,0.0000,0.0000,0.2031,0.2031,0.0480,0,0,0,0.0000,0.0000,-0.1548,-0.1548,-0.0008,0,0,0,0.0000,0.0000,-0.0342,-0.0342,-0.0014,0,0,0,0.0000,0.0000,0.0041,0.0041,-0.0014,0,0,0,0.0000,0.0000,-0.0193,-0.0193,-0.0014,0,0,0
0.144536,1788211492.292866,0.5698,0.2122,0.2122,0.2122,0.0259,0,0,0,0.6942,0.2515,0.2515,0.2515,0.0590,0,0,0,-0.7055,-0.2091,-0.2091,-0.2091,-0.0029,0,0,0,-0.0368,-0.0344,-0.0344,-0.0344,-0.0023,0,0,0,-0.0419,-0.0005,-0.0005,-0.0005,0.0000,0,0,0,-0.0365,-0.0210,-0.0210,-0.0210,0.0000,0,0,0
0.152561,1788211492.303412,0.0000,0.0000,0.2122,0.2122,0.0411,0,0,0,0.0000,0.0000,0.2515,0.2515,0.0713,0,0,0,0.0000,0.0000,-0.2091,-0.2091,-0.0085,0,0,0,0.0000,0.0000,-0.0344,-0.0344,-0.0084,0,0,0,0.0000,0.0000,-0.0005,-0.0005,-0.0007,0,0,0,0.0000,0.0000,-0.0210,-0.0210,-0.0034,0,0,0
0.160074,1788211492.308934,0.6686,0.2541,0.2541,0.2541,0.0514,0,0,0,0.8736,0.3087,0.3087,0.3087,0.0837,0,0,0,-0.7606,-0.2598,-0.2598,-0.2598,-0.0162,0,0,0,-0.0805,-0.0387,-0.0387,-0.0387,-0.0104,0,0,0,-0.0420,-0.0043,-0.0043,-0.0043,0.0007,0,0,0,0.0261,-0.0166,-0.0166,-0.0166,-0.0007,0,0,0
0.168603,1788211492.318462,0.0000,0.0000,0.2541,0.2541,0.0611,0,0,0,0.0000,0.0000,0.3087,0.3087,0.0954,0,0,0,0.0000,0.0000,-0.2598,-0.2598,-0.0245,0,0,0,0.0000,0.0000,-0.0387,-0.0387,-0.0097,0,0,0,0.0000,0.0000,-0.0043,-0.0043,0.0014,0,0,0,0.0000,0.0000,-0.0166,-0.0166,-0.0014,0,0,0
0.176607,1788211492.327469,0.0000,0.0000,0.2541,0.2541,0.0735,0,0,0,0.0000,0.0000,0.3087,0.3087,0.1072,0,0,0,0.0000,0.0000,-0.2598,-0.2598,-0.0377,0,0,0,0.0000,0.0000,-0.0387,-0.0387,-0.0139,0,0,0,0.0000,0.0000,-0.0043,-0.0043,0.0014,0,0,0,0.0000,0.0000,-0.0166,-0.0166,-0.0007,0,0,0
0.184606,1788211492.335461,0.7542,0.3257,0.3257,0.3257,0.0831,0,0,0,1.1710,0.4321,0.4321,0.4321,0.1147,0,0,0,-0.8579,-0.3454,-0.3454,-0.3454,-0.0528,0,0,0,-0.0639,-0.0423,-0.0423,-0.0423,-0.0139,0,0,0,-0.1056,-0.0187,-0.0187,-0.0187,0.0014,0,0,0,0.0653,-0.0049,-0.0049,-0.0049,-0.0021,0,0,0
0.192605,1788211492.343468,0.7800,0.3475,0.3475,0.3475,0.0934,0,0,0,1.2723,0.4725,0.4725,0.4725,0.1257,0,0,0,-0.8836,-0.3712,-0.3712,-0.3712,-0.0680,0,0,0,-0.0512,-0.0427,-0.0427,-0.0427,-0.0160,0,0,0,-0.1099,-0.0231,-0.0231,-0.0231,0.0007,0,0,0,0.0853,-0.0006,-0.0006,-0.0006,-0.0014,0,0,0
0.200607,1788211492.351469,0.8032,0.3693,0.3693,0.3693,0.1072,0,0,0,1.3788,0.5160,0.5160,0.5160,0.1403,0,0,0,-0.9246,-0.3978,-0.3978,-0.3978,-0.0831,0,0,0,-0.0512,-0.0431,-0.0431,-0.0431,-0.0194,0,0,0,-0.1368,-0.0285,-0.0285,-0.0285,0.0014,0,0,0,0.0900,0.0037,0.0037,0.0037,-0.0007,0,0,0
0.208615,1788211492.359478,0.0000,0.0000,0.3693,0.3693,0.1176,0,0,0,0.0000,0.0000,0.5160,0.5160,0.1527,0,0,0,0.0000,0.0000,-0.3978,-0.3978,-0.0983,0,0,0,0.0000,0.0000,-0.0431,-0.0431,-0.0215,0,0,0,0.0000,0.0000,-0.0285,-0.0285,0.0034,0,0,0,0.0000,0.0000,0.0037,0.0037,-0.0027,0,0,0
0.216160,1788211492.365481,0.0000,0.0000,0.3693,0.3693,0.1321,0,0,0,0.0000,0.0000,0.5160,0.5160,0.1714,0,0,0,0.0000,0.0000,-0.3978,-0.3978,-0.1155,0,0,0,0.0000,0.0000,-0.0431,-0.0431,-0.0249,0,0,0,0.0000,0.0000,-0.0285,-0.0285,0.0014,0,0,0,0.0000,0.0000,0.0037,0.0037,-0.0041,0,0,0
0.224284,1788211492.370018,0.8962,0.4245,0.4245,0.4245,0.1438,0,0,0,1.5318,0.6224,0.6224,0.6224,0.1921,0,0,0,-1.0980,-0.4711,-0.4711,-0.4711,-0.1354,0,0,0,-0.1113,-0.0502,-0.0502,-0.0502,-0.0263,0,0,0,-0.1039,-0.0364,-0.0364,-0.0364,0.0014,0,0,0,0.1451,0.0185,0.0185,0.0185,-0.0021,0,0,0
0.232167,1788211492.380142,0.0000,0.0000,0.4245,0.4245,0.1631,0,0,0,0.0000,0.0000,0.6224,0.6224,0.2108,0,0,0,0.0000,0.0000,-0.4711,-0.4711,-0.1526,0,0,0,0.0000,0.0000,-0.0502,-0.0502,-0.0276,0,0,0,0.0000,0.0000,-0.0364,-0.0364,0.0020,0,0,0,0.0000,0.0000,0.0185,0.0185,-0.0027,0,0,0
