t_capture,t_command,latency_ms,signal_age_ms
1788210574.856171,1788210574.858168,1.997,0.933
1788210574.864683,1788210574.865683,1.000,0.954
1788210574.872706,1788210574.873689,0.983,0.411
1788210574.881119,1788210574.882120,1.000,0.269
1788210574.889120,1788210574.890119,0.999,0.224
1788210574.889120,1788210574.898119,8.999,8.244
1788210574.901125,1788210574.906119,4.994,4.214
1788210574.906119,1788210574.914134,8.015,7.011
1788210574.916219,1788210574.922135,5.917,5.112
1788210574.923140,1788210574.929756,6.616,6.319
1788210574.931762,1788210574.937755,5.993,5.933
1788210574.939759,1788210574.945756,5.997,5.482
1788210574.948387,1788210574.954392,6.005,5.289
1788210574.956394,1788210574.961815,5.421,5.103
1788210574.964761,1788210574.969756,4.995,4.811
1788210574.972767,1788210574.978273,5.507,4.437
1788210574.981275,1788210574.986272,4.997,4.027
1788210574.989277,1788210574.994280,5.003,4.014
1788210574.998285,1788210575.002362,4.077,2.940
1788210575.007285,1788210575.009860,2.575,2.729
1788210575.014868,1788210575.017872,3.003,2.437
1788210575.023873,1788210575.026481,2.608,1.851
1788210575.031476,1788210575.034476,2.999,1.690
1788210575.041476,1788210575.042475,1.000,0.319
1788210575.048477,1788210575.050477,2.000,1.389
1788210575.057480,1788210575.058480,0.999,0.108
1788210575.064495,1788210575.066573,2.078,0.859
1788210575.073489,1788210575.074486,0.997,0.346
1788210575.081099,1788210575.082102,1.003,0.520
1788210575.089101,1788210575.090101,1.000,0.300
1788210575.097098,1788210575.098099,1.001,0.385
1788210575.103098,1788210575.106098,2.999,2.754
1788210575.107103,1788210575.114130,7.027,6.883
1788210575.119116,1788210575.122116,3.000,2.655
1788210575.123117,1788210575.131164,8.047,6.722
1788210575.136163,1788210575.139163,3.000,2.122
1788210575.140240,1788210575.147166,6.927,5.533
1788210575.149166,1788210575.155169,6.003,4.897
1788210575.157166,1788210575.162748,5.583,5.033
1788210575.164754,1788210575.170833,6.079,4.855
1788210575.173753,1788210575.178748,4.995,4.775
1788210575.181756,1788210575.186751,4.995,4.153
