t_s,t_capture,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3
0.000992,1788210574.856171,0.0000,0.0000,0.0000,0.0000,0.0006,0,0,0
0.008507,1788210574.864683,-0.0012,-0.0001,-0.0001,-0.0001,0.0000,0,0,0
0.016513,1788210574.872706,-0.0025,-0.0002,-0.0002,-0.0002,0.0027,0,0,0
0.024944,1788210574.881119,0.0080,0.0002,0.0002,0.0002,0.0014,0,0,0
0.032943,1788210574.889120,0.0057,0.0005,0.0005,0.0005,0.0006,0,0,0
0.040943,1788210574.889120,0.0057,0.0007,0.0007,0.0007,0.0014,0,0,0
0.048943,1788210574.901125,11.9172,0.8431,0.8431,0.7207,0.0006,1,0,0
0.056958,1788210574.906119,0.0029,0.8174,0.8174,0.8174,0.0014,0,0,0
0.064959,1788210574.916219,11.9819,1.4931,1.4931,1.4931,0.0014,0,0,0
0.072580,1788210574.923140,-0.0296,1.4288,1.4288,1.4288,0.0043,0,0,0
0.080579,1788210574.931762,0.0036,1.3548,1.3548,1.3548,0.0080,0,0,0
0.088580,1788210574.939759,-0.0064,1.2890,1.2890,1.2890,0.0179,0,0,0
0.097216,1788210574.948387,10.5680,1.7736,1.7736,1.7736,0.0404,0,0,0
0.104639,1788210574.956394,-0.0323,1.6859,1.6859,1.6859,0.0684,0,0,0
0.112580,1788210574.964761,-0.0146,1.6000,1.6000,1.6000,0.1104,0,0,0
0.121097,1788210574.972767,-0.0006,1.5225,1.5225,1.5225,0.1662,0,0,0
0.129096,1788210574.981275,-0.0151,1.4438,1.4438,1.4438,0.2360,0,0,0
0.137104,1788210574.989277,-0.0195,1.3733,1.3733,1.3733,0.3132,0,0,0
0.145186,1788210574.998285,-0.0059,1.2990,1.2990,1.2990,0.4022,0,0,0
0.152684,1788210575.007285,0.0041,1.2294,1.2294,1.2294,0.4886,0,0,0
0.160696,1788210575.014868,0.0041,1.1734,1.1734,1.1734,0.5730,0,0,0
0.169305,1788210575.023873,-0.0169,1.1095,1.1095,1.1095,0.6749,0,0,0
0.177299,1788210575.031476,-0.0302,1.0575,1.0575,1.0575,0.7294,0,0,0
0.185299,1788210575.041476,6.1793,1.3618,1.3618,1.3618,0.7887,0,0,0
0.193301,1788210575.048477,-0.0704,1.3012,1.3012,1.3012,0.8378,0,0,0
0.201304,1788210575.057480,4.7383,1.4863,1.4863,1.4863,0.8787,0,0,0
0.209397,1788210575.064495,-0.0535,1.4210,1.4210,1.4210,0.9205,0,0,0
0.217310,1788210575.073489,-0.0578,1.3416,1.3416,1.3416,0.9576,0,0,0
0.224926,1788210575.081099,-0.0433,1.2783,1.2783,1.2783,0.9988,0,0,0
0.232925,1788210575.089101,-0.0561,1.2143,1.2143,1.2143,1.0413,0,0,0
0.240923,1788210575.097098,-0.0787,1.1524,1.1524,1.1524,1.0816,0,0,0
0.248922,1788210575.103098,3.1266,1.2243,1.2243,1.2243,1.1185,0,0,0
0.256954,1788210575.107103,-0.1088,1.1915,1.1915,1.1915,1.1545,0,0,0
0.265941,1788210575.119116,2.1637,1.2599,1.2599,1.2599,1.1734,0,0,0
0.273988,1788210575.123117,-0.0778,1.2270,1.2270,1.2270,1.1863,0,0,0
0.281987,1788210575.136163,1.3040,1.2329,1.2329,1.2329,1.1944,0,0,0
0.289990,1788210575.140240,-0.0542,1.2007,1.2007,1.2007,1.2004,0,0,0
0.297993,1788210575.149166,0.1024,1.1423,1.1423,1.1423,1.2094,0,0,0
0.305572,1788210575.157166,-0.0486,1.0852,1.0852,1.0852,1.2169,0,0,0
0.313657,1788210575.164754,-0.0589,1.0330,1.0330,1.0330,1.2237,0,0,0
0.321572,1788210575.173753,-0.0729,0.9736,0.9736,0.9736,1.2269,0,0,0
0.329575,1788210575.181756,-0.0503,0.9244,0.9244,0.9244,1.2302,0,0,0
0.337575,1788210575.194751,-1.6115,0.7320,0.7320,0.7320,1.2245,0,0,0
0.345571,1788210575.198750,-0.0739,0.7121,0.7121,0.7121,1.2169,0,0,0
0.353570,1788210575.209748,-3.0135,0.4694,0.4694,0.4694,1.2021,0,0,0
0.361582,1788210575.214759,-0.0890,0.4522,0.4522,0.4522,1.1855,0,0,0
0.370087,1788210575.226257,-3.8806,0.1573,0.1573,0.1573,1.1652,0,0,0
0.378303,1788210575.232269,-0.1311,0.1467,0.1467,0.1467,1.1375,0,0,0
0.385309,1788210575.240586,-4.3815,-0.0811,-0.0811,-0.0811,1.1021,0,0,0
0.393773,1788210575.247884,-0.0866,-0.0814,-0.0814,-0.0814,1.0552,0,0,0
0.402032,1788210575.256902,-0.0935,-0.0820,-0.0820,-0.0820,1.0011,0,0,0
0.409680,1788210575.265068,-0.1011,-0.0830,-0.0830,-0.0830,0.9349,0,0,0
0.417666,1788210575.273113,-0.0785,-0.0828,-0.0828,-0.0828,0.8668,0,0,0
0.425331,1788210575.281439,-0.0630,-0.0818,-0.0818,-0.0818,0.7946,0,0,0
0.433240,1788210575.289417,-0.0516,-0.0803,-0.0803,-0.0803,0.7212,0,0,0
0.441355,1788210575.297520,-0.0702,-0.0798,-0.0798,-0.0798,0.6561,0,0,0
0.450355,1788210575.306530,-0.0868,-0.0802,-0.0802,-0.0802,0.5889,0,0,0
0.457660,1788210575.306530,-0.0868,-0.0805,-0.0805,-0.0805,0.5294,0,0,0
0.465657,1788210575.316919,-9.0637,-0.6385,-0.6385,-0.6385,0.4739,0,0,0
0.473891,1788210575.323836,-0.0882,-0.6153,-0.6153,-0.6153,0.4164,0,0,0
0.481685,1788210575.332760,-9.9138,-1.1181,-1.1181,-1.1181,0.3632,0,0,0
0.489683,1788210575.341778,-0.1163,-1.0635,-1.0635,-1.0635,0.3034,0,0,0
0.497689,1788210575.348777,-0.1204,-1.0231,-1.0231,-1.0231,0.2378,0,0,0
0.506691,1788210575.356871,-0.1596,-0.9808,-0.9808,-0.9808,0.1633,0,0,0
0.514361,1788210575.364869,-0.1664,-0.9413,-0.9413,-0.9413,0.0822,0,0,0
0.522328,1788210575.373626,-0.1692,-0.9005,-0.9005,-0.9005,-0.0023,0,0,0
0.530328,1788210575.381508,-0.1745,-0.8659,-0.8659,-0.8659,-0.0860,0,0,0
0.538816,1788210575.389993,-0.1651,-0.8301,-0.8301,-0.8301,-0.1662,0,0,0
0.545816,1788210575.398992,-0.1861,-0.7953,-0.7953,-0.7953,-0.2429,0,0,0
0.553859,1788210575.409991,-13.8323,-1.6522,-1.6522,-1.5153,-0.3105,1,0,0
0.561869,1788210575.415050,-0.1853,-1.6063,-1.6063,-1.6063,-0.3692,0,0,0
0.570464,1788210575.424046,-14.8275,-2.3303,-2.3303,-2.3263,-0.4231,1,0,0
0.578467,1788210575.431643,-0.1639,-2.2295,-2.2295,-2.2295,-0.4906,0,0,0
0.586465,1788210575.439647,-0.1575,-2.1284,-2.1284,-2.1284,-0.5607,0,0,0
0.594551,1788210575.448651,-0.1535,-2.0210,-2.0210,-2.0210,-0.6533,0,0,0
0.602464,1788210575.456643,-0.1329,-1.9294,-1.9294,-1.9294,-0.7511,0,0,0
0.610474,1788210575.464645,-0.1437,-1.8429,-1.8429,-1.8429,-0.8585,0,0,0
0.618473,1788210575.472744,-0.1295,-1.7590,-1.7590,-1.7590,-0.9670,0,0,0
0.626164,1788210575.481400,-0.1241,-1.6739,-1.6739,-1.6739,-1.0672,0,0,0
0.634161,1788210575.490339,-0.1375,-1.5916,-1.5916,-1.5916,-1.1560,0,0,0
0.642246,1788210575.498340,-0.1308,-1.5213,-1.5213,-1.5213,-1.2284,0,0,0
0.650179,1788210575.506429,-0.1245,-1.4534,-1.4534,-1.4534,-1.2877,0,0,0
0.658171,1788210575.514422,-0.1209,-1.3895,-1.3895,-1.3895,-1.3380,0,0,0
0.666171,1788210575.523347,-0.1262,-1.3222,-1.3222,-1.3222,-1.3824,0,0,0
0.674704,1788210575.530879,-0.1644,-1.2698,-1.2698,-1.2698,-1.4186,0,0,0
0.682705,1788210575.532887,-20.8543,-1.5178,-1.5178,-1.5178,-1.4485,0,0,0
0.690708,1788210575.539881,-0.1641,-1.4600,-1.4600,-1.4600,-1.4729,0,0,0
0.698771,1788210575.548883,-21.3557,-2.5537,-2.5537,-2.1800,-1.4907,1,0,0
