t_capture,t_command,latency_ms,signal_age_ms
1788210118.407403,1788210118.412662,5.259,4.971
1788210118.416940,1788210118.421046,4.106,3.931
1788210118.424050,1788210118.429062,5.012,4.826
1788210118.433039,1788210118.437728,4.689,4.280
1788210118.441725,1788210118.447319,5.594,5.238
1788210118.448951,1788210118.456040,7.088,6.844
1788210118.457961,1788210118.465057,7.096,6.606
1788210118.466197,1788210118.473075,6.878,6.410
1788210118.474201,1788210118.481593,7.392,6.776
1788210118.482590,1788210118.489599,7.009,6.627
1788210118.490598,1788210118.498218,7.620,7.352
1788210118.500217,1788210118.507226,7.009,6.655
1788210118.507226,1788210118.515587,8.361,7.998
1788210118.516595,1788210118.524188,7.593,7.268
1788210118.524188,1788210118.532285,8.097,7.595
1788210118.532285,1788210118.541009,8.724,8.225
1788210118.541009,1788210118.550002,8.993,8.425
1788210118.557765,1788210118.558780,1.015,0.665
1788210118.565780,1788210118.567867,2.087,1.610
1788210118.573883,1788210118.575974,2.091,1.605
1788210118.582264,1788210118.584180,1.915,1.389
1788210118.590812,1788210118.593355,2.542,1.660
1788210118.598827,1788210118.601827,3.000,2.508
1788210118.606834,1788210118.611386,4.552,4.004
1788210118.616796,1788210118.619807,3.011,2.789
1788210118.624460,1788210118.628573,4.113,3.848
1788210118.632483,1788210118.637231,4.747,4.369
1788210118.641384,1788210118.645386,4.002,3.501
1788210118.649289,1788210118.654380,5.091,4.674
1788210118.657626,1788210118.662648,5.022,4.543
1788210118.665646,1788210118.670648,5.002,4.619
1788210118.673651,1788210118.678667,5.016,4.659
1788210118.682667,1788210118.687666,4.999,4.703
1788210118.690711,1788210118.695721,5.010,4.514
1788210118.698806,1788210118.704311,5.505,4.992
1788210118.708785,1788210118.712810,4.025,3.530
1788210118.716913,1788210118.720881,3.968,3.558
1788210118.724082,1788210118.729104,5.022,4.553
1788210118.732185,1788210118.737805,5.619,5.169
1788210118.741982,1788210118.745898,3.916,3.481
1788210118.749976,1788210118.753969,3.992,3.586
1788210118.757456,1788210118.762468,5.013,4.784
1788210118.765550,1788210118.770481,4.931,4.478
1788210118.774642,1788210118.778647,4.005,3.711
1788210118.783170,1788210118.787164,3.994,3.663
1788210118.792079,1788210118.796073,3.994,3.747
1788210118.799084,1788210118.804079,4.995,4.879
1788210118.808084,1788210118.812612,4.527,4.088
1788210118.817160,1788210118.821705,4.545,4.360
1788210118.824745,1788210118.829727,4.982,4.592
1788210118.833726,1788210118.838253,4.527,4.099
1788210118.841252,1788210118.847460,6.208,5.690
1788210118.849476,1788210118.855474,5.998,5.481
1788210118.857480,1788210118.864030,6.551,6.014
1788210118.866031,1788210118.873022,6.992,6.564
1788210118.875026,1788210118.881050,6.024,5.526
1788210118.882051,1788210118.890043,7.992,7.548
1788210118.892559,1788210118.898102,5.543,5.140
1788210118.900102,1788210118.906646,6.544,6.031
1788210118.907643,1788210118.914661,7.018,6.442
1788210118.915657,1788210118.923657,8.000,7.644
1788210118.923657,1788210118.931831,8.174,7.468
1788210118.932830,1788210118.940371,7.541,7.075
1788210118.941370,1788210118.948906,7.536,7.261
1788210118.949908,1788210118.957902,7.994,7.526
1788210118.957902,1788210118.966180,8.277,7.795
1788210118.966180,1788210118.974275,8.096,7.551
1788210118.974275,1788210118.982681,8.406,7.824
1788210118.982681,1788210118.991215,8.533,7.884
1788210118.991215,1788210119.000020,8.805,8.629
1788210119.007068,1788210119.008067,0.999,0.641
1788210119.007068,1788210119.016562,9.495,9.184
1788210119.016562,1788210119.025079,8.517,7.420
1788210119.024562,1788210119.033230,8.668,8.016
1788210119.033230,1788210119.041647,8.417,7.835
1788210119.041647,1788210119.049822,8.174,7.725
1788210119.049822,1788210119.058336,8.514,7.997
1788210119.058336,1788210119.066653,8.317,8.069
1788210119.073678,1788210119.074677,0.998,0.550
1788210119.073678,1788210119.082730,9.052,8.632
1788210119.082730,1788210119.090795,8.065,7.366
1788210119.090795,1788210119.098819,8.024,7.374
1788210119.098819,1788210119.107816,8.997,8.478
1788210119.108816,1788210119.115819,7.003,6.761
1788210119.115819,1788210119.124464,8.645,8.393
1788210119.124464,1788210119.132482,8.018,7.604
1788210119.132482,1788210119.141033,8.551,8.052
1788210119.141033,1788210119.149037,8.004,7.757
1788210119.149037,1788210119.157569,8.532,8.236
1788210119.157569,1788210119.165593,8.024,7.514
1788210119.165593,1788210119.174110,8.517,7.864
1788210119.174110,1788210119.182990,8.880,8.656
1788210119.182990,1788210119.191051,8.061,7.645
1788210119.191051,1788210119.199090,8.039,7.366
1788210119.199090,1788210119.207193,8.103,7.554
1788210119.207193,1788210119.215499,8.305,7.606
1788210119.215499,1788210119.223794,8.296,7.680
1788210119.224896,1788210119.232074,7.177,6.820
1788210119.232074,1788210119.240685,8.611,7.946
1788210119.241829,1788210119.248703,6.874,6.440
1788210119.249702,1788210119.257938,8.235,7.952
1788210119.257938,1788210119.265958,8.020,7.471
1788210119.265958,1788210119.274476,8.518,8.020
1788210119.274476,1788210119.283191,8.715,8.379
1788210119.283191,1788210119.291555,8.364,7.934
1788210119.298577,1788210119.299573,0.996,0.737
1788210119.298577,1788210119.308106,9.529,9.240
1788210119.308106,1788210119.316119,8.013,7.427
1788210119.316119,1788210119.324926,8.807,8.231
1788210119.324926,1788210119.332993,8.067,7.609
1788210119.332993,1788210119.341537,8.543,8.285
1788210119.341537,1788210119.349543,8.006,7.613
1788210119.349543,1788210119.357797,8.255,7.820
1788210119.357797,1788210119.366750,8.952,8.417
1788210119.373763,1788210119.375415,1.652,1.476
1788210119.373763,1788210119.383472,9.709,9.530
1788210119.390761,1788210119.391781,1.020,0.881
1788210119.399591,1788210119.400589,0.998,0.648
1788210119.399591,1788210119.408590,8.999,8.668
1788210119.416107,1788210119.417107,1.000,0.747
1788210119.424415,1788210119.425408,0.992,0.589
1788210119.432417,1788210119.433416,0.999,0.626
1788210119.440983,1788210119.441986,1.002,0.615
1788210119.449980,1788210119.450979,0.999,0.549
1788210119.456988,1788210119.459010,2.022,1.580
1788210119.466017,1788210119.468006,1.989,1.699
1788210119.474026,1788210119.476025,1.998,1.513
1788210119.483024,1788210119.484031,1.007,0.645
1788210119.491295,1788210119.492296,1.001,0.522
1788210119.500293,1788210119.501296,1.003,0.612
1788210119.508541,1788210119.509562,1.022,0.627
1788210119.515672,1788210119.517663,1.992,1.580
1788210119.523841,1788210119.525856,2.014,1.542
1788210119.532390,1788210119.533872,1.483,1.048
1788210119.540470,1788210119.542590,2.120,1.656
1788210119.549472,1788210119.551527,2.055,1.723
1788210119.557964,1788210119.559960,1.996,1.495
1788210119.566016,1788210119.568028,2.012,1.612
1788210119.574980,1788210119.576035,1.055,0.604
1788210119.582458,1788210119.584571,2.113,1.699
1788210119.591263,1788210119.593155,1.892,1.420
1788210119.600154,1788210119.602154,2.000,1.576
1788210119.608389,1788210119.610409,2.020,1.473
1788210119.615468,1788210119.618470,3.003,2.527
1788210119.624687,1788210119.627498,2.811,2.723
1788210119.633402,1788210119.635920,2.517,2.346
1788210119.641962,1788210119.643965,2.003,1.698
1788210119.648963,1788210119.652966,4.003,3.511
1788210119.657519,1788210119.661529,4.010,3.809
1788210119.666522,1788210119.670529,4.008,3.799
1788210119.674684,1788210119.678676,3.992,3.863
1788210119.683104,1788210119.686901,3.798,3.551
1788210119.691315,1788210119.695321,4.006,3.823
1788210119.699494,1788210119.704164,4.670,4.598
1788210119.708174,1788210119.712179,4.005,3.591
1788210119.716171,1788210119.720706,4.535,4.227
1788210119.724444,1788210119.728966,4.523,4.142
1788210119.732972,1788210119.737524,4.552,4.209
1788210119.741071,1788210119.746070,4.999,4.601
1788210119.749071,1788210119.754720,5.649,4.818
1788210119.757744,1788210119.762748,5.004,4.590
1788210119.766426,1788210119.771418,4.992,4.718
1788210119.774550,1788210119.779431,4.880,4.507
1788210119.783437,1788210119.788608,5.171,4.991
1788210119.790632,1788210119.796630,5.998,5.826
1788210119.799731,1788210119.805238,5.507,5.069
1788210119.808157,1788210119.813848,5.691,5.412
1788210119.817007,1788210119.822698,5.691,5.463
1788210119.824713,1788210119.831606,6.893,6.479
1788210119.833604,1788210119.840129,6.525,6.110
1788210119.841643,1788210119.848663,7.020,6.664
1788210119.848663,1788210119.857128,8.465,7.919
1788210119.858128,1788210119.865132,7.004,6.477
1788210119.865132,1788210119.873307,8.176,7.624
1788210119.874263,1788210119.882259,7.996,7.705
1788210119.883259,1788210119.890794,7.535,7.006
1788210119.890794,1788210119.898795,8.001,7.642
1788210119.898795,1788210119.906815,8.020,7.447
1788210119.907810,1788210119.914816,7.006,6.544
1788210119.915824,1788210119.923389,7.565,7.099
1788210119.924393,1788210119.932375,7.982,7.777
1788210119.933372,1788210119.941269,7.897,7.697
1788210119.942271,1788210119.950275,8.004,7.722
1788210119.957807,1788210119.958804,0.997,0.490
1788210119.965855,1788210119.966856,1.001,0.597
1788210119.974822,1788210119.975820,0.998,0.551
1788210119.982866,1788210119.984383,1.517,1.025
1788210119.991114,1788210119.993110,1.997,1.516
1788210120.000102,1788210120.001121,1.018,0.739
1788210120.007116,1788210120.010230,3.114,2.819
1788210120.017259,1788210120.018990,1.731,1.386
1788210120.024625,1788210120.027628,3.003,2.719
1788210120.032627,1788210120.036198,3.571,3.410
1788210120.041215,1788210120.044587,3.372,3.063
1788210120.049651,1788210120.053973,4.322,3.967
1788210120.057865,1788210120.062847,4.982,4.736
1788210120.066741,1788210120.071319,4.577,4.290
1788210120.074394,1788210120.080282,5.889,5.655
1788210120.082991,1788210120.090208,7.217,6.240
1788210120.091226,1788210120.098259,7.034,6.682
1788210120.099257,1788210120.107775,8.518,8.120
1788210120.107775,1788210120.115799,8.024,7.678
1788210120.115799,1788210120.124436,8.637,8.215
1788210120.124436,1788210120.132539,8.103,7.632
1788210120.132539,1788210120.141276,8.737,8.242
1788210120.141276,1788210120.149706,8.430,7.891
1788210120.149706,1788210120.158675,8.969,8.449
1788210120.166672,1788210120.167665,0.994,0.554
1788210120.173793,1788210120.175778,1.986,1.579
1788210120.173793,1788210120.183779,9.986,9.532
1788210120.191165,1788210120.192162,0.996,0.740
1788210120.199171,1788210120.200182,1.011,0.602
1788210120.207265,1788210120.208276,1.010,0.669
1788210120.207265,1788210120.217264,9.998,9.676
1788210120.224555,1788210120.225574,1.019,0.635
1788210120.232562,1788210120.234557,1.995,1.527
1788210120.241281,1788210120.243274,1.993,1.570
1788210120.250879,1788210120.252775,1.896,1.472
1788210120.257866,1788210120.260890,3.024,2.535
1788210120.265880,1788210120.269779,3.900,3.171
1788210120.273974,1788210120.277975,4.001,3.534
1788210120.282965,1788210120.286446,3.481,3.065
1788210120.291468,1788210120.294545,3.077,2.770
1788210120.299527,1788210120.302549,3.022,2.702
1788210120.307647,1788210120.310649,3.001,2.670
1788210120.316644,1788210120.320128,3.484,3.064
1788210120.324315,1788210120.328328,4.013,3.532
1788210120.333244,1788210120.336755,3.511,3.110
1788210120.341769,1788210120.344769,3.000,2.572
1788210120.350275,1788210120.353176,2.902,2.418
1788210120.357278,1788210120.361271,3.993,3.598
1788210120.366282,1788210120.370364,4.082,3.532
1788210120.374372,1788210120.379368,4.996,4.624
1788210120.383370,1788210120.388099,4.730,4.075
1788210120.391196,1788210120.396880,5.685,5.119
1788210120.399807,1788210120.405747,5.940,5.416
1788210120.408751,1788210120.413751,5.000,4.473
1788210120.417342,1788210120.421945,4.603,4.030
1788210120.425302,1788210120.430257,4.955,4.630
1788210120.433259,1788210120.438784,5.525,5.211
1788210120.441782,1788210120.446785,5.003,4.700
1788210120.448785,1788210120.455032,6.247,5.843
1788210120.458125,1788210120.463116,4.991,4.605
1788210120.467104,1788210120.471219,4.114,3.990
1788210120.474215,1788210120.479219,5.004,4.835
1788210120.482224,1788210120.488019,5.796,5.378
1788210120.492009,1788210120.496939,4.930,4.660
1788210120.499023,1788210120.505645,6.622,6.018
1788210120.507633,1788210120.514598,6.966,6.682
1788210120.515637,1788210120.523442,7.805,7.556
1788210120.525426,1788210120.532435,7.009,6.750
1788210120.532435,1788210120.540753,8.318,8.123
1788210120.540753,1788210120.548754,8.001,7.672
1788210120.548754,1788210120.556948,8.194,7.906
1788210120.558059,1788210120.565058,6.999,6.866
1788210120.567050,1788210120.573195,6.145,5.808
1788210120.574134,1788210120.581205,7.071,6.688
1788210120.582794,1788210120.589648,6.854,6.511
1788210120.591628,1788210120.597742,6.113,5.726
1788210120.598727,1788210120.606644,7.916,7.609
1788210120.608639,1788210120.614680,6.041,5.492
1788210120.615782,1788210120.622859,7.077,6.770
1788210120.623855,1788210120.630937,7.082,6.789
1788210120.634402,1788210120.639214,4.812,4.215
1788210120.641191,1788210120.647767,6.576,6.110
1788210120.649869,1788210120.655864,5.995,5.579
1788210120.658864,1788210120.664962,6.099,5.725
1788210120.665958,1788210120.673960,8.002,7.500
1788210120.673960,1788210120.682764,8.804,8.512
1788210120.682764,1788210120.691762,8.998,8.381
1788210120.698872,1788210120.699873,1.001,0.716
1788210120.698872,1788210120.708855,9.983,9.717
1788210120.716083,1788210120.717089,1.006,0.603
1788210120.724703,1788210120.725706,1.002,0.507
1788210120.732835,1788210120.733839,1.004,0.564
1788210120.732835,1788210120.741845,9.010,8.626
1788210120.749378,1788210120.750379,1.000,0.702
1788210120.757379,1788210120.759378,1.999,1.616
1788210120.765394,1788210120.767394,2.000,1.647
1788210120.774467,1788210120.775484,1.017,0.554
1788210120.782971,1788210120.783991,1.020,0.812
1788210120.791088,1788210120.792073,0.985,0.745
1788210120.800005,1788210120.801004,0.999,0.806
1788210120.808233,1788210120.809744,1.512,1.316
1788210120.816562,1788210120.818074,1.512,1.410
1788210120.825303,1788210120.826302,1.000,0.810
1788210120.832848,1788210120.834849,2.002,1.687
1788210120.841383,1788210120.843383,2.001,1.844
1788210120.850006,1788210120.852001,1.995,1.489
1788210120.858011,1788210120.860096,2.085,1.912
1788210120.866014,1788210120.868097,2.083,1.880
1788210120.874533,1788210120.876252,1.719,1.279
1788210120.883270,1788210120.884271,1.001,0.674
1788210120.891271,1788210120.892391,1.120,0.731
1788210120.899545,1788210120.900714,1.168,0.780
1788210120.899545,1788210120.909498,9.952,9.678
1788210120.915875,1788210120.917758,1.882,1.453
1788210120.924366,1788210120.926027,1.661,1.308
1788210120.933272,1788210120.934275,1.003,0.628
1788210120.941317,1788210120.942855,1.538,0.969
1788210120.949950,1788210120.950948,0.998,0.677
1788210120.958947,1788210120.959466,0.519,0.136
1788210120.966495,1788210120.967496,1.001,0.586
1788210120.975004,1788210120.976020,1.015,0.511
1788210120.982630,1788210120.984632,2.002,1.600
1788210120.991641,1788210120.992647,1.006,0.585
1788210120.998730,1788210121.000790,2.060,1.655
1788210121.008146,1788210121.009255,1.109,0.617
1788210121.016252,1788210121.017255,1.003,0.609
