t_s,t_capture,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3
0.000919,1788210118.407403,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
0.009303,1788210118.416940,-0.4293,-0.0243,-0.0243,-0.0243,-0.0243,0,0,0
0.017319,1788210118.424050,-0.9862,-0.0655,-0.0655,-0.0655,-0.0655,0,0,0
0.025985,1788210118.433039,-1.6063,-0.1480,-0.1480,-0.1480,-0.1480,0,0,0
0.035576,1788210118.441725,-2.1872,-0.2539,-0.2539,-0.2539,-0.2539,0,0,0
0.044297,1788210118.448951,-2.4865,-0.3513,-0.3513,-0.3513,-0.3513,0,0,0
0.053314,1788210118.457961,-2.4860,-0.4663,-0.4663,-0.4663,-0.4663,0,0,0
0.061332,1788210118.466197,-3.3506,-0.6093,-0.6093,-0.6093,-0.6093,0,0,0
0.069850,1788210118.474201,-3.4394,-0.7461,-0.7461,-0.7461,-0.7461,0,0,0
0.077857,1788210118.482590,-4.3278,-0.9275,-0.9275,-0.9061,-0.9061,1,0,0
0.086475,1788210118.490598,-4.4628,-1.0991,-1.0991,-1.0661,-1.0661,1,0,0
0.095483,1788210118.500217,-5.0811,-1.3294,-1.3294,-1.2261,-1.2261,1,0,0
0.103844,1788210118.507226,-5.5827,-1.5120,-1.5120,-1.3861,-1.3861,1,0,0
0.112445,1788210118.516595,-6.0345,-1.7683,-1.7683,-1.5461,-1.5461,1,0,0
0.120542,1788210118.524188,-6.3784,-1.9828,-1.9828,-1.7061,-1.7061,1,0,0
0.129266,1788210118.532285,-7.0605,-2.2347,-2.2347,-1.8661,-1.8661,1,0,0
0.138259,1788210118.541009,-7.2949,-2.5046,-2.5046,-2.0261,-2.0261,1,0,0
0.147037,1788210118.557765,-8.5950,-3.1002,-3.1002,-2.1861,-2.1861,1,0,0
0.156124,1788210118.565780,-8.7759,-3.3807,-3.3807,-2.3461,-2.3461,1,0,0
0.164231,1788210118.573883,-9.3813,-3.6811,-3.6811,-2.5061,-2.5061,1,0,0
0.172437,1788210118.582264,-9.8439,-4.0005,-4.0005,-2.6661,-2.6661,1,0,0
0.181612,1788210118.590812,-10.0411,-4.3201,-4.3201,-2.8261,-2.8261,1,0,0
0.190084,1788210118.598827,-10.6448,-4.6358,-4.6358,-2.9861,-2.9861,1,0,0
0.199643,1788210118.606834,-11.3300,-4.9704,-4.9704,-3.1461,-3.1461,1,0,0
0.208064,1788210118.616796,-11.8280,-5.3926,-5.3926,-3.3061,-3.3061,1,0,0
0.216830,1788210118.624460,-11.7699,-5.6997,-5.6997,-3.4661,-3.4661,1,0,0
0.225488,1788210118.632483,-13.0877,-6.0723,-6.0723,-3.6261,-3.6261,1,0,0
0.233643,1788210118.641384,-12.3961,-6.4247,-6.4247,-3.7861,-3.7861,1,0,0
0.242637,1788210118.649289,-13.7530,-6.7906,-6.7906,-3.9461,-3.9461,1,0,0
0.250905,1788210118.657626,-13.5155,-7.1444,-7.1444,-4.1061,-4.1061,1,0,0
0.258905,1788210118.665646,-14.6652,-7.5266,-7.5266,-4.2661,-4.2661,1,0,0
0.266924,1788210118.673651,-15.0455,-7.9090,-7.9090,-4.4261,-4.4261,1,0,0
0.275923,1788210118.682667,-15.4297,-8.3377,-8.3377,-4.5861,-4.5861,1,0,0
0.283978,1788210118.690711,-15.7969,-8.7202,-8.7202,-4.7461,-4.7461,1,0,0
0.292568,1788210118.698806,-16.0662,-9.0998,-9.0998,-4.9061,-4.9061,1,0,0
0.301067,1788210118.708785,-16.8851,-9.5905,-9.5905,-5.0661,-5.0661,1,0,0
0.309139,1788210118.716913,-16.7163,-9.9611,-9.9611,-5.2261,-5.2261,1,0,0
0.317361,1788210118.724082,-17.8654,-10.3269,-10.3269,-5.3861,-5.3861,1,0,0
0.326062,1788210118.732185,-17.4780,-10.6991,-10.6991,-5.5461,-5.5461,1,0,0
0.334156,1788210118.741982,-18.4687,-11.1833,-11.1833,-5.7061,-5.7061,1,0,0
0.342226,1788210118.749976,-19.1245,-11.5925,-11.5925,-5.8661,-5.8661,1,0,0
0.350725,1788210118.757456,-19.5769,-11.9794,-11.9794,-6.0261,-6.0261,1,0,0
0.358738,1788210118.765550,-20.0937,-12.4040,-12.4040,-6.1861,-6.1861,1,0,0
0.366904,1788210118.774642,-20.5338,-12.8793,-12.8793,-6.3461,-6.3461,1,0,0
0.375421,1788210118.783170,-20.9211,-13.3225,-13.3225,-6.5061,-6.5061,1,0,0
0.384330,1788210118.792079,-21.3909,-13.7862,-13.7862,-6.6661,-6.6661,1,0,0
0.392336,1788210118.799084,-22.0711,-14.1661,-14.1661,-6.8261,-6.8261,1,0,0
0.400869,1788210118.808084,-22.1504,-14.6308,-14.6308,-6.9861,-6.9861,1,0,0
0.409962,1788210118.817160,-23.1631,-15.1318,-15.1318,-7.1461,-7.1461,1,0,0
0.417984,1788210118.824745,-23.4375,-15.5440,-15.5440,-7.3061,-7.3061,1,0,0
0.426510,1788210118.833726,-23.5834,-16.0125,-16.0125,-7.4661,-7.4661,1,0,0
0.435717,1788210118.841252,-24.2197,-16.4176,-16.4176,-7.6261,-7.6261,1,0,0
0.443732,1788210118.849476,-24.7223,-16.8641,-16.8641,-7.7861,-7.7861,1,0,0
0.452287,1788210118.857480,-24.4660,-17.2626,-17.2626,-7.9461,-7.9461,1,0,0
0.461279,1788210118.866031,-25.5142,-17.7235,-17.7235,-8.1061,-8.1061,1,0,0
0.469307,1788210118.875026,-25.7749,-18.1954,-18.1954,-8.2661,-8.2661,1,0,0
0.478300,1788210118.882051,-26.0396,-18.5595,-18.5595,-8.4261,-8.4261,1,0,0
0.486359,1788210118.892559,-26.8244,-19.1203,-19.1203,-8.5861,-8.5861,1,0,0
0.494903,1788210118.900102,-27.0062,-19.5123,-19.5123,-8.7461,-8.7461,1,0,0
0.502918,1788210118.907643,-27.5512,-19.9123,-19.9123,-8.9061,-8.9061,1,0,0
0.511914,1788210118.915657,-27.7049,-20.3232,-20.3232,-9.0661,-9.0661,1,0,0
0.520088,1788210118.923657,-28.3536,-20.7463,-20.7463,-9.2261,-9.2261,1,0,0
0.528628,1788210118.932830,-28.8629,-21.2329,-21.2329,-9.3861,-9.3861,1,0,0
0.537163,1788210118.941370,-29.0962,-21.6737,-21.6737,-9.5461,-9.5461,1,0,0
0.546160,1788210118.949908,-29.1364,-22.0920,-22.0920,-9.7061,-9.7061,1,0,0
