id,izvedeno,filter,trajanje_s,takt_hz,ulaz_hz,hold_pct,dodana_lat_ms,prag_ms,brzina_dps,raspon_deg,lat_median_ms,lat_p95_ms,lat_p99_ms,lat_jitter_ms,rx_loss_pct,rmse_mean_deg,rmse_poravnato_deg,lag_j3_ms,ratelim_ticks,rangeclamp_ticks,halted_ticks,video,napomena
T-02,da,one_euro,45.1,124.6,56.6,54.6,0,150,150,90,3.05,8.02,9.91,2.52,0.00,4.40,1.52,385,1151,0,0,T1a_natural_tempo.mp4,"vjernost 6-DOF, prirodni tempo"
T-03,da,one_euro,45.1,124.5,46.6,62.6,0,150,150,90,3.08,7.63,8.74,2.39,0.00,6.03,2.69,554,1395,23,0,T1b_joint_walkthrough.mp4,"vjernost 6-DOF, prolaz po zglobovima"
T-04,da,one_euro,30.1,124.5,49.4,60.3,0,150,150,90,3.11,7.69,9.11,2.41,0.00,2.78,1.19,353,621,160,0,T2a_filter_one_euro.mp4,filtri: One-Euro
T-05,da,none,30.0,124.7,52.2,58.1,0,150,150,90,3.10,8.05,10.53,2.57,0.00,2.02,1.00,217,1003,215,0,T2b_filter_none.mp4,filtri: bez filtra
T-06,da,butterworth,30.1,124.6,40.2,67.7,0,150,150,90,3.05,7.84,9.25,2.45,0.00,5.70,2.79,682,932,269,0,T2c_filter_butterworth.mp4,filtri: Butterworth
T-07,da,ema,33.5,123.9,73.3,40.8,0,150,150,90,3.00,7.51,8.79,2.34,0.00,4.19,2.40,282,1235,559,0,T2d_filter_ema.mp4,filtri: EMA
T-08,da,one_euro,25.0,124.6,49.0,60.7,0,150,25,90,3.01,7.65,9.03,2.44,0.00,6.78,5.92,273,1804,204,0,T3a_rate_limit.mp4,sigurnost: rate-limit
T-09,da,one_euro,25.0,124.6,58.7,52.9,0,150,150,25,3.07,7.72,9.25,2.46,0.00,9.75,8.58,305,354,974,0,T3b_range_limit.mp4,sigurnost: range-limit
T-10,da,one_euro,30.1,124.5,31.0,75.1,0,150,150,90,3.04,7.70,9.06,2.43,0.00,3.43,2.14,514,500,0,0,T3c_marker_occlusion.mp4,sigurnost: okluzija markera
T-12a,da,one_euro,20.0,124.6,32.8,73.7,0,150,150,90,4.00,12.49,14.78,3.53,0.00,20.47,20.52,249,162,0,7512,T3d_estop.mp4,sigurnost: e-stop (softverski 10s + teach pendant)
T-20,da,one_euro,30.1,124.7,53.2,57.3,0,150,150,90,3.09,8.17,10.52,2.60,0.00,3.30,1.23,257,460,0,0,T6_step_response.mp4,dinamika: 5 naglih pokreta (step response)
T-13a,da,one_euro,30.1,124.6,30.9,75.2,0,150,150,90,3.14,7.65,8.97,2.38,0.00,3.93,1.70,160,562,1,0,T4a_latency_0ms.mp4,latencija +0 ms
T-13b,da,one_euro,30.1,124.6,33.0,73.5,50,300,150,90,59.34,63.87,65.22,4.15,0.00,10.41,6.53,506,1346,8,72,T4b_latency_50ms.mp4,latencija +50 ms
T-13c,da,one_euro,30.1,124.7,45.3,63.6,100,400,150,90,107.40,112.05,113.71,7.02,0.00,8.24,5.11,537,1018,113,84,T4c_latency_100ms.mp4,latencija +100 ms
T-13d,da,one_euro,30.1,124.7,37.9,69.6,200,600,150,90,203.20,209.58,214.31,75.89,99.56,9.10,5.66,722,840,18,3708,T4d_latency_200ms.mp4,latencija +200 ms
T-13e,da,one_euro,30.1,124.6,38.8,68.8,400,900,150,90,403.90,408.71,410.78,100.12,0.00,8.05,4.05,971,855,56,1476,T4e_latency_400ms.mp4,latencija +400 ms
T-14,da,one_euro,25.0,124.6,51.7,58.5,0,150,150,90,3.04,7.66,8.90,2.44,0.00,10.40,4.95,714,1064,123,0,T5a_packet_loss_0pct.mp4,gubitak 0 % (referenca)
T-15,da,one_euro,25.1,124.7,46.0,63.1,0,150,150,90,3.11,7.66,9.12,2.40,5.12,1.34,0.45,249,322,0,0,T5b_packet_loss_5pct.mp4,gubitak modeliran offline 5 %
T-16,da,one_euro,25.1,124.5,51.0,59.0,0,150,150,90,3.36,7.97,10.08,2.47,10.46,11.17,6.32,675,1111,127,0,T5c_packet_loss_10pct.mp4,gubitak modeliran offline 10 %
T-17,da,one_euro,25.0,124.6,54.9,55.9,0,150,150,90,3.19,8.07,10.53,2.57,20.32,13.55,8.90,690,1323,113,0,T5d_packet_loss_20pct.mp4,gubitak modeliran offline 20 %
T-18,da,one_euro,25.0,124.5,42.3,66.0,0,150,150,90,3.25,8.00,9.53,2.42,30.18,11.94,6.53,828,1014,81,0,T5e_packet_loss_30pct.mp4,gubitak modeliran offline 30 %
T-01,ne,,,,,,,,,,,,,,,,,,,,,,NIJE IZVEDEN: URSim referenca
T-11,ne,,,,,,,,,,,,,,,,,,,,,,NIJE IZVEDEN: duplikat e-stop id-a u skripti
T-19,ne,,,,,,,,,,,,,,,,,,,,,,NIJE IZVEDEN: endurance 10 min
T-21,ne,,,,,,,,,,,,,,,,,,,,,,NIJE IZVEDEN: ponovljivost T-02
