Format Version,1.23,Take Name,take_hri_studenti_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-15 07.58.01.512 AM,Capture Start Frame,121345,Total Frames in Take,2116,Total Exported Frames,2116,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:srednjak,hri_studenti_ruka_01:srednjak,hri_studenti_ruka_01:srednjak
,ID,"43727496F94F1DD11F0","43727496F94F1DD11F0","43727496F94F1DD11F0","43127496F94F1DD11F0","43127496F94F1DD11F0","43127496F94F1DD11F0","43227496F94F1DD11F0","43227496F94F1DD11F0","43227496F94F1DD11F0","43327496F94F1DD11F0","43327496F94F1DD11F0","43327496F94F1DD11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,75.385170,1319.014648,-516.811218,19.833387,1315.028809,-591.886536,169.013367,1343.665527,-522.328491,65.649803,1337.865234,-609.148987
1,0.008000,75.323799,1319.067993,-516.809753,19.760105,1315.071045,-591.882446,168.921844,1343.735107,-522.340210,65.555908,1337.923340,-609.135071
2,0.017000,75.247284,1319.131470,-516.769348,19.675884,1315.122192,-591.848999,168.831726,1343.808228,-522.323242,65.470291,1337.981689,-609.125610
3,0.025000,75.167953,1319.177246,-516.738647,19.595083,1315.172729,-591.817017,168.750793,1343.852539,-522.311218,65.387894,1338.026001,-609.086853
4,0.033000,75.077599,1319.222534,-516.709534,19.500032,1315.216675,-591.786255,168.680695,1343.895508,-522.342041,65.294167,1338.067505,-609.075073
5,0.042000,74.991592,1319.279663,-516.708008,19.424459,1315.284424,-591.779846,168.587570,1343.944214,-522.383362,65.212616,1338.103027,-609.042664
6,0.050000,74.886810,1319.334229,-516.703369,19.344425,1315.333740,-591.768616,168.499496,1343.977539,-522.399170,65.114700,1338.152588,-609.045288
7,0.058000,74.801613,1319.386353,-516.693665,19.245455,1315.378418,-591.767334,168.424194,1344.002930,-522.438232,65.035843,1338.205688,-609.042542
8,0.067000,74.720451,1319.430054,-516.712952,19.137629,1315.461426,-591.757812,168.329239,1344.049805,-522.481873,64.936371,1338.265381,-609.026733
9,0.075000,74.642662,1319.479736,-516.739807,19.036863,1315.537842,-591.749207,168.217651,1344.072388,-522.556396,64.837166,1338.304199,-609.027893
10,0.083000,74.552742,1319.500244,-516.754028,18.962362,1315.598755,-591.733704,168.119354,1344.074951,-522.619385,64.743263,1338.354614,-609.008850
11,0.092000,74.468033,1319.514771,-516.756348,18.884119,1315.650146,-591.733643,168.043243,1344.040894,-522.705750,64.659119,1338.358643,-608.987915
12,0.100000,74.399269,1319.504395,-516.794800,18.829601,1315.703247,-591.717590,167.961090,1344.033203,-522.781982,64.574280,1338.363403,-608.971497
13,0.108000,74.326874,1319.482056,-516.819519,18.782816,1315.711182,-591.716187,167.887360,1344.001831,-522.858643,64.497345,1338.350830,-608.975220
14,0.117000,74.255409,1319.434204,-516.879700,18.742916,1315.721558,-591.754883,167.816315,1343.974243,-522.941833,64.422020,1338.300659,-608.990417
15,0.125000,74.178535,1319.363159,-516.914917,18.729778,1315.726929,-591.796021,167.706863,1343.933472,-523.010437,64.371010,1338.228760,-609.022583
16,0.133000,74.112816,1319.285767,-516.947632,18.725746,1315.713745,-591.794189,167.630005,1343.875977,-523.087830,64.296745,1338.128540,-609.004456
17,0.142000,74.033264,1319.195923,-516.986145,18.651497,1315.625854,-591.816589,167.539261,1343.763916,-523.166077,64.181953,1338.007324,-609.019592
18,0.150000,73.952881,1319.090698,-517.039856,18.547153,1315.437378,-591.867493,167.440369,1343.643433,-523.281067,64.054413,1337.852661,-609.047668
19,0.158000,73.840858,1318.947388,-517.112183,18.454910,1315.241211,-591.888245,167.323700,1343.512573,-523.380005,63.929363,1337.651001,-609.080017
20,0.167000,73.722404,1318.812744,-517.163269,18.357357,1315.050049,-591.941589,167.193619,1343.389771,-523.475708,63.771709,1337.452026,-609.112549
21,0.175000,73.600235,1318.656982,-517.208069,18.225023,1314.817749,-591.974548,167.056717,1343.245361,-523.573242,63.604267,1337.239258,-609.127136
22,0.183000,73.474342,1318.514038,-517.240051,18.078573,1314.595947,-592.032349,166.923370,1343.103027,-523.662048,63.425369,1337.054688,-609.133362
23,0.192000,73.328621,1318.369385,-517.270447,17.939798,1314.403076,-592.047791,166.782257,1342.976807,-523.772095,63.237549,1336.863403,-609.153625
24,0.200000,73.203674,1318.240479,-517.294861,17.814787,1314.235107,-592.067566,166.638397,1342.881836,-523.849670,63.070580,1336.671997,-609.164978
25,0.208000,73.087776,1318.125000,-517.332336,17.708763,1314.070679,-592.075989,166.523300,1342.777710,-523.911255,62.913074,1336.496460,-609.205200
26,0.217000,73.006447,1317.998047,-517.375732,17.598829,1313.947876,-592.098999,166.401276,1342.682739,-523.969543,62.789604,1336.336304,-609.229736
27,0.225000,72.906456,1317.889038,-517.405884,17.494307,1313.836426,-592.121887,166.302536,1342.583740,-524.037598,62.706589,1336.210571,-609.259888
28,0.233000,72.835693,1317.760254,-517.460632,17.425629,1313.724365,-592.137329,166.206192,1342.459106,-524.046875,62.623352,1336.051880,-609.286560
29,0.242000,72.749466,1317.617432,-517.533203,17.389769,1313.590454,-592.184631,166.147690,1342.311646,-524.117859,62.574596,1335.889893,-609.368164
30,0.250000,72.679016,1317.478760,-517.618042,17.320593,1313.405518,-592.248779,166.083267,1342.170532,-524.202576,62.515118,1335.674683,-609.461121
31,0.258000,72.607735,1317.323486,-517.707642,17.254799,1313.191895,-592.329468,166.029984,1341.998291,-524.311646,62.450993,1335.419800,-609.533936
32,0.267000,72.554283,1317.157837,-517.786133,17.190500,1312.965088,-592.395203,165.962509,1341.804932,-524.434631,62.373390,1335.168823,-609.572144
33,0.275000,72.460182,1317.004272,-517.866272,17.140661,1312.737915,-592.466125,165.887497,1341.622070,-524.563354,62.293114,1334.931152,-609.630066
34,0.283000,72.397850,1316.848511,-517.957886,17.037273,1312.518311,-592.532654,165.791550,1341.476685,-524.687073,62.239819,1334.690430,-609.732544
35,0.292000,72.295998,1316.722656,-518.042114,16.976616,1312.317871,-592.603760,165.683975,1341.361206,-524.811218,62.144585,1334.430908,-609.827087
36,0.300000,72.210052,1316.630371,-518.132568,16.949680,1312.106445,-592.665344,165.553009,1341.288452,-524.881104,62.076946,1334.221436,-609.913452
37,0.308000,72.117615,1316.539185,-518.200623,16.995548,1311.817627,-592.695862,165.460922,1341.217529,-524.976562,62.033573,1334.049683,-609.967651
38,0.317000,72.044594,1316.467285,-518.278198,16.967058,1311.652954,-592.801636,165.395294,1341.133179,-525.052612,61.993233,1333.904907,-610.033630
39,0.325000,71.998848,1316.449219,-518.351807,16.945503,1311.547607,-592.893250,165.409943,1341.042725,-525.166992,61.965862,1333.800049,-610.111084
40,0.333000,71.953789,1316.451904,-518.408386,16.961386,1311.528687,-592.955322,165.394852,1341.018677,-525.234314,61.963444,1333.750488,-610.176270
41,0.342000,71.948242,1316.504150,-518.486389,16.934511,1311.568237,-593.028015,165.397964,1340.998535,-525.309875,61.976734,1333.764038,-610.200195
42,0.350000,71.925873,1316.606689,-518.558594,16.912458,1311.605225,-593.112366,165.390076,1341.047974,-525.372742,61.965401,1333.862183,-610.251099
43,0.358000,71.888092,1316.744019,-518.624634,16.892633,1311.679321,-593.204529,165.372650,1341.153564,-525.461304,61.967949,1333.966553,-610.305054
44,0.367000,71.864670,1316.925049,-518.706726,16.894962,1311.800659,-593.284424,165.355835,1341.329956,-525.529785,61.968105,1334.080322,-610.368530
45,0.375000,71.844612,1317.158203,-518.799194,16.788345,1312.103638,-593.457336,165.307068,1341.557373,-525.613953,61.966652,1334.279663,-610.436646
46,0.383000,71.813911,1317.450806,-518.885864,16.807924,1312.323975,-593.581421,165.283020,1341.812744,-525.695618,61.957733,1334.513306,-610.532104
47,0.392000,71.789070,1317.767700,-518.990417,16.831686,1312.602905,-593.708740,165.249115,1342.139038,-525.771423,61.971317,1334.815186,-610.610535
48,0.400000,71.783287,1318.134888,-519.085266,16.874701,1312.950806,-593.807739,165.189285,1342.536743,-525.857300,61.953693,1335.186279,-610.726196
49,0.408000,71.752502,1318.564819,-519.178528,16.889652,1313.374268,-593.916626,165.130707,1342.943115,-525.929504,61.982582,1335.604248,-610.825439
