Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_x,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.38.13.948 AM,Capture Start Frame,174718,Total Frames in Take,2452,Total Exported Frames,2452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,89.088768,1383.926514,-77.167549,199.796005,1360.565674,-122.504089,133.050339,1377.742676,-39.265156,114.962677,1408.382446,-161.900131
1,0.008000,89.025360,1383.990234,-77.225449,199.793015,1360.581543,-122.509102,132.972305,1377.791626,-39.310913,114.982025,1408.419922,-161.963791
2,0.017000,88.980988,1384.081665,-77.271980,199.740997,1360.537842,-122.506119,132.988449,1378.125000,-39.196781,114.986885,1408.434692,-162.011414
3,0.025000,88.899963,1384.227295,-77.316689,199.690720,1360.537842,-122.457054,132.899048,1378.337524,-39.069073,114.984001,1408.447998,-162.059921
4,0.033000,88.786232,1384.297974,-77.389656,199.591263,1360.525024,-122.397285,132.784332,1378.434570,-39.005207,114.976814,1408.463745,-162.113434
5,0.042000,88.717003,1384.322510,-77.427704,199.477722,1360.496582,-122.388542,132.670700,1378.456055,-38.997540,114.954659,1408.461670,-162.118118
6,0.050000,88.642784,1384.300415,-77.443787,199.377121,1360.511475,-122.318184,132.590851,1378.419556,-39.042355,114.897652,1408.484741,-162.114365
7,0.058000,88.581749,1384.280029,-77.443268,199.286545,1360.550537,-122.281456,132.567200,1378.377319,-39.108017,114.837265,1408.491821,-162.096313
8,0.067000,88.549370,1384.221924,-77.414635,199.218567,1360.635376,-122.241501,132.558243,1378.318359,-39.157185,114.766594,1408.489136,-162.083420
9,0.075000,88.543373,1384.135010,-77.414192,199.163513,1360.730713,-122.274727,132.541428,1378.263550,-39.147755,114.719994,1408.510986,-162.044510
10,0.083000,88.532539,1384.089600,-77.422203,199.142365,1360.784546,-122.314636,132.538254,1378.258667,-39.149559,114.659470,1408.524292,-162.036362
11,0.092000,88.512688,1384.122314,-77.451187,199.144470,1360.865112,-122.389236,132.522003,1378.303345,-39.170738,114.642693,1408.553345,-162.063995
12,0.100000,88.513672,1384.211426,-77.485291,199.157410,1360.963867,-122.362755,132.508423,1378.416992,-39.208870,114.661552,1408.595703,-162.101898
13,0.108000,88.519814,1384.350952,-77.519257,199.200546,1361.059204,-122.342316,132.515045,1378.534302,-39.225323,114.662537,1408.643799,-162.166946
14,0.117000,88.550369,1384.492798,-77.589584,199.250900,1361.135620,-122.340256,132.490982,1378.698608,-39.277481,114.709732,1408.697754,-162.225845
15,0.125000,88.585777,1384.664917,-77.644577,199.286652,1361.196045,-122.338753,132.519669,1378.839722,-39.348240,114.777603,1408.734619,-162.354828
16,0.133000,88.598495,1384.793091,-77.745583,199.327148,1361.242554,-122.416306,132.535141,1378.969238,-39.436462,114.837036,1408.793213,-162.437775
17,0.142000,88.670502,1384.909668,-77.824478,199.359955,1361.260864,-122.527252,132.571213,1379.045410,-39.560448,114.904488,1408.827637,-162.561813
18,0.150000,88.748344,1384.926758,-77.880920,199.426102,1361.308228,-122.639839,132.687775,1379.053223,-39.663048,114.931320,1408.896606,-162.659592
19,0.158000,88.843246,1384.918701,-77.921768,199.492737,1361.394409,-122.780655,132.804840,1379.052124,-39.781410,114.960144,1408.912476,-162.732773
20,0.167000,88.943321,1384.854980,-77.984169,199.587524,1361.504028,-122.867157,132.945496,1378.990479,-39.868576,114.973267,1408.923828,-162.783157
21,0.175000,89.046402,1384.777344,-78.017746,199.639542,1361.611938,-122.982758,133.078415,1378.925537,-39.952091,114.957481,1408.952759,-162.832809
22,0.183000,89.133385,1384.690063,-78.022018,199.667191,1361.652954,-123.112457,133.196259,1378.856689,-39.989677,114.945671,1408.951416,-162.853851
23,0.192000,89.205750,1384.616821,-78.030495,199.691650,1361.668335,-123.208580,133.261261,1378.800903,-40.029606,114.924698,1408.959351,-162.854599
24,0.200000,89.265182,1384.548218,-78.052200,199.720566,1361.696899,-123.235565,133.284393,1378.761353,-40.045532,114.941498,1408.939697,-162.853531
25,0.208000,89.246155,1384.559570,-78.055168,199.752716,1361.627197,-123.221161,133.310471,1378.741211,-40.059471,114.954376,1408.906372,-162.870605
26,0.217000,89.235001,1384.620239,-78.097786,199.782562,1361.636230,-123.183182,133.292786,1378.819458,-40.069283,115.010620,1408.907349,-162.913635
27,0.225000,89.188271,1384.727051,-78.090546,199.767120,1361.625977,-123.177376,133.225357,1378.910034,-40.091347,115.027695,1408.925903,-162.965622
28,0.233000,89.174828,1384.806274,-78.147003,199.697296,1361.634644,-123.178032,133.204239,1379.008423,-40.103130,115.033691,1408.965820,-163.034637
29,0.242000,89.173492,1384.876099,-78.182259,199.691452,1361.661987,-123.153511,133.197464,1379.078125,-40.125351,115.034317,1408.963257,-163.060608
30,0.250000,89.194313,1384.918457,-78.194496,199.667603,1361.662231,-123.169724,133.209137,1379.128662,-40.156895,115.042274,1408.967529,-163.106354
31,0.258000,89.231873,1384.896973,-78.214813,199.686584,1361.722534,-123.224419,133.267059,1379.140625,-40.203720,115.009682,1408.986206,-163.139709
32,0.267000,89.244019,1384.821167,-78.259125,199.677658,1361.787598,-123.341995,133.311035,1379.088013,-40.264442,114.958923,1408.983887,-163.161728
