Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_y,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.38.54.976 AM,Capture Start Frame,179641,Total Frames in Take,2949,Total Exported Frames,2949,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.241909,1350.094482,-111.708694,133.441010,1325.481812,-159.594635,61.224026,1347.634277,-72.146332,43.824692,1371.117676,-195.542099
1,0.008000,17.163204,1350.090088,-111.846901,133.288086,1325.533569,-159.698853,61.108482,1347.642090,-72.272720,43.700092,1371.155396,-195.643265
2,0.017000,17.099085,1350.063477,-111.938957,133.186005,1325.568604,-159.818390,61.041782,1347.585571,-72.398834,43.598793,1371.214600,-195.749298
3,0.025000,17.027250,1349.992554,-112.059525,133.086380,1325.637329,-159.930710,60.935333,1347.499146,-72.551804,43.486263,1371.230957,-195.816879
4,0.033000,16.888926,1349.894409,-112.164635,132.962814,1325.660645,-160.092026,60.815872,1347.434570,-72.676712,43.368309,1371.257080,-195.922043
5,0.042000,16.769785,1349.892334,-112.264793,132.850739,1325.686157,-160.185242,60.685070,1347.417969,-72.776779,43.255508,1371.308228,-195.978607
6,0.050000,16.694195,1349.991333,-112.345993,132.773727,1325.722900,-160.209549,60.572842,1347.430786,-72.849464,43.149273,1371.336548,-196.048660
7,0.058000,16.576647,1350.088745,-112.439262,132.689850,1325.802002,-160.270706,60.452499,1347.525269,-72.913651,43.063763,1371.377441,-196.123306
8,0.067000,16.428150,1350.192505,-112.498543,132.578705,1325.881836,-160.273743,60.306103,1347.641479,-72.967255,42.981030,1371.380981,-196.187668
9,0.075000,16.272989,1350.451416,-112.380142,132.498810,1325.916870,-160.253922,60.172462,1347.752075,-72.992615,42.888412,1371.407227,-196.258652
10,0.083000,16.108376,1350.562134,-112.423325,132.378906,1325.978149,-160.241028,60.032322,1347.861572,-73.046196,42.800377,1371.473145,-196.324615
11,0.092000,15.976049,1350.592041,-112.489494,132.203125,1325.963867,-160.260071,59.901299,1347.877686,-73.092926,42.716183,1371.471924,-196.380707
12,0.100000,15.863151,1350.604614,-112.552544,132.072189,1325.955444,-160.306564,59.824215,1347.923340,-73.108604,42.616108,1371.489258,-196.456558
13,0.108000,15.753105,1350.529297,-112.615685,131.948380,1325.930298,-160.358017,59.618153,1347.689575,-73.245506,42.508785,1371.460815,-196.493652
14,0.117000,15.805738,1350.201538,-112.904640,131.852127,1325.895264,-160.415909,59.523796,1347.573364,-73.294525,42.435688,1371.475952,-196.573441
15,0.125000,15.741842,1350.071899,-113.029076,131.766327,1325.865356,-160.463394,59.447979,1347.497192,-73.374809,42.355885,1371.466797,-196.618347
16,0.133000,15.739126,1350.128418,-113.088097,131.661514,1325.807129,-160.502808,59.394966,1347.416260,-73.417564,42.291210,1371.439575,-196.686157
17,0.142000,15.633114,1350.071533,-113.149902,131.595520,1325.799194,-160.584946,59.337154,1347.386719,-73.503197,42.212532,1371.410889,-196.786560
18,0.150000,15.643809,1350.128540,-113.248116,131.567841,1325.843506,-160.667557,59.276939,1347.384033,-73.539978,42.159054,1371.408813,-196.853134
19,0.158000,15.632731,1350.155029,-113.294815,131.555115,1325.885864,-160.766449,59.238941,1347.418701,-73.602989,42.083061,1371.405273,-196.937592
20,0.167000,15.577354,1350.145020,-113.365456,131.553085,1325.972412,-160.837051,59.197227,1347.454102,-73.661140,42.026253,1371.392456,-197.015305
21,0.175000,15.537227,1350.145630,-113.433304,131.532349,1326.026855,-160.939423,59.194157,1347.538208,-73.726357,41.947399,1371.368408,-197.094330
22,0.183000,15.513221,1350.138184,-113.482635,131.532990,1326.059570,-161.045013,59.134659,1347.577026,-73.797424,41.847900,1371.330933,-197.184570
23,0.192000,15.468431,1350.100830,-113.543877,131.519638,1326.078735,-161.121277,59.114342,1347.585327,-73.854950,41.821144,1371.269531,-197.229462
24,0.200000,15.414456,1350.073608,-113.611534,131.472321,1326.038330,-161.207184,59.071014,1347.560181,-73.893356,41.761311,1371.235718,-197.296265
25,0.208000,15.297110,1349.943481,-113.651695,131.394241,1325.992798,-161.221008,59.002392,1347.482666,-73.958351,41.710873,1371.199341,-197.359879
26,0.217000,15.279978,1349.921509,-113.767609,131.297363,1325.921753,-161.214081,58.906403,1347.359863,-73.997421,41.677124,1371.168579,-197.384750
27,0.225000,15.159179,1349.790894,-113.862350,131.254593,1325.852661,-161.264130,58.853828,1347.282471,-74.077660,41.638191,1371.148193,-197.460129
28,0.233000,15.114747,1349.674316,-113.962936,131.173767,1325.783081,-161.309082,58.800350,1347.167969,-74.153526,41.620216,1371.083130,-197.501724
29,0.242000,15.091569,1349.581665,-114.063927,131.155319,1325.660767,-161.384399,58.781391,1347.048218,-74.207962,41.606663,1371.030151,-197.596390
30,0.250000,15.067946,1349.487549,-114.102745,131.173386,1325.575439,-161.492889,58.795948,1346.959595,-74.276131,41.576130,1370.962036,-197.643967
31,0.258000,15.057068,1349.396606,-114.168289,131.143097,1325.514038,-161.604446,58.791557,1346.859741,-74.344536,41.565617,1370.894165,-197.715439
32,0.267000,15.118553,1349.369507,-114.250824,131.150162,1325.481323,-161.706253,58.798367,1346.787476,-74.448334,41.536045,1370.819702,-197.784790
