Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_z,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.37.42.196 AM,Capture Start Frame,170907,Total Frames in Take,2549,Total Exported Frames,2549,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,25.620277,1452.562378,-34.730400,133.568176,1422.111816,-69.231979,66.966141,1446.557007,5.028726,55.915897,1468.105591,-120.444130
1,0.008000,25.813274,1452.551880,-34.573395,133.727295,1422.073120,-69.116364,67.149422,1446.503784,5.135593,56.088787,1468.095459,-120.257484
2,0.017000,26.027012,1452.487793,-34.417286,133.904861,1421.986450,-68.975304,67.366440,1446.380005,5.255952,56.252441,1468.083130,-120.130722
3,0.025000,26.280447,1452.392944,-34.258900,134.110382,1421.883423,-68.813461,67.614464,1446.256714,5.410071,56.464909,1468.030762,-119.952507
4,0.033000,26.573046,1452.283203,-34.073627,134.336868,1421.764893,-68.665825,67.940651,1446.094849,5.570740,56.676895,1467.991577,-119.762024
5,0.042000,26.866854,1452.159912,-33.881710,134.583694,1421.660889,-68.567940,68.384979,1445.905884,5.702166,56.944576,1467.931152,-119.582504
6,0.050000,27.159483,1451.973145,-33.704357,134.803177,1421.531982,-68.491417,68.794922,1445.727905,5.904252,57.141888,1467.874756,-119.419067
7,0.058000,27.461536,1451.834106,-33.462868,135.113235,1421.482300,-68.400185,69.205856,1445.576294,6.096003,57.360245,1467.813721,-119.209236
8,0.067000,27.739115,1451.683228,-33.211514,135.398087,1421.406738,-68.343361,69.543877,1445.429565,6.294743,57.560379,1467.762207,-118.977577
9,0.075000,28.005465,1451.518921,-32.964329,135.701065,1421.277710,-68.283623,69.879845,1445.231201,6.486354,57.781696,1467.650391,-118.725990
10,0.083000,28.284393,1451.343262,-32.739746,135.998245,1421.122803,-68.236427,70.174995,1445.023682,6.659142,57.996727,1467.567383,-118.504768
11,0.092000,28.497633,1451.165527,-32.495068,136.273804,1420.961792,-68.169159,70.417931,1444.826294,6.841331,58.165203,1467.494751,-118.307968
12,0.100000,28.667538,1451.037109,-32.305431,136.412155,1420.717896,-68.109367,70.575638,1444.595215,7.028188,58.340488,1467.438599,-118.083878
13,0.108000,28.752645,1450.965942,-32.128727,136.535889,1420.546021,-67.964714,70.661674,1444.441895,7.205285,58.477322,1467.416382,-117.813644
14,0.117000,28.823790,1450.926147,-31.976309,136.562729,1420.390381,-67.789322,70.690910,1444.359131,7.381415,58.585163,1467.375366,-117.618240
15,0.125000,28.825163,1450.929443,-31.873903,136.541672,1420.338867,-67.503128,70.648766,1444.312988,7.515285,58.701935,1467.339966,-117.471001
16,0.133000,28.807838,1450.938843,-31.789970,136.448257,1420.320068,-67.218536,70.601250,1444.300903,7.626980,58.749466,1467.316895,-117.372337
17,0.142000,28.792944,1450.934692,-31.683668,136.366409,1420.357300,-66.917015,70.550758,1444.292114,7.740224,58.809490,1467.305664,-117.257034
18,0.150000,28.796419,1450.884766,-31.598869,136.295715,1420.384155,-66.697380,70.513306,1444.283081,7.855125,58.816330,1467.270386,-117.171928
19,0.158000,28.808884,1450.841064,-31.542599,136.288574,1420.403564,-66.585213,70.538094,1444.257080,7.931856,58.823231,1467.242310,-117.090332
20,0.167000,28.838137,1450.725464,-31.502689,136.365356,1420.439575,-66.583740,70.587479,1444.216309,7.980544,58.807419,1467.180542,-117.078758
21,0.175000,28.886963,1450.631714,-31.422604,136.477493,1420.459229,-66.640251,70.665695,1444.161377,8.020284,58.769932,1467.109619,-117.058022
22,0.183000,28.960876,1450.483887,-31.380739,136.584076,1420.453857,-66.746864,70.758568,1444.094482,8.026907,58.753899,1467.025024,-117.033478
23,0.192000,29.011547,1450.343750,-31.374846,136.688660,1420.413818,-66.851830,70.806480,1444.028809,7.997197,58.743515,1466.918823,-117.036179
24,0.200000,29.018682,1450.232300,-31.316652,136.744370,1420.339355,-66.932404,70.807579,1443.944336,8.007761,58.731339,1466.810059,-117.027100
25,0.208000,29.005190,1450.110352,-31.345051,136.746613,1420.229126,-66.942169,70.788551,1443.858887,7.997394,58.710415,1466.682129,-117.045837
26,0.217000,28.961521,1449.972412,-31.400602,136.722473,1420.109375,-66.887039,70.700348,1443.742798,8.011657,58.676426,1466.527954,-117.078560
27,0.225000,28.882963,1449.852295,-31.389065,136.638138,1419.988770,-66.776009,70.608864,1443.646973,8.033486,58.677235,1466.376099,-117.090599
28,0.233000,28.790771,1449.715088,-31.379812,136.572296,1419.919312,-66.624687,70.496613,1443.541748,8.091530,58.647018,1466.242432,-117.016678
29,0.242000,28.670630,1449.549683,-31.350058,136.493408,1419.804199,-66.491608,70.530960,1443.432495,8.197468,58.603485,1466.099854,-116.982368
30,0.250000,28.527893,1449.385376,-31.361591,136.454788,1419.797363,-66.426758,70.312004,1443.353394,8.269803,58.525429,1465.948364,-116.962776
31,0.258000,28.416788,1449.202515,-31.408615,136.384415,1419.717163,-66.349121,70.192223,1443.220215,8.262320,58.488609,1465.813843,-116.966621
32,0.267000,28.303566,1449.045776,-31.485483,136.340179,1419.689941,-66.359047,70.055862,1443.122803,8.210240,58.430309,1465.649780,-117.027924
33,0.275000,28.211750,1448.890991,-31.568871,136.283203,1419.648560,-66.382324,69.936279,1443.061279,8.149597,58.370300,1465.515869,-117.101837
